route_id,category,route_family,scope_or_identity,phase6x2_rows_or_canonical,evidence_success_rate,persistence,true_permission_change,rollback,disposition,risk_boundary,evidence
R11,Accessibility,consented delayed foreground redirect,User 0; target foreground only,AC-004;AC-005,"retry variants: explicit 1/1, HOME 3/3 in cited run; reboot/unlock mixed 2/3 or 3/3; not deterministic",conditional resident; not HOME,No formal permission/HOME change,visible toggle/manual disable/rollback,"已整合 as limited alternative",Fire remains resolver winner; no unlock bypass,"work/luna_worker_phase6ac_accessibility_review_20260810.md; findings/phase-6cy-ms-targeted-accessibility-retry.md"
R12,Accessibility,timeout A/B variant,User 0; foreground redirect,AC-006,"50 ms variant 4/5 in cited observation; HOME reliability worse; not adopted",not sustainable,No,rollback to prior service configuration,"已排除/不採用",No timing optimization replay,"work/luna_worker_phase6ac_accessibility_review_20260810.csv; findings/phase-6cy-accessibility-timeout-ab-boundary.md"
R13,UsageStats,third-party foreground observation,ordinary app; PACKAGE_USAGE_STATS/app-op boundary,AC-008,"未驗證; no success rate",unknown,No,none,"待驗證 host-only permission/consumer join",Do not add permission or use it as HOME writer,"work/luna_worker_phase6ac_accessibility_review_20260810.md; adb/phase6ac/; adb/phase6ao/"
R14,ADB monitor,host ADB foreground relay,ADB-connected host; not resident device route,AC-009;P6-ACCESS-ADB,"5/5 foreground relay in cited evidence; stops with ADB/monitor",non-persistent,No,disconnect/stop ends relay,"已排除 as approved resident solution",No new ADB monitor or device contact,"findings/phase-6iq-adb-foreground-fallback.md; work/luna_worker_phase6vd_test_reconciliation_20260810.csv"
R15,OOBE/OTA,BootAfterSystemOTAReceiver -> OOBE activation,system-server OTA lifecycle; numeric user unknown,6X2-ROUTES-001;6Z-001..002;6TY-OOBE-02,"static guarded path; no manual delivery/runtime success",lifecycle-scoped,Yes setup/OOBE state only; no HOME permission change,none in host-only review,"已整合/待驗證 natural official OTA only",No broadcast injection, OTA replay, or reboot,"work/luna_worker_phase6z_components_20260810.csv; work/luna_worker_phase6ad_untested_routes_20260810.md"
R16,OOBE/OTA,DCPMS lifecycle receiver -> profile policy,child/profile lifecycle; producer and user handle incomplete,6X2-ROUTES-002,"host-only static chain; no runtime success",unknown,No target permission change,none,"待驗證 host-only provenance",No lifecycle broadcast or profile mutation,"work/luna_worker_phase6z_components_20260810.csv; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/"
R17,OTA,metadata/signature/recovery verification,PS7331 OTA artifact; controller/privileged path,6X2-OTA-001..011;P6-OTA-OOBE,"static checks confirmed; no install success",not runtime-tested,No ordinary-app permission change,none,"已整合 static boundary/待驗證 verifier implementation",No sideload, recovery, or crafted package,"work/luna_worker_phase6ab_ota_exact_20260810.csv; findings/phase-6j-ota-apk-deep-review.md"
R18,OTA,native updater/block-image/partition writer,PS7331 recovery/updater; caller unknown,6X2-OTA-012..022;P6-UPDATER,"writer capability confirmed statically; execution/partition effect 0 observed",not established,No ordinary caller permission change,none,"已排除 as ordinary route/因風險拒絕 runtime",No updater/recovery/partition execution; no bypass inference,"work/luna_worker_phase6ab_ota_exact_20260810.csv; findings/phase-6mm-updater-blockimage-closure.md"
R19,app/IPC,private Amazon service visibility/lookup,shell UID 2000; private service gate,6QE-13;P6-SERVICE-VISIBILITY,"names visible; private check/find denied/not found; no method success",not applicable,No,none,"已排除 method reachability",No unknown Binder transaction or handle guessing,"work/luna_worker_phase6qf_existing_runtime_audit_20260810.csv; findings/phase-6q-evidence-index.md"
R20,app/IPC,H2 BIND_SERVICE custom permission,external requester/holder/grant unknown,6X2-ROUTES-005;P6-BINDER-H2,"signature gate confirmed; caller/sink unknown; no runtime call",unknown,No,none,"待驗證 host-only holder/requester join",No bind/call or guessed code,"work/luna_worker_phase6vd_test_reconciliation_20260810.csv; work/luna_worker_phase6tm_h2_permission_20260810.csv"
R21,app/IPC,exported OOBE/account/profile receivers,producer and user scope unknown,6X2-IPC-004..007;6X2-ROUTES-001..002,"exported/static policy evidence only; target HOME/PMS sink not closed",unknown,No target permission change,none,"待驗證 host-only caller/permission/user join",No broadcast replay or cross-user mutation,"output/tables/phase6x2-control-surface.csv; work/luna_worker_phase6z_components_20260810.csv"
R22,app/IPC,untrusted PendingIntent/cross-user,ordinary/untrusted app,6X-PI;P6-PI,"bounded smoke did not establish durable mutation; exact rate not claimed",not established,No,none,"已排除 bounded route",Private Binder out of scope; no APK/install,"work/luna_worker_phase6vd_test_reconciliation_20260810.csv; findings/phase-6a-untrusted-app-pi-smoke-evidence-index.md"
R23,settings,SettingsProvider and generic settings writers,system/shell permission gates; user overload varies,WK-014..015;6AA-001..002,"static sink capability; no target HOME/package result",not established,Settings writes exist only on authorized paths; target permission change not shown,none,"已整合/待驗證 caller provenance",No settings write or settings modification,"work/luna_worker_phase6wk_broad_surface_20260810.csv; work/luna_worker_phase6aa_ipc_residual_20260810.csv"
R24,app/IPC,Amazon PM/Vending/package-state writers,privileged/system or unknown production caller,6X2-IPC-008;WJ-02;6QE-03,"static writers and bounded negative caller closure; no ordinary User0 success",unknown,No ordinary permission change,none,"待驗證 host-only provenance/已排除 replay",No grant/revoke/install/package mutation,"work/luna_worker_phase6qe_existing_tests_20260810.csv; work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv"
R25,kernel/root,driver CMDQ/ION/MDP nodes,retail node/caller/domain not joined,WI-01..07;P6-DRIVER-ION,"source/policy capability only; no node open/ioctl/effect",not established,No,none,"待驗證 host-only image/DT/relocation join",No node access, ioctl, kernel/root, or remount,"work/luna_worker_phase6wi_driver_caller_20260810.csv; work/luna_worker_phase6qe_driver_policy_20260810.md"
R26,kernel/root,uinput/power-supply low-level path,shipped native caller unknown,6XG-001..002;P5-LOWLEVEL,"source capability only; no retail privilege transition",not established,No,none,"已排除 as proven bypass/待驗證 caller only",No synthetic input, node write, or exploit,"work/luna_worker_phase6xg_driver_20260810.csv; work/luna_worker_phase6tr_test_reconciliation_20260810.csv"
R27,kernel/root,root/futex/rtmutex/privilege transition,device/root boundary, P5-ROOT-FUTEX;P5-OTA-ROOT,"no approved device mutation; no success rate",not applicable,No,none,"因風險拒絕",Exploit/root/payload execution explicitly excluded,"work/luna_worker_phase6vd_test_reconciliation_20260810.csv; findings/phase-5-evidence-index.md"
R28,architecture,ProductPolicy/fosinit Binder publication,system/in-process policy path; caller gate unknown,6X2-ROUTES-003;6TY-POLICY-01,"static registration/sink markers; no callable transaction or HOME result",unknown,No target permission change,none,"待驗證 host-only registration/permission join",No service call or policy mutation,"work/luna_worker_phase6ad_untested_routes_20260810.md; work/luna_worker_phase6ty_user0_fire_restoration_20260810.csv"
R29,architecture,ASP preWarmApplicationForUser,Amazon/system caller; user propagation incomplete,6X2-ROUTES-004,"static process/state sink candidate; no HOME/package success",unknown,No target permission change,none,"待驗證 host-only identity/user-flow join",No process launch or Binder invocation,"work/luna_worker_phase6ad_untested_routes_20260810.md; work/luna_worker_prewarm_identity_closure_20260810.csv"
