id,layer,control_flow,caller_gate_identity_user,sink_or_effect,evidence_path_method_offset,evidence_sha256,classification,disposition
6RW-011,Settings HOME writer,DefaultHomePicker.setDefaultKey then replacePreferredActivity then implicit HOME,Internal Settings fragment; PMS permission and cross-user gates; explicit user,Stored preferred HOME and HOME start,decompiled/jadx/ota-PS7331/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePicker.java; decompiled/jadx/ota-PS7331/settings/resources/res/xml/default_home_settings.xml,56e7319492ee910d53c89f1d9c09eb18bdc7cc304106c403ee2e1049ebe2b9a7; 5f6d08422cdebbce4567ee58e1c671a840d0edd19176932c4a9687bb6cfa94e7,confirmed,Static route only; do not invoke
6RW-012,PMS preferred persistence,Setter then PreferredIntentResolver and Settings then per-user XML,System server and PMS; internal gates; explicit user,preferred-activities and persistent-preferred-activities XML,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/Settings.java:read/write; decompiled/baksmali/vdexExtractor/services/disassembly.log:515118-515124;518609-518664,738a3f8d07cb4de3a09badfe447f602e4e14a2e223af83f7abfa42d2c4b14e28; 373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,confirmed,Stored state not overlay/provider key
6RW-013,PMS resolver,resolveIntentInternal then chooseBestActivity then priority comparison,System server and PMS; candidate validation; explicit user,Fire HOME candidate priority 50 wins over third-party priority 0,decompiled/baksmali/vdexExtractor/services/disassembly.log:951258-951309; decompiled/jadx/ota-PS7331/firelauncher/resources/AndroidManifest.xml,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; 4a7fbfd42cbce6f37a90147751afe7adb18d99de43efe10e0938f48694b1936f,confirmed,Explains preferred divergence
6RW-014,Package/component writer,KFT child lifecycle then UserInfo.id then enabled-state setters,AmazonUserManagerService; child/profile user; internal service identity,State of Tahoe/Fire/Launcher3 components,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54310-54324,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,Child-scoped; not broad User-0 route
6RW-015,Amazon PM metadata/flags,Private tx1/2/4/5 then permission then AmazonApplicationFlags,Caller permission holder and production caller unknown; explicit user arg,Amazon flags/metadata sink,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:402917-403398;95866-96037,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,pending,No private transaction
6RW-016,Deny-list resource,Raw resource then package-management policy consumer,Amazon policy resource; package policy scope,package_manager_deny_list behavior,output/tables/phase6ap-denylist-resource.csv; artifacts/phase6ap/denylist-resource-closure-20260805-01,,excluded,Not SystemUI/HOME/settings writer
6RW-017,Image overlays,Overlay trees then overlay manager resource selection,Saved runtime inventory; overlays disabled; system/vendor image scope,Cutout and dark-theme only,findings/phase-6je-native-overlay-provenance-closure.md:65-76;233-240; adb/phase3c/PHASE3C-BASELINE-20260803-02/overlay/list.stdout.txt,c28af7d0130e3ff02806dcb953a6299955d44c1887d42f22f26d43f96296ae1d,high-confidence,No enabled HOME/framework-res/SystemUI overlay
6RW-018,Native/overlay closure,PS7331 native and overlay scan then provenance join then no relevant edge,System/vendor exact image set; no HOME input or state writer,No native HOME/package/resource writer,output/tables/phase6je-native-overlay.csv; findings/phase-6je-native-overlay-provenance-closure.md:65-75,,high-confidence,Negative within enumerated set
6RW-019,WMS generic callbacks,Window callback then permission/type checks then flags/visibility/trace/PIP,System server callback context; window package/type gates,Window flags/visibility/trace/PIP only,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:196540-196700;203322-203390,,excluded,Not package/component/HOME writer
6RW-020,Corpus completeness,Fosinit loader then 123 registrations then callback dispatch,Loader/class set incomplete; user/caller scope unresolved,Unknown unreviewed callback edge,artifacts/phase6jd-fosinit-20260808-01; decompiled/baksmali/vdexExtractor/services/disassembly.log:222435-222489,eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286,pending,Host-only recover/diff if artifacts appear
