domain,subject,source_or_entry,target_or_scope,caller_gate,identity_or_permission,sink_or_effect,runtime_evidence,status,next_safe_step,source_csv
amazon-service-permission,amazon_input / AmazonInputManager,inject / injectSequence,checkInjectEventsPermission marker with unresolved enforcement,helper checkInjectEventsPermission callsite/enforcement unresolved; service-manager find denied,caller PID/UID passed to native; no clearCallingIdentity shown,nativeInject/nativeInjectSequence,existing static closure records shell find denied and no runtime injection,authorization unresolved statically; actual low-privilege reachability and native effect unproven; no HOME/package/root evidence,host-only resolve helper callsite/native SELinux boundary; no transaction replay,work/luna_worker_amazon_service_permission_followup_20260810.csv
fire-package-state-writer,PMS protected-package gate,PackageManagerService.setEnabledSetting -> ProtectedPackages / VendorProtectedPackagesCallback.shouldProtectPackage,target=com.amazon.firelauncher; com.amazon.tahoe; protected components; user_scope=requested user; gate evaluated before write,system/privileged app AND deny-list membership AND caller UID 2000 for Amazon callback; normal PMS permission/cross-user checks,framework/system-server callback path; no caller relay,rejects package/component enabled-state mutation before persistence,shell disable attempts rejected; state unchanged,CONFIRMED GATE; not a writer,retain static/runtime boundary; no mutation or Binder replay,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,KFT child component writer,AmazonUserManagerService$BinderService.enableKftLauncherComponent(UserInfo) / tryEnableKftLauncherComponent,target=com.amazon.tahoe/.launcher.FreeTimeLauncherActivity; user_scope=supplied KFT child/profile UserInfo.id; not User 0 by static path,trusted child lifecycle or private IAmazonUserManager tx3; KFT existence/device/profile-owner/DPM empowerment,"clearCallingIdentity() after authorization, then restore; child id remains explicit",AmazonPackageManager.setComponentEnabledSetting,6KQ shell-induced disable stopped at protected-package gate; tx3 not reached,CONFIRMED STATIC CHILD WRITER; not an exploit,only passive observation of natural trusted child lifecycle,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,KFT child package writer,AmazonUserManagerService$BinderService.enableKftLauncherComponent(UserInfo),target=com.amazon.firelauncher; user_scope=supplied KFT child/profile user only,same trusted KFT tx3 and DPM/profile-owner lifecycle gates,system identity used for downstream package-manager calls after validation,"setApplicationEnabledSetting(Fire, disabled, child UserInfo.id)",no User-0 change; User-10/11 child writer is static only in this follow-up,CONFIRMED STATIC CHILD WRITER; no User-0 HOME sink,do not infer ordinary-user or User-0 reachability,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,KFT child package writer,AmazonUserManagerService$BinderService.enableKftLauncherComponent(UserInfo),target=com.android.launcher3; user_scope=supplied KFT child/profile user only,same trusted KFT tx3 and DPM/profile-owner lifecycle gates,system identity used for downstream package-manager calls after validation,"setApplicationEnabledSetting(Launcher3, disabled, child UserInfo.id)",no User-0 change; KQ did not execute child lifecycle,CONFIRMED STATIC CHILD WRITER; no User-0 HOME sink,retain as child-state edge only,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,PMS public HOME setter,IPackageManager.setHomeActivity tx89 / PackageManagerShellCommand set-home-activity,target=preferred HOME record for supplied user; candidate component data; user_scope=explicit target user; existing record comparator User 0,SET_PREFERRED_APPLICATIONS plus cross-user checks and PMS resolver rules,caller identity remains subject to PMS; no new clearCallingIdentity relay,preferred-activity XML/record; resolver ranking,Microsoft preferred record can exist but Fire remains priority 50,CONFIRMED TRUSTED/API WRITER; not Fire disable writer,read-only compare preferred records and resolver only,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,DPM persistent HOME writer,DevicePolicyManagerService.addPersistentPreferredActivity tx100 -> PMS tx73,target=admin-supplied persistent preferred component; user_scope=managed/admin user; User 0 only if legitimate owner scope permits,active admin/Profile Owner/Device Owner and caller ownership; MANAGE_DEVICE_ADMINS policy,"clearCallingIdentity() only after owner authorization, restore in finally",persistent preferred activity record and resolver,existing evidence shows no User-0 third-party HOME takeover,CONFIRMED TRUSTED OWNER-GATED WRITER; not vulnerability,no provisioning/owner mutation; inspect existing policy artifacts only,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,Backup preferred restore,PreferredActivityBackupHelper.applyRestoredPayload -> IPackageManager.restorePreferredActivities tx81,target=serialized preferred activities; user_scope=userId carried by trusted backup restore,trusted Backup/system lifecycle; PMS requires system UID 1000,trusted system identity; no ordinary caller relay found,preferred-activity XML restore,no restore invocation in this work; current User-0 Fire HOME baseline remains,CONFIRMED STATIC TRUSTED WRITER; lifecycle-bound,passive inspection of naturally restored state only,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,Arcus initial deny-list seed,DenyListArcusHelper.extractListFromResorces -> processJSON,"target=DenyListKeyPackages in /data/system/PackageManagerDenyList; includes com.amazon.firelauncher; user_scope=device-protected store, consumed by package gate; package membership is global store input",AmazonPackageManagerService.onBootPhase(500); key absent condition,system-server context/device-protected SharedPreferences,putStringSet(...).commit() after Resources.getSystem().openRawResource(0x7e05000a),resource direct evidence confirms Fire in PS7331 seed; live persisted contents not read,CONFIRMED STATIC RESOURCE SEED; not HOME writer,preserve seed-vs-live distinction; no SharedPreferences write,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,Arcus deny-list refresh,DenyListArcusHelper.initialize -> Arcus receiver worker -> getDenyList -> saveProtectedPackages,"target=DenyListKeyPackages replacement set; potentially Fire membership depends on payload; user_scope=device-protected store; callback applies to requested package/user mutation gate, not HOME","system-server boot initialization, persist.sys.denylist_arcusid, matching Arcus sync/unmod action, Arcus configuration",system-server receiver/handler; no ordinary caller established,"remove old key, putStringSet(new HashSet), commit",no Arcus refresh triggered; live payload/membership unknown,CONFIRMED STATIC REFRESH WRITER; payload unknown,host-only inspect saved artifacts; do not trigger broadcast/property change,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,OOBE OTA component writer,BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver -> OOBE activation helper,target=com.amazon.tv.oobe/.OobeHomeActivity; user_scope=receiver/framework user context; exact runtime user mapping not encoded; potential User 0 OOBE scope,protected broadcast; system-server phase 550 AND PMS.isUpgrade() AND OOBE/demo guards; receiver requests RECEIVE_BOOT_AFTER_SYSTEM_OTA,framework-delivered restricted Context preserves user scope; no ordinary caller substitution shown,"setComponentEnabledSetting(OobeHomeActivity, enabled)",baseline OOBE component disabled; Fire remains HOME in read-only captures; event not replayed,CONFIRMED STATIC LIFECYCLE WRITER; no Fire-targeted writer,"only compare after a natural official OTA, read-only",work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,OOBE setup-state writer,BOOT_AFTER_SYSTEM_OTA -> OOBE incremental flow,target=Settings.Secure user_setup_complete / isOOBEActive; user_scope=context-derived user; exact numeric scope pending,same protected system-server OTA/OOBE lifecycle and incremental branch,receiver Context ContentResolver; no shell/ordinary-app identity path,"Settings.Secure.putInt(user_setup_complete=0, isOOBEActive=1)",not observed live; no settings mutation performed,CONFIRMED STATIC OOBE STATE WRITER; no package/HOME Fire sink,do not replay broadcast or edit settings; natural-event capture only,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,Amazon Product Policy generic writer,AmazonProductPolicyService EnableDisableComponentAction.enableDisableComponent,target=policy-derived package/component; no Fire literal in bounded PS7331 scan; user_scope=policy-specified user list,trusted system policy pipeline and policy input; final PMS gate,in-process trusted service identity; no clear/restore confused-deputy edge shown,AmazonPackageManager component/application enabled setters,no Fire target or runtime mutation in saved result,CONFIRMED GENERIC STATIC WRITER; closed for Fire/User-0,host-only policy input provenance review,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,PackageInstaller/Play metadata writers,"Play Store generic enforcement/restore callsites: blocked-system-app, verifier UninstallTask, generic package/component helpers",target=internally derived or verification/policy package/component; no com.amazon.firelauncher literal; user_scope=supplied package/user from internal metadata; no proven Fire scope,captured grants/declared permissions are not sufficient; PMS protected-package gate remains,ordinary app process calls framework API; no Fire-targeted identity relay found,setApplicationEnabledSetting / setComponentEnabledSetting,"no invocation; bounded APK scan found no Fire literal, HOME setter, or Fire launch",CONFIRMED GENERIC STATIC WRITERS; no Fire/HOME route,offline provenance of grants/metadata only; do not invoke exported components,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,MigrationService notification,PS7331 VDEX MigrationService.appsAvailable(boolean),target=com.amazon.firelauncher package as broadcast recipient; user_scope=running users propagated by ActivityManager broadcast,existing migration/mount/filesystem lifecycle gate; no usable shell service handle,system service broadcast context; no package-state setter,fixed-package apps-available broadcast to Fire Launcher,no package/component/HOME state change; notification/data refresh only,CONFIRMED NON-WRITER CONTROL,retain as Fire literal negative control; no broadcast replay,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,AMS system lifecycle,ActivityManagerService.systemReady,target=fixed SystemUserHomeActivity component; user_scope=system-user boot path; not Fire Launcher,system-server boot and user_setup_complete branch,system-server identity,PMS component enabled-state call,branch inactive under current provisioned baseline; unrelated to Fire,CONFIRMED UNRELATED LIFECYCLE WRITER,no lifecycle fabrication; static comparison only,work/luna_worker_fire_state_writer_followup_20260810.csv
fire-package-state-writer,AppErrors preferred cleanup,AppErrors -> PackageManagerService.clearPackagePreferredActivities,target=crashed package preferred records; user_scope=calling user,internal crash-cleanup path,system-server internal call,clears preferred record; does not enable Fire or set HOME,not triggered by baseline; no Fire state change,"CONFIRMED CLEANUP, NOT RESTORATION WRITER",do not crash launcher; retain as resolver negative control,work/luna_worker_fire_state_writer_followup_20260810.csv
fosinit-exported-sink,PS7331 fosinit inventory,123 XML files under artifacts/phase6jd-fosinit-20260808-01; representative system/fireos/etc/init/*_fosinit.xml,"exported=N/A: system-server registration,not manifest export; permission=N/A",Loaded by system-server/vendor callback registries; no remote caller implied,N/A,Inventory only; no sink by XML registration,phase6jd artifact inventory; output/tables/phase6jd-fosinit-registration-audit.csv,closed,Use only a newly preserved exact-build host artifact for delta comparison,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,AmazonDevicePolicyManagerService,"amazondevicepolicymanager_fosinit.xml: vendor service, DPM callbacks, cached DevicePolicyManager manager",exported=N/A: system-server service; permission=DPM/admin/device-owner/profile-owner checks in existing DPM source; no exported component evidence,Trusted system/DPM admin context; ordinary app/shell gate not established,DPM/admin/device-owner/profile-owner checks in existing DPM source; no exported component evidence,DevicePolicy restrictions/persistent-preferred policy family; no new HOME setter or ordinary writer edge,fosinit XML; output/tables/phase6cq-dpm-persistent-preferred-boundary.csv; output/tables/phase6q-binder-service-matrix.csv,closed,Host-only compare any new DPM manifest/source slice; do not invoke policy APIs,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,AmazonUserManagerService,"amazonusermanager_fosinit.xml: service, settings callback, cached UserManager manager",exported=N/A: private system service; permission=Private/profile lifecycle and PMS cross-user/component-state gates,Child/KFT lifecycle and supplied UserInfo.id; saved User-10/User-0 attempts hit downstream gates,Private/profile lifecycle and PMS cross-user/component-state gates,setApplicationEnabledSetting for com.amazon.firelauncher/com.android.launcher3 and Tahoe component; no setHome/preferred writer,fosinit XML; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325; output/tables/phase6pw-route-classification.csv,rejected: child/profile-only,Re-read caller/user-scope evidence if a new decompiled class is added; no transaction replay,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,AmazonPackageManagerService / protected callback family,"amazonpackagemanager_fosinit.xml: service, PackageManager callbacks, protected-package callback",exported=N/A: system-server service; permission=ADD_RM_PKG_METADATA and protected-package callback gates; OTA sender uses receiver permission,system-server boot phase and PMS internal callback context; no ordinary public relay,ADD_RM_PKG_METADATA and protected-package callback gates; OTA sender uses receiver permission,Package metadata/protected-package policy and post-OTA broadcast; no HOME/preferred writer in callback inventory,fosinit XML; disassembly.log:96107-96126; phase6jd and phase6px tables,closed; OTA lifecycle-only,Compare only new host disassembly/manifest; do not send broadcast,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,AmazonProfileService / AmazonActivityManagerService,amazonprofileservice_fosinit.xml and amazonactivitymanager_fosinit.xml: published services plus system-server callbacks,exported=N/A: private/system-server services; permission=PROFILE_INTERACTION / APP_PREWARM and task/package restrictions from existing matrix,system-server callback dispatch; service-manager/shell route denied in saved baseline,PROFILE_INTERACTION / APP_PREWARM and task/package restrictions from existing matrix,"Profile picker, prewarm, task/activity lifecycle; no User-0 HOME selector or package-state writer",fosinit XML; output/tables/phase6q-binder-service-matrix.csv; phase6jd table,closed,Static caller/source join only; no Binder or activity invocation,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,AmazonAppSettings / TabletSettings callbacks,amazonappsettings_fosinit.xml and tabletsettings_fosinit.xml: Settings and SettingsProvider callbacks,"exported=N/A: callback registration, not exported app component; permission=SettingsProvider/provider permission and framework callback context",Provider/framework callback path; no ordinary caller-to-writer chain established,SettingsProvider/provider permission and framework callback context,Settings metadata/callback handling; no preferred HOME or DevicePolicy sink in audited path,fosinit XML; output/tables/phase6jd-fosinit-registration-audit.csv; phase6ef/phase6cf boundaries,closed,Inspect only exact-build provider manifest/source additions,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,LauncherHijackPreventer callbacks,launcherhijackpreventer_fosinit.xml and tabletlauncherhijackpreventer_fosinit.xml,exported=N/A: in-process AMS/PM callbacks; permission=SELinux/signature and READ_LOGS checks in callback logic,system-server in-process dispatch; no remote exported entry,SELinux/signature and READ_LOGS checks in callback logic,"HOME-task visibility/filtering and log cleanup; no launch, preferred, or package-state write",fosinit XML; output/tables/phase6jd-fosinit-registration-audit.csv,closed,Do not reopen without a new sink callsite,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,BootAfterSystemOTAReceiver,com.amazon.kindle.otter.oobe manifest receiver; action amazon.intent.action.BOOT_AFTER_SYSTEM_OTA,exported=Manifest/source shows enabled directBootAware receiver; component-local permission not declared; permission=RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus protected action membership in system permission registry,System-server sender requires phase 550 and PMS.isUpgrade(); receiver also checks action/OOBE/retail-demo state,RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus protected action membership in system permission registry,enable OobeHomeActivity; activate incremental OOBE; writes setup-state flags; not a public HOME/preferred setter,"phase6j manifest.txt:435-451,532; phase6ab ota-input-validation.csv; phase6px/6r tables",rejected: privileged OTA lifecycle; authorization detail retained as static,Observe only after a natural official OTA; never manually send the action,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,com.amazon.firelauncher/.Launcher,FireLauncher manifest MAIN/HOME/DEFAULT activity,exported=Implicitly exported by HOME filter; explicit marker not declared; permission=No component permission in candidate inventory,Resolver/PackageManager policy still governs selection; exported activity is not a state writer,No component permission in candidate inventory,Normal HOME resolver target only; no downstream setter from manifest/activity registration,phase6w high-impact-exported-candidates.csv row 2; phase6pw read-only HOME baseline,"closed: resolver entry, not bypass",Read-only exact-build resolver comparison only,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,FireLauncher exported providers/services/receivers,"FireLauncher manifest candidate family (sync services, providers, tutorial/demo/account receivers)","exported=Several explicit true or implicit-with-filter entries; permission=Mixed: signature/system, custom permissions, BIND_JOB_SERVICE, and some no local permission","Permission, sync/account framework, or action-specific gates; no ordinary route to package/HOME writer shown","Mixed: signature/system, custom permissions, BIND_JOB_SERVICE, and some no local permission","Launcher data/sync/tutorial/card state; no setHome/preferred, SettingsProvider, DPM, or application-enabled sink",artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv,closed: exported exposure without qualifying sink,"If new source is added, trace only components whose code reaches a listed setter",work/luna_worker_fosinit_exported_sink_followup_20260810.csv
fosinit-exported-sink,Protected broadcast registry,android.amazon.perm/system permission manifest protected-broadcast declarations,"exported=N/A: registry entries, not components; permission=Protected-broadcast membership; many actions additionally use signature|amazon receiver permissions",AMS protected-action delivery and sender identity; ordinary app/shell substitution not established,Protected-broadcast membership; many actions additionally use signature|amazon receiver permissions,Broadcast delivery only; no qualifying HOME/package/settings sink found beyond OTA lifecycle row,artifacts/phase6ac/protected-broadcast-source-audit-20260805-02/manifest-aapt.xmltree.txt; phase6ad inventory; phase6px,closed except OTA lifecycle row,Host-only union/diff of protected-broadcast manifests,work/luna_worker_fosinit_exported_sink_followup_20260810.csv
