family,route,status,direct_evidence,caller_or_gate,sink_or_effect,evidence,next_safe_step
deny-list-provenance,User 0 HOME com.amazon.firelauncher/.Launcher priority 50,direct observation,Direct runtime observation of current HOME only; it neither proves nor disproves live deny-list membership.,read-only HOME resolver capture; no deny-list reader,findings/phase-6pw-live-readonly.md + adb/phase6pw/PHASE6PW-READONLY-20260810-01/home_resolve.stdout.txt,3c1adbbe8bdbfcd2e322647203157a68d5d45ab854ac4a40001fc8b0cf5c3f16;d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,Use as current comparator; no package/settings/Binder action.
deny-list-provenance,deny-list literal membership / restoration writer,unknown,Unknown: 6PW retains literal membership pending and finds no new User-0 restoration/HOME provenance.,host-only Phase 6PW follow-up inventory; no accepted live membership reader or HOME writer,findings/phase-6pw-broad-privilege-followup.md,a86d013611fcb3c2c5279cbe9c2f74b4069dca2d,Continue only with new authorized host artifact; do not broaden to device or privileged mutation.
boot-after-system-ota,protected membership,CONFIRMED_STATIC,system package source android.amazon.perm UID 1000,protected-broadcast marker for amazon.intent.action.BOOT_AFTER_SYSTEM_OTA; permission registry separately signature|amazon,AMS protected-broadcast membership gate; no ordinary caller proof,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed; c1bc14011cb69c1c4c160deb2f5c4dda6c95fec60e7030ead4138c8d80297fdd,host-only inventory of exact-build protected-broadcast sources; do not send action
boot-after-system-ota,system-server sender,CONFIRMED_STATIC,system_server SystemContext stored as mContext; no ordinary app/shell caller,phase == 550 AND PMS.isUpgrade() == true; sendBroadcast permission argument is receiver filter not standalone sender authentication,Context.sendBroadcast -> ActivityManager broadcastIntent; protected action delivery,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,host-only trace SystemServer context construction and framework user propagation; no lifecycle fabrication
boot-after-system-ota,framework delivery,CONFIRMED_STATIC,system receiver context constructed from ReceiverData and receiver-restricted Context,AMS protected-broadcast check plus framework delivery; no caller substitution shown,receiver onReceive callback,a35623b7bde07e4f401dc2d6eb2e2d260615a5c4c157848e6db43e463922484b; df647a4932d64dec5a405b528a4c4daacb25e9cac5a2ab75a3e45e866b66996a,use saved Phase 6MO/6NI context trace; only natural post-OTA read-only capture can close exact runtime user
boot-after-system-ota,OOBE receiver manifest/source,CONFIRMED_STATIC,framework-delivered restricted Context in OOBE process,APK requests RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver block has no android:permission; action/OOBE-running/demo gates,onReceive -> enableIncrementalFlow,c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,retain as lifecycle-only receiver; do not replay
boot-after-system-ota,OOBE component sink,CONFIRMED_STATIC,receiver Context PackageManager,phase 550+isUpgrade plus action && !OOBEAlreadyRunning && !retail_demo_mode,"setComponentEnabledSetting(OobeHomeActivity,state=1)",900f2dd69d349b3b4718b7f988b7d5bd153af2e2cb3c1586600e5b048e760ad8,after a natural official OTA only collect package/component state read-only
boot-after-system-ota,OOBE setup sink,CONFIRMED_STATIC,receiver Context ContentResolver,incremental OOBE branch; no ordinary caller route,Settings.Secure.putInt user_setup_complete=0 and isOOBEActive=1,6ebcb7eef7a03459a76b9c21cd59b61a30947f2b00a5624a4646825b8e3223d2; 6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,do not mutate settings; compare only naturally occurring OTA post-state
boot-after-system-ota,OOBE HOME resolver sink,CONFIRMED_STATIC + CURRENT_READONLY_BASELINE,Activity resolver may see OobeHomeActivity only when enabled,component enablement gate plus OOBE activation,baseline User 0 component disabled; Fire Launcher remains normal HOME in saved PV/PW read-only captures,324359ebfc3b9e9b49fa5f90fe4eb72d4442afe47b3b613bd7db75aa76f923e; d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,retain Fire User-0 baseline; never enable OOBE component manually
boot-after-system-ota,Alexa consumer 1,CONFIRMED_STATIC,receiver process Context implied by framework delivery,shared protected action delivery; receiver-specific authorization not established in saved matrix,disableCommsAccessibilitySettingValue(),e03d421b8d07f769f91642fdff3ce5a7db3072c2f4dd29f3748a8c56ee7f52c6,host-only manifest/source join; no action replay
boot-after-system-ota,Alexa consumer 2,CONFIRMED_STATIC,receiver process Context implied by framework delivery,shared protected action delivery; receiver-specific authorization not established in saved matrix,copy access-control secure settings into local keys,fd96fa72fe4f3b999e503b69ba27f3e50898e36dc73ac8eae28dbd8a979b075d,host-only consumer manifest and exact-user sink review; no settings mutation
boot-after-system-ota,context/user propagation,STRONG_STATIC_CONTEXT,system-server Context initialized through ActivityThread.systemMain/getSystemContext; receiver restricted Context preserves mUser,SystemServer system context -> ContextImpl user -> broadcast userId; exact user mapping remains unencoded,PackageManager and Settings operations retain context user scope; no explicit User-0 claim,a35623b7bde07e4f401dc2d6eb2e2d260615a5c4c157848e6db43e463922484b; df647a4932d64dec5a405b528a4c4daacb25e9cac5a2ab75a3e45e866b66996a,only natural official OTA followed by read-only package/settings/resolver capture
boot-after-system-ota,broad-route dedupe Phase 6PV,DEDUPLICATED,existing saved worker/runtime context only; no new caller,PV normalized broad route closure; OOBE row remains trusted lifecycle and no ordinary caller route,does not add a BOOT_AFTER_SYSTEM_OTA sink beyond OOBE component/setup,25ab02e4086da1a9d88dc6b0e3065e6397a036b2915c70fc33d515459a20ba49,retain this report's OOBE rows only as cross-reference; no Binder/OTA action
boot-after-system-ota,broad-route dedupe Phase 6PW,CURRENT_READONLY_BASELINE,read-only shell baseline UID 2000; no broadcast or transaction,PW current read-only baseline confirms Fire HOME; OOBE remains system lifecycle and risk-rejected,Fire Launcher User 0 priority 50 remains sink comparator; OOBE not observed live,d79ec8ebfb3d9e21f28dc4c3162f7ba7da5282fb5c7f40d1a5c91df9d39968b3,compare future natural OTA only; do not claim ordinary caller trigger
ota-recovery-handoff,verifier -> metadata checker,unknown,low_privilege_reachable=false; path=Java source shows no canonicalPath/realpath/readlink/lstat/O_NOFOLLOW marker; native/recovery handling outside slice,caller=DeviceSoftwareOTA OSUpdateValidator/SideloadVerifier; no shell or ordinary-app caller established; gate=RecoverySystem.verifyPackage; assertHash; version/signature-transition/product-device/PVT checks,verification API / metadata decision (no write sink in reviewed slice),RecoverySystemWrapper.java sha256=5cea16a23aadebf9c043791fffb80c4e3a78ca629e8f7c64c82a366983790287; otacert.pem sha256=5d52405362dcc9e755a4d972074ac7f886a5450e18fb6a6c2c2dad2b55730fe1,Host-only identify exact platform recovery verifier and certificate/AVB handoff; do not execute or feed crafted input
ota-recovery-handoff,metadata checker -> staging,unknown,low_privilege_reachable=unknown; path=source path split on '/' and basename selected; destination is OTA external-data directory; no Java canonicalization marker observed,caller=SideloadInstaller.installSideload via system OTA app; shell/ordinary-app reachability not shown; gate=metadata/sanity/device checks and recovery-check verification precede optional move,SideloadMover -> FileHelper.moveFile -> renameTo or copy + source delete; FileOutputStream on copy fallback,artifacts/phase6y/ota-staging-audit-20260805-01/summary.json sha256=a57a96911cd1dc3c06f83a6ee1535714b7ecc9e3f6b473fdffbc02b8fa14f8dd; ota-staging-evidence.csv sha256=84c46d190a0c23b54d078c8be14e9b9cc2bd923eb25f54f7c7d601c2dac03594,Host-only map FileHelper/native flags and SELinux context from same-version artifacts
ota-recovery-handoff,staging -> UpdateSystem handoff,unknown,low_privilege_reachable=false; path=No crafted path/collision/symlink test; native/recovery path policy unresolved,caller=UpdateSystemWrapper.install from accepted DeviceSoftwareOTA context; gate=external-storage prefix mapping; persistent update-state property write; framework UpdateSystem.install boundary,"persist.sys.ota.isScreenOffBeforeOTA write, then UpdateSystem.install call",artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json sha256=01e29ec3a2649d85d033ce7ce65034631ebb44ef00633e34a95b0eb063f317f9; updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,Host-only correlate UpdateSystem/RecoverySystem native provenance; preserve no-write policy
ota-recovery-handoff,UpdateSystem/recovery handoff -> update-binary dispatch,unknown,"low_privilege_reachable=false; path=ELF string markers include symlink_realpath/readlink, but selected direct-BL graph does not place canonicalization on extraction/write chain",caller=recovery-accepted context is inferred; exact recovery/native caller provenance absent; gate=signed package verification and metadata gates are upstream; 24 install callbacks statically registered,callback registration / expression dispatch; execution not performed,update-binary sha256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; artifacts/phase6ku/boundary-20260810-01/result.json sha256=9ea29dec2c17a72ed0758549a7a975a4245bed76739b78d8cda098264c6054de,Recover only host-side recovery-to-native caller and indirect dispatch edges
ota-recovery-handoff,package_extract_file -> extracted file,unknown,low_privilege_reachable=false; path=argument/path dataflow and canonicalization guard are incomplete in bounded direct-BL slice,"caller=registered native handler, expected recovery/updater context; gate=updater command acceptance and callback dispatch",ota_open -> libc open/open64; ExtractEntryToFile; fsync/close per verifier audit,phase6md path-write-call-edges.csv; updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,Host-only resolve indirect calls and flags; do not test traversal or symlink payloads
ota-recovery-handoff,block_image_update -> cache check,unknown,low_privilege_reachable=false; path=MakeFreeSpaceOnCache performs stat/unlink/directory traversal and calls __readlink_chk; full input/path flow unresolved,caller=PerformBlockImageUpdate in native updater; no low-privilege caller; gate=CacheSizeCheck sign-bit error branch; MakeFreeSpaceOnCache result controls continuation,cache/filesystem helper calls; no partition sink at this node,artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv sha256=d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477; return-branches.csv sha256=95f469e697c636a2f09bcb6d3f27540f9d336a4bf042d2a5b33b37156a28b87b,Host-only complete CacheSizeCheck/helper dataflow and recovery input provenance
ota-recovery-handoff,block_image_update -> partition writer,unknown,low_privilege_reachable=false; path=fixed target strings; canonicalization relation to write chain not closed; no runtime input supplied,caller=recovery/updater context only; no shell/ordinary-app caller established; gate=fixed updater-script targets and block-image verification/dispatch,PerformBlockImageUpdate -> open/__open_2 -> chown/rename; WriteToPartition -> ota_open -> ota_write -> libc write,artifacts/phase6md-native-updater-path-audit-20260810-02/path-write-call-edges.csv; updater binary sha256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,Host-only complete indirect CFG/dataflow review; never execute updater or write partitions
ota-recovery-handoff,ordinary app IPC caller comparison,rejected,low_privilege_reachable=true (bounded IPC only; not updater/recovery); path=No staging or native updater handoff from either service; no package/HOME writer accepted,caller=ordinary APK reaches prewarm and KFT tx3 surfaces in preserved evidence; gate=prewarm permission result ignored but sink is process start; KFT reaches standard PMS cross-user/component gates,prewarm: ActivityManagerService.startProcessLocked; KFT: PMS component setter rejection,artifacts/phase6ku/boundary-20260810-01/relevant-call-edges.csv; findings/phase-6fi-amazon-user-manager-tx-boundary.md,Keep as reachability control: no Binder replay; do not conflate static native capability with caller reachability
ota-recovery-handoff,PS7331 source archive negative control,closed,low_privilege_reachable=false; path=35 members to real EOF; no symlink/hardlink; no META-INF/updater-script/update-binary/post-install/partition member,caller=none; host tar stream audit only; gate=not an installable OTA; no verifier/staging caller,none,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2 sha256=02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea; summary.json sha256=409ed81ede46db87a0ef8a05cc33b99df2b66e068d1edc1ac481a42e0606169b,Retain as provenance/negative control; no further extraction or execution needed
