phase,source_id,surface,entrypoint_or_source,caller_or_input,gate_or_policy,user_scope_or_target,sink_or_effect,evidence,confidence,open_gap
12,firmware-partitions,firmware-partitions,package_extract_file:15-23,/recovery or updater native process,prior script guards plus updater/recovery execution,"/dev/block/platform/bootdevice/by-name/{preloader,lk,tee1,tee2,spmfw,sspm_1,cam_vpu1,cam_vpu2,cam_vpu3}",package_extract_file,updater-script:15-23; phase6aw write contract,Strong evidence,boot-chain verifier and SELinux runtime UNKNOWN
12,cache,cache,package_extract_file:24,/recovery or updater native process,script evaluation and updater/recovery execution,/cache/recovery/last_blocklist,package_extract_file,updater-script:24,Strong evidence,cache label/SELinux and runtime effect UNKNOWN
12,native-updater,native-updater,main/Evaluate,recovery/update-binary process,static parser/evaluator branches; process caller not observed,package-selected files and partition targets,PackageExtractFileFn and PerformBlockImageUpdate,artifacts/phase6ne-updater-cache-flow-20260810-02/focus-disassembly.txt; direct-call-edges.csv,Strong evidence,entry process UID/domain and exact sink handoff UNKNOWN
12,cache-native,cache-native,CacheSizeCheck/MakeFreeSpaceOnCache,native updater context,space check then directory/stat/readlink logic,cache entries,unlink and FreeSpaceForFile,artifacts/phase6ne-updater-cache-flow-20260810-02/selected-functions.csv; direct-call-edges.csv,Strong evidence,canonicalization/symlink policy/cache root/runtime effect UNKNOWN
12,java-sideload,java-sideload,SideloadInstaller.installSideload,OTA task/service caller; external caller UNKNOWN,verifySideloadWithoutRecoveryCheck then move,UpdateSystem-managed OTA staging,UpdateSystemWrapper.install,phase6j OTA APK SideloadInstaller.java:65-94,Strong evidence,receiver/job/Binder caller and native UpdateSystem behavior UNKNOWN
12,java-verifier,java-verifier,SideloadInstaller.verifySideloadIntegrity,OTA task/service path,sanity metadata product/version/signature/PVT/device and RecoverySystemWrapper verification,none,verification handoff,artifacts/phase6ab/ota-input-validation-20260805-03/ota-input-validation.csv; SideloadVerifier.java,Strong evidence,recovery/native certificate and AVB handoff UNKNOWN
12,java-cache,java-cache,SideloadDeviceStateChecker.clearCache,privileged OTA task path,battery/storage check and recovery-cache exclusion,download-cache excluding recovery-cache,delete/cleanup helper,phase6ab ota-input-validation matrix; SideloadDeviceStateChecker.java,Strong evidence,actual path values and SELinux runtime UNKNOWN
12,ota-service,ota-service,OtaService.onStartCommand,manifest/exported/caller scope not closed,service task queue plus wake lock/job scheduling,OTA service persistence/job state,task dispatch toward OTA checks,phase6j OtaService.java:118-125,Probable,exact caller permission/exported state/runtime dispatch UNKNOWN
12,ota-receivers,ota-receivers,OTABootReceiver.onReceive / OTADeferredOSInstallReceiver.onReceive,caller authorization not fully closed,application injection plus task/job scheduler,OTA job state,boot or deferred OTA task scheduling,phase6j OTABootReceiver.java:32-45; OTADeferredOSInstallReceiver.java:20-29,Probable,manifest gates and runtime caller UNKNOWN
12,post-ota-oobe,post-ota-oobe,AmazonPackageManagerService.onBootPhase,system-server sender; exact context user UNKNOWN,system-server lifecycle and RECEIVE_BOOT_AFTER_SYSTEM_OTA permission,none by this audit,send post-OTA broadcast,phase6u bootafter-ota-scope.csv; fosservices disassembly references,Strong evidence,runtime permission evaluation/user handoff UNKNOWN
12,post-ota-oobe,post-ota-oobe,BootAfterSystemOTAReceiver.onReceive,system-server natural event only; arbitrary caller UNKNOWN,receiver predicates and OOBE state,package component plus settings secure state,enable OobeHomeActivity and activate helper,phase6j ota-oobe-ps7331 sources; phase6u scope CSV,Strong evidence,delivery/order/user/runtime effect UNKNOWN
12,post-install-helper,post-install-helper,OOBEActivationHelper.activateOOBEIF,OOBE receiver chain only,completion/state predicates plus privileged APK permissions,user_setup_complete=0; isOOBEActive=1,settings provider writes,phase6u bootafter-ota-scope.csv; OOBEActivationHelper.java,Strong evidence,SELinux/provider enforcement and runtime result UNKNOWN
12,permission,permission,RECEIVE_BOOT_AFTER_SYSTEM_OTA,ordinary caller not established,signature/Amazon protection and sender argument,none,framework broadcast delivery,phase6ac protected-broadcast source audit; phase6bk protected-broadcast union,Strong evidence,actual installed permission holder/runtime enforcement UNKNOWN
12,avb-verity,avb-verity,recovery/native verifier handoff,caller and verifier domain UNKNOWN,RecoverySystemWrapper call is visible but native implementation absent,none,recovery verification before install,phase6ab validation report; AOSP comparison only,Hypothesis,certificate/AVB/verity implementation UNKNOWN
12,selinux,selinux,block-device/cache sinks,process domain UNKNOWN,complete policy/domain mapping absent,listed block devices and cache paths,partition writes/cache unlink,firmware extracted tree plus phase6ne disassembly/artifacts,Hypothesis,allow rules/labels/domain transition UNKNOWN
12D,12D-001,CMDQ,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:660-743; 359-405,No exact shipped ELF open()+CMDQ ioctl caller; graphics/media names are capability markers only,vendor_file_contexts:/dev/mtk_cmdq -> mtk_cmdq_device; mode/owner from init only; merged TE allow not joined,vendor_file_contexts:/dev/mtk_cmdq -> mtk_cmdq_device; mode/owner from init only; merged TE allow not joined,MDP/register/DMA/display-resource state; no PMS/AMS/HOME sink,worker report; raw CSV schema requires manual review,Unknown,compiled object/DT delivery; exact native caller UID/domain; merged allow; end-to-end effect
12D,12D-002,ION generic/custom,drivers/staging/android/ion/ion.c:1478-1617; drivers/staging/android/ion/mtk/ion_drv.c:319-435,libion.so/libion_mtk.so inventory markers do not identify a process or open/ioctl callsite,plat/vendor_file_contexts:/dev/ion -> ion_device; source/init mode and final allow not fully joined,plat/vendor_file_contexts:/dev/ion -> ion_device; source/init mode and final allow not fully joined,DMA buffer/heap/secure/physical-address state; no package/HOME sink,worker report; raw CSV schema requires manual review,Unknown,exact heap/object/DT; shipped caller UID/domain; Binder-to-open edge; merged TE allow
12D,12D-003,M4U,drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809; 2220-2270,No exact native proc opener or operation caller in preserved ELF inventory,init gives /proc/m4u mode 0440 and system:media; proc genfscon/allow not closed,init gives /proc/m4u mode 0440 and system:media; proc genfscon/allow not closed,DMA/IOMMU mapping and device state; no framework sink,worker report; raw CSV schema requires manual review,Unknown,compiled DT/object; exact proc label+allow; native caller identity; input-to-effect chain
12D,12D-004,uinput/evdev,drivers/input/misc/uinput.c:909-933; drivers/input/evdev.c:840-892,Native inventory found no exact shipped ELF open/write/ioctl caller,plat/vendor_file_contexts:/dev/uinput -> uhid_device/uinput_device; exact merged allow absent,plat/vendor_file_contexts:/dev/uinput -> uhid_device/uinput_device; exact merged allow absent,Synthetic input graph and user-facing events; no direct HOME/PMS sink,worker report; raw CSV schema requires manual review,Unknown,final node policy/allow; shipped object; native caller UID/domain; downstream consumer
12D,12D-005,AUXADC,drivers/misc/mediatek/auxadc/mtk_auxadc.c:553-667; 1515-1651,No exact shipped native ioctl/proc/sysfs writer recovered,Sysfs/proc/device labels and allow tuple absent,Sysfs/proc/device labels and allow tuple absent,ADC/register/calibration state; no package/HOME sink,worker report; raw CSV schema requires manual review,Unknown,selected DT/object; exact node/sysfs policy; caller UID/domain; downstream sink
12D,12D-006,performance/perfmgr,drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,"init is a shipped writer context, but no exact service/native caller chain beyond init was closed",init names system ownership for selected paths; proc labels/TE allow not fully joined,init names system ownership for selected paths; proc labels/TE allow not fully joined,scheduler/governor/touch-boost/resource state; no HOME sink,worker report; raw CSV schema requires manual review,Unknown,exact init trigger/domain and other caller identities; merged proc policy; effect provenance
12D,12D-007,Amazon liquid detection,"drivers/staging/amazon/amzn_ld.c:638-711,737-786",No shipped native sysfs writer identified,"Sysfs owner/group, file_contexts and TE allow not joined; source attrs include writable modes","Sysfs owner/group, file_contexts and TE allow not joined; source attrs include writable modes",liquid-detection/USB/device behavior; no package/HOME sink,worker report; raw CSV schema requires manual review,Unknown,compiled DT/object; exact sysfs label+allow; writer UID/domain; downstream effect
12D,12D-008,Amazon driver test,device/amazon/kernel/driver/amzn_drv_test.c:747-812,No production caller; source path is test-only and not shipped-confirmed,proc label/init import/TE allow absent,proc label/init import/TE allow absent,factory-reset/RTC special-mode state if built; no low-privilege route proven,worker report; raw CSV schema requires manual review,Unknown,product object/module gate; proc policy; production caller identity
12D,12D-009,thermal/PMIC writable controls,drivers/thermal/thermal_core.c:1672-1753; drivers/misc/mediatek/pmic/common/upmu_debugfs.c:323-351,No exact shipped thermal/PMIC writer or UID/domain recovered,init gives selected PMIC paths root:radio 0664; thermal/debugfs labels and allow not fully joined,init gives selected PMIC paths root:radio 0664; thermal/debugfs labels and allow not fully joined,thermal/power availability or PMIC register state; no HOME/PMS sink,worker report; raw CSV schema requires manual review,Unknown,compiled zones/provider/object; exact policy; shipped writer and identity; sink effect
12D,12D-010,USB devio/MTK xHCI,"drivers/usb/core/devio.c:976-1112,1628-1650; drivers/usb/host/xhci-mtk.c:189-195",No preserved USB ioctl/URB caller with UID/domain,plat_file_contexts:/dev/bus/usb -> usb_device; debugfs USB type exists; caller allow not joined,plat_file_contexts:/dev/bus/usb -> usb_device; debugfs USB type exists; caller allow not joined,USB peripheral/control-transfer/hardware state; no framework sink,worker report; raw CSV schema requires manual review,Unknown,exact usbfs node mode+allow; controller object/DT; native caller identity
12D,12D-011,RPMB char/service,"drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776","rpmb_svc is shipped as an init service, but its exact open/ioctl caller and Binder/API input are not closed",vendor_file_contexts has rpmb_block_device/teei_rpmb_device and tee_exec; node mode/allow/capability tuple incomplete,vendor_file_contexts has rpmb_block_device/teei_rpmb_device and tee_exec; node mode/allow/capability tuple incomplete,authenticated persistent storage; no package/HOME sink proven,worker report; raw CSV schema requires manual review,Unknown,service UID/domain and native callsites; exact device policy; API validation and sink provenance
12D,12D-012,SoC Kconfig/custom-node inventory,drivers/soc/mediatek/Kconfig (only file in scoped tree); related MediaTek code under drivers/misc/mediatek,No shipped caller attributable to this directory,No node or file_contexts mapping attributable to this directory,No node or file_contexts mapping attributable to this directory,No sensitive sink established,worker report; raw CSV schema requires manual review,Unknown,exact built object/module and caller/node mapping; do not infer from adjacent drivers/misc code
