family,source_id,surface,caller_reachability,gate_or_boundary,sink_or_capability,runtime_result,disposition,confidence,evidence
kernel/GPL,kernel_to_home_negative,canonical kernel C/H tree literal search,source has no framework caller boundary,,no driver-to-HOME/PMS/ATMS sink,phase6ha/phase6is and prior followup close route,closed,Strong evidence,canonical kernel C/H tree literal search; source_sha256=
Binder/IPC,IPC-01,Ordinary APK UID 10198 -> amazonactivitymanager tx1,confirmed ordinary caller,APP_PREWARM check present; result discarded in saved path; private service boundary,"IPackageManager.getApplicationInfo -> ActivityManagerService.startProcessLocked(..., prewarm, ...)",Handle true; tx1 result 0; target PID appeared; temporary packages removed; HOME/preferred/Fire/users unchanged,process-prewarm deputy,Confirmed runtime,findings/phase-6er-amazon-prewarm-confused-deputy.md; adb/phase6er/PHASE6ER-UNTRUSTED-SERVICE-LOOKUP-20260806-134346/; decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log:3642543-3642622
Binder/IPC,IPC-02,Ordinary APK UID 10223 -> amazonusermanagerservice tx4,confirmed ordinary caller,Binder interface token; no method-local UID/permission gate visible,"AmazonUserManagerHelper.putIntForUser(user_setup_complete=1, tv_user_setup_complete=1)",Handle true; tx4 true; User 0 1/1 observed; exact rollback; HOME/package unchanged,User-0 settings deputy,Confirmed runtime,findings/phase-6gv-amazon-user-manager-tx4-settings-deputy.md; adb/phase6gv/PHASE6GV-USERMANAGER-TX4-20260807-02/; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54524-54566
Binder/IPC,IPC-03,Ordinary APK UID 10227 -> amazonusermanagerservice tx4,confirmed cross-user ordinary caller,Same tx4 interface path; no method-local UID/permission gate visible,Two setup-state putIntForUser writes for supplied profile,Handle true; tx4 true; armed User 10 0/0 -> 1/1; exact rollback; User 0 HOME unchanged,cross-user settings deputy,Confirmed runtime,findings/phase-6gi-amazon-user-manager-tx4-user10-deputy.md; adb/phase6gv/PHASE6GV-AMAZON-USER-MANAGER-TX4-USER10-20260807-02/; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54524-54566
Binder/IPC,IPC-04,Amazon child/profile lifecycle -> IAmazonUserManager tx3,static sink; ordinary reachability not established,Private service-manager/SELinux boundary plus child/KFT predicate,AmazonPackageManager component/application enabled-state setters for Tahoe/Fire/Launcher3,User 10 cross-user and User 0 protected-component gates rejected before mutation; tx3 not replayed here,child-scoped package state; no User-0 HOME,Strong evidence,"findings/phase-6fi-fk-amazon-user-manager-tx-boundary.md; findings/phase-6pr-kft-tx3-authorization-closure.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54325,54415-54478; output/tables/phase6mn-ipc-user-scope-20260810-01.csv:4,11-13"
Binder/IPC,IPC-05,H2ClientService IH2ClientService addUser/createUser workflow,static trusted workflow; ordinary reachability not established,Exported service is BIND_SERVICE signature-bound; account/workflow checks,AmazonUserManager.createAdultUser/createChildUser,No shell route; no low-privilege caller found; no dynamic test allowed,profile lifecycle; no User-0 HOME,Strong evidence,output/tables/phase6mn-ipc-user-scope-20260810-01.csv:2-3; artifacts/phase6mc-alta-static-20260810-01-manifest.txt:144-154; H2ClientService.java:105-107; AndroidUserHelper.java:78-81
Binder/IPC,IPC-06,AmazonPackageManagerService.onBootPhase(550) -> BootAfterSystemOTAReceiver,trusted lifecycle sender; ordinary relay unproven,phase 550 + isUpgrade; protected-broadcast membership; receiver lacks reviewed android:permission claim,PackageHelper.enableComponent(OobeHomeActivity) -> OOBEActivationHelper -> Settings.Secure setup/OOBE flags,OobeHome User-0 disabled in saved state; manual broadcast/OTA trigger not performed; no runtime mutation,OOBE component/settings lifecycle,Confirmed static,findings/phase-6q-bootafter-system-ota.md; findings/phase-6r-bootafter-system-ota-authorization.md; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:96107-96126; output/tables/phase6mo-oobe-context-user-scope-20260810-01.csv:2-6
Binder/IPC,IPC-07,Play Store internal verifier/enterprise-policy paths,holder/package writer static only; caller reachability unresolved,Captured package-state grants; data-app provenance; exact caller/input unknown,Generic setApplicationEnabledSetting/setComponentEnabledSetting,No writer invoked; no Fire/HOME mutation; protected-package rejection remains saved,generic package state; no HOME evidence,Probable,findings/phase-6mb-vending-permission-and-state-writer-audit.md; output/tables/phase6mn-ipc-user-scope-20260810-01.csv:8; output/tables/phase6ps-privilege-route-closure.csv:2-3
Binder/IPC,IPC-08,Amazon DPM restriction/preferred-state surfaces,trusted role/static only; ordinary reachability unclosed,Trusted Device Owner/Profile Owner or policy-admin gate,User restriction and trusted persistent-preferred/package policy sinks,No ordinary caller result; route matrix classifies DPM preferred writer as trusted path,trusted policy state; no ordinary HOME route,Strong evidence,output/tables/phase6pr-privilege-route-matrix.csv:5; output/tables/phase6mt-amazon-ipc-candidates-20260810-01.csv; output/call-graphs/phase6et-amazon-dpm-restriction-gate-class.mmd
OTA/post-install,OTA-01,signed OTA archive/script,Not established; recovery/update context only,updater-script:6-24; 27 ZIP entries,Fixed image/block writes and /cache/recovery/last_blocklist,Phase6BP: no symlink/traversal/duplicate/malformed path or post-install executor,negative within exact package,Strong evidence,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; 4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248
OTA/post-install,OTA-02,file map/blocklist,No dynamic target or caller route shown,"target.system.file_map: 3,779 entries; target.blocklist: 13 targets",13 fixed /dev/block/platform/bootdevice/by-name targets,duplicate_path_count=0; malformed_line_count=0; non_fixed_bootdevice_targets=[],negative within preserved metadata,Strong evidence,a535ef97639495175bf4188a1ad1769ba8206bbd69c1b033367b2b5328ecc1ab; f0a3f810d0dab5486a59cc22b9fc9390e9668760ab5a2b1229580a27fb05d83c
OTA/post-install,UPD-01,native extraction,No shell/ordinary-app invocation established,"update-binary VA 0x401fb8-0x402788; edges 0x4021b4, 0x4022cc, 0x40238c",PackageExtractFileFn -> ota_open/ExtractToMemory/ExtractEntryToFile,Phase6MD: direct extraction/write correlation; updater_executed=false,capability confirmed; route unproven,Strong evidence,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b
OTA/post-install,UPD-02,native block-image/write,No low-privilege entry shown,"VA 0x408f08-0x40b8b8 and 0x413c40-0x413f10; edges 0x409340, 0x409bdc, 0x409d48, 0x40a2e0, 0x40a378, 0x413dcc, 0x413e3c, 0x426354, 0x426e44",PerformBlockImageUpdate -> open/chown/rename; WriteToPartition -> ota_open/ota_write -> open/write,Phase6MD/6MM selected direct-BL graph only; partition_written=false,capability confirmed; route unproven,Strong evidence,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b
OTA/post-install,PATH-01,symlink/canonicalization,No direct selected edge to extraction/write; indirect/unselected paths unresolved,"VA 0x1263ac, 0x1263d9, 0x126405, 0x1312ea, 0x1312f5",Path markers symlink_realpath/realpath/readlinkat/readlink exist,Phase6MK canonicalization_direct_edge_count=0; no runtime symlink/traversal test,open static boundary; no finding,Unknown,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b
OTA/post-install,PATH-02,cache/temp staging,No untrusted staging input established,"MakeFreeSpaceOnCache VA 0x417778-0x417fc4; branches 0x417bf4, 0x409cb8, 0x409ce0",MakeFreeSpaceOnCache has readlink-family call; cache checks branch on result,"Phase6MM one call site, no direct write edge; Phase6NE static return branches",open static boundary; no attacker-controlled path proven,Unknown,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b
OTA/post-install,OOBE-01,post-OTA boot lifecycle,Ordinary replay not a valid route; numeric user unresolved,fosservices:96087-96126; BootAfterSystemOTAReceiver.java:27-61; PackageHelper.java:11-22,Protected BOOT_AFTER_SYSTEM_OTA enables OobeHomeActivity and writes OOBE setup state,Phase6MY/6NI: no Fire Launcher/preferred-HOME writer in reviewed chain; replay rejected,privileged guarded sink confirmed,Strong evidence,0b59425167183deb610188c4ab05d86a994ca040dcf9f1da240d4a8f9a28f43d
OTA/post-install,OOBE-02,system-context user scope,No external user parameter; numeric User 0 not live-proven,"boot-framework disassembly:449212-449262,449576-449604,452691-452721",System context user derives from process user and propagates to broadcast,Phase6NI: 12/12 evidence checks; system-user inference only,system-server capability; ordinary caller route not applicable,Strong evidence,6f0baa99083df47123f53353c3230f1a3835638c33c87f4932bb07ea9c351df5
OTA/post-install,ARCH-01,outer 7.3.3.1 source tar.bz2,No unlisted outer-tail member remains after the EOF-complete audit,artifacts/phase6mi-source-tar-eof-20260810-03/summary.json,No OTA/post-install/recovery/HOME helper in the 35-member source archive,Phase 6MI reached_eof=true; extracted=false; executed=false; device_mutation=false,negative at EOF-complete source-archive member-name scope,Strong evidence,summary_sha256=409ed81ede46db87a0ef8a05cc33b99df2b66e068d1edc1ac481a42e0606169b
OTA/post-install,SAFE-01,test boundary,No device-side caller route tested,Phase6BP/MD/MK/MM/NE/MY/NI summaries,Static analysis only,device_contacted=false; updater_executed=false; recovery_executed=false; partition_written=false,confirmed safety restriction,Strong evidence,host-only summaries
