domain,row_id,subject,method_or_test,publication_or_source,caller_or_image_node,gate_or_policy,identity_or_reachability,user_scope_or_impact,sink_or_result,low_privilege_status,classification,evidence,source_or_hash,next_safe_step,notes
amazon-ipc-provenance,QF-11,Amazon private service publication boundary,"fosinit corpus registers Amazon PM, User Manager, Profile, DPM and callback/vendor instances; runtime saved service checks returned not-found for shell lookup","fosinit corpus registers Amazon PM, User Manager, Profile, DPM and callback/vendor instances; runtime saved service checks returned not-found for shell lookup",No selected ordinary caller reaches private handle through saved service-manager evidence; framework clients are the only recovered callers for reviewed methods,SELinux/service-manager boundary and method-specific permission/role gates; service list/publication is not reachability; identity relay generally UNKNOWN per method,SELinux/service-manager boundary and method-specific permission/role gates; service list/publication is not reachability; identity relay generally UNKNOWN per method,Per-method explicit user or Context; no blanket User-0 propagation inferred,"Reviewed first consumers remain metadata, child/profile, settings, policy, process/window/accessibility; no selected untrusted -> User-0 HOME/package sink",BOUNDED NEGATIVE / CORPUS COMPLETENESS UNKNOWN,BOUNDED NEGATIVE / CORPUS COMPLETENESS UNKNOWN,artifacts/phase6jd-fosinit-20260808-01/extraction-manifest.tsv; artifacts/phase6h/phase6h-framework-ipc-20260804-01/fosinit-edges.csv; artifacts/phase6mv-runtime-report-20260810-02/input-manifest.csv; work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv,,Compare only additional exact-build loader/classpath inputs; no service lookup or transaction,"UNKNOWN is an evidence gap, not a vulnerability claim"
amazon-ipc-provenance,QF-12,OTA controller,OtaService manifest service with com.amazon.dcp.ota.permission.CONTROLLER; IOTAControlService contract 27 tx; OtaService returns controller Binder,OtaService manifest service with com.amazon.dcp.ota.permission.CONTROLLER; IOTAControlService contract 27 tx; OtaService returns controller Binder,Saved static client is OtaServiceConnectionManager in com.amazon.dcp.ota; full caller universe and runtime binder client UNKNOWN,Manifest/service permission plus privileged OTA validator/product/PVT/recovery gates; no clearCallingIdentity in bounded client/contract,Manifest/service permission plus privileged OTA validator/product/PVT/recovery gates; no clearCallingIdentity in bounded client/contract,OTA app/platform handoff user scope not applicable/UNKNOWN; update system/recovery identity boundary unresolved,UpdateSystem.install -> recovery/update-binary -> extraction/block-image partition capability; no HOME/package consumer,PRIVILEGED CAPABILITY / ORDINARY CALLER UNKNOWN / NO EXECUTION EVIDENCE,PRIVILEGED CAPABILITY / ORDINARY CALLER UNKNOWN / NO EXECUTION EVIDENCE,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/device/software/ota/OtaService.java SHA d39c799a8e3f9b31eae3677732f75a679433da856b65261f3c71143a75260d09; findings/phase-6dq-ota-compatibility-runtime-boundary.md; work/luna_worker_ota_canonicalization_provenance_20260810.md,,Only static registration/function-pointer/protection provenance; no OTA/recovery/updater/partition execution,"UNKNOWN is an evidence gap, not a vulnerability claim"
exact-image-policy-client,CMDQ/MDP,CMDQ/MDP,"cmdq/v3/cmdq_driver.c:816-824,848-865; mdp/mdp_ioctl_ex.c; cmdq_driver.c:663-698",UNKNOWN: no CMDQ/MDP init rc,/dev/mtk_cmdq; /dev/mt-mdp; UNKNOWN exact image mode/owner,"mtk_cmdq_device; mt_mdp_device; vendor_file_contexts:326,253; vendor_sepolicy.cil:9,103; allow UNKNOWN",source registration exact; image/client unproven,UNKNOWN exact image mode/owner,CMDQ ioctl -> MDP async/readback/register -> display/media,source registration exact; image/client unproven,MEDIUM source/policy marker; LOW client/allow,"cmdq/v3/cmdq_driver.c:816-824,848-865; mdp/mdp_ioctl_ex.c; cmdq_driver.c:663-698; vendor_file_contexts:326,253; vendor_sepolicy.cil:9,103; allow UNKNOWN",,Host-only resolve .config/module and compiled caller; no node/ioctl,Source capability is not promoted to shipped reachability
exact-image-policy-client,M4U,M4U,m4u/2.4/m4u.c:2261-2268; mdp/mdp_m4u.c,UNKNOWN: no M4U init rc,UNKNOWN exact misc node; source /proc/m4u; UNKNOWN,UNKNOWN exact runtime label; vendor_file_contexts:268 labels libm4u.so; CIL:103 M4U type; allow UNKNOWN,source registration exact; runtime unproven,UNKNOWN,M4U map/alloc -> display/media DMA,source registration exact; runtime unproven,MEDIUM source; LOW policy/client,m4u/2.4/m4u.c:2261-2268; mdp/mdp_m4u.c; vendor_file_contexts:268 labels libm4u.so; CIL:103 M4U type; allow UNKNOWN,,Host-only close M4U Kconfig/Makefile and compiled caller,Source capability is not promoted to shipped reachability
exact-image-policy-client,perfmgr,perfmgr,"performance/perf_ioctl/perf_ioctl.c:223-231; performance/{smart,legacy_controller,eas_controller}","vendor.mediatek.hardware.power@2.0-init.rc:1-24,27-87",/proc/perfmgr/perf_ioctl; /proc/perfmgr/*; system:system; init 0664/0660,proc_perfmgr; vendor_sepolicy.cil:38 genfscon proc /perfmgr; exact allow UNKNOWN,image declaration+source registration; runtime/caller unverified,system:system; init 0664/0660,perf proc/ioctl -> CPU/scheduler boost state,image declaration+source registration; runtime/caller unverified,HIGH path; LOW allow/client,"performance/perf_ioctl/perf_ioctl.c:223-231; performance/{smart,legacy_controller,eas_controller}; vendor_sepolicy.cil:38 genfscon proc /perfmgr; exact allow UNKNOWN",,Host-only map compiled caller and final allow; no proc writes,Source capability is not promoted to shipped reachability
exact-image-policy-client,gsensor,gsensor,sensors-1.0/accelerometer/accel.c and drivers,android.hardware.sensors@1.0-service-mediatek.rc:1-4,/dev/gsensor; system service user/group; node mode UNKNOWN,gsensor_device; vendor_file_contexts:304 -> gsensor_device; exact mtk_hal_sensors allow UNKNOWN,HAL init/file label exact; open/allow unclosed,system service user/group; node mode UNKNOWN,sensor HAL -> accelerometer/gsensor sink,HAL init/file label exact; open/allow unclosed,MEDIUM init/context; LOW allow/client,sensors-1.0/accelerometer/accel.c and drivers; vendor_file_contexts:304 -> gsensor_device; exact mtk_hal_sensors allow UNKNOWN,,Host-only inspect HAL symbols/config; no sensor access,Source capability is not promoted to shipped reachability
exact-image-policy-client,IDME,IDME,device/amazon/kernel/driver/amzn_idme.c:302-356; amzn_drv_test.c:419-506,fireos.hardware.idme@1.1-service.rc:1-4,/dev/block/mmcblk0boot1; /proc/idme; system:system for HAL; block mode UNKNOWN,"idme_block_device; idme_exec; vendor_file_contexts:79-80,687; CIL:918,976-979; exact HAL->block allow UNKNOWN",init/labels exact; allow/client incomplete,system:system for HAL; block mode UNKNOWN,IDME HAL/driver -> metadata sink,init/labels exact; allow/client incomplete,HIGH init/context; MEDIUM source; LOW allow,"device/amazon/kernel/driver/amzn_idme.c:302-356; amzn_drv_test.c:419-506; vendor_file_contexts:79-80,687; CIL:918,976-979; exact HAL->block allow UNKNOWN",,Host-only resolve HAL imports and CIL allow; no reads,Source capability is not promoted to shipped reachability
exact-image-policy-client,IDME lifecycle/sign-of-life,IDME lifecycle/sign-of-life,device/amazon/kernel/driver/amzn_sign_of_life.c:264; amzn_idme.c:302-356; driver README,UNKNOWN: no image init rc,/proc/sign_of_life; /proc/idme; UNKNOWN source proc mode/owner,UNKNOWN exact image label; No exact child mapping found in file_contexts/CIL; allow UNKNOWN,source only; final image/policy/client unproven,UNKNOWN source proc mode/owner,boot/shutdown/thermal/special lifecycle and IDME metadata,source only; final image/policy/client unproven,MEDIUM source; LOW image/policy/client,device/amazon/kernel/driver/amzn_sign_of_life.c:264; amzn_idme.c:302-356; driver README; No exact child mapping found in file_contexts/CIL; allow UNKNOWN,,Host-only check generated config and compiled symbols; no proc writes,Source capability is not promoted to shipped reachability
exact-image-policy-client,amzn_drv_test,amzn_drv_test,amzn_drv_test.c:792-843; Kconfig:65-70; Makefile:28,UNKNOWN: no image init/registration,"/proc/amzn_drvs/{sign_of_life,idme,logger}; source S_IRUGO|S_IWUSR (0644 conventional); owner/group UNKNOWN",UNKNOWN exact image label; No exact amzn_drvs file_context/CIL; domain/allow UNKNOWN,source/Kconfig exact; trona_defconfig omits CONFIG_AMZN_DRV_TEST; image/runtime unknown,source S_IRUGO|S_IWUSR (0644 conventional); owner/group UNKNOWN,test dispatch -> lifecycle/IDME/logger diagnostics,source/Kconfig exact; trona_defconfig omits CONFIG_AMZN_DRV_TEST; image/runtime unknown,HIGH negative defconfig; MEDIUM source; LOW image/client,amzn_drv_test.c:792-843; Kconfig:65-70; Makefile:28; No exact amzn_drvs file_context/CIL; domain/allow UNKNOWN,,Host-only close generated config/module/policy; no proc access,Source capability is not promoted to shipped reachability
existing-runtime-evidence,QF-C-01,Fire package/component gate,Exact build/serial; prior package/component or force-stop probes already captured; mutation paths are excluded.,adb/phase6bk/PHASE6BK-TAHOE-ENABLE-20260805-01/; adb/phase6bl/PHASE6BL-TAHOE-COMPONENT-20260805-01/; adb/phase6fa/PHASE6FA-FIRE-FORCESTOP-PROTECTED-20260806-184100/command-output.txt SHA-256 06ba554adbc33bed568224f73b2c311dce63df2af5893946cf464849392cc9b9; QE read-only home_resolve.stdout.txt SHA-256 d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,UNKNOWN,6BK Tahoe package enable alone did not expose HOME; 6BL shell component enable was rejected before state change; 6FA Fire force-stop hit protected-package rejection. User-0 Fire remained resolver winner.,6BK Tahoe package enable alone did not expose HOME; 6BL shell component enable was rejected before state change; 6FA Fire force-stop hit protected-package rejection. User-0 Fire remained resolver winner.,Exact build/serial; prior package/component or force-stop probes already captured; mutation paths are excluded.,6BK Tahoe package enable alone did not expose HOME; 6BL shell component enable was rejected before state change; 6FA Fire force-stop hit protected-package rejection. User-0 Fire remained resolver winner.,EXISTING_EVIDENCE_ONLY,BOUNDED_EXISTING_EVIDENCE,adb/phase6bk/PHASE6BK-TAHOE-ENABLE-20260805-01/; adb/phase6bl/PHASE6BL-TAHOE-COMPONENT-20260805-01/; adb/phase6fa/PHASE6FA-FIRE-FORCESTOP-PROTECTED-20260806-184100/command-output.txt SHA-256 06ba554adbc33bed568224f73b2c311dce63df2af5893946cf464849392cc9b9; QE read-only home_resolve.stdout.txt SHA-256 d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6,,"YES, read-only only: inspect existing dumps and run no-state queries equivalent to cmd package resolve-activity, dumpsys package, and activity state. Do not reproduce rejection by issuing the writer.","Production caller provenance for a User-0 Fire restoration writer is not closed.; stop: Stop if a proposed step writes package/component state, force-stops, installs, or changes HOME; use host-side correlation only."
existing-runtime-evidence,QF-C-02,KFT child/profile,Existing managed child/profile and exact-build capture; prior lifecycle already performed and rollback recorded.,adb/phase6bk/PHASE6BK-KFT-RUNTIME-20260810-01/metadata.json SHA-256 ee497e02dd5faae4d2bfcde4174d470e449077cab8d4329aea1973ed38a609ab; home_user0_before/after_switch SHA-256 d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6; adb/phase6cb/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/,UNKNOWN,6BK runtime and 6CB/6CZ/6DI captures show child/profile-scoped Tahoe HOME and Fire per-user state; switch-back restored User-0 Fire. Focused evidence did not show a User-0 restoration writer.,6BK runtime and 6CB/6CZ/6DI captures show child/profile-scoped Tahoe HOME and Fire per-user state; switch-back restored User-0 Fire. Focused evidence did not show a User-0 restoration writer.,Existing managed child/profile and exact-build capture; prior lifecycle already performed and rollback recorded.,6BK runtime and 6CB/6CZ/6DI captures show child/profile-scoped Tahoe HOME and Fire per-user state; switch-back restored User-0 Fire. Focused evidence did not show a User-0 restoration writer.,EXISTING_EVIDENCE_ONLY,BOUNDED_EXISTING_EVIDENCE,adb/phase6bk/PHASE6BK-KFT-RUNTIME-20260810-01/metadata.json SHA-256 ee497e02dd5faae4d2bfcde4174d470e449077cab8d4329aea1973ed38a609ab; home_user0_before/after_switch SHA-256 d65b3f8990fb3a8907405d3785dd8cf2826570b92baccb5477f3502df47608f6; adb/phase6cb/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/,,"YES, read-only preflight comparison only: pm list users, dumpsys user/package, per-user HOME resolution, and existing logs. This does not reproduce KFT lifecycle behavior.","Legitimate caller path for KFT tx3 and any User-0 restoration side effect remains unknown.; stop: Stop before tx3, user creation/deletion, switch/start/stop user, or any package/HOME writer."
existing-runtime-evidence,QF-C-03,DPM/Profile,Existing device policy/profile state and saved static/runtime captures; no owner provisioning is permitted.,adb/phase6di/PHASE6DI-DPM-CALLBACK-READONLY-20260806-01/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/; per-run sha256sums.txt and finding phase-6di-kft-dpm-backup-passive.md,UNKNOWN,DPM tx100 to PMS tx73 is owner/admin/UID gated; Profile Owner and backup observations are passive; no active restore writer was established.,DPM tx100 to PMS tx73 is owner/admin/UID gated; Profile Owner and backup observations are passive; no active restore writer was established.,Existing device policy/profile state and saved static/runtime captures; no owner provisioning is permitted.,DPM tx100 to PMS tx73 is owner/admin/UID gated; Profile Owner and backup observations are passive; no active restore writer was established.,EXISTING_EVIDENCE_ONLY,BOUNDED_EXISTING_EVIDENCE,adb/phase6di/PHASE6DI-DPM-CALLBACK-READONLY-20260806-01/; adb/phase6di/PHASE6DI-KFT-DPM-BACKUP-PASSIVE-20260806-01/; per-run sha256sums.txt and finding phase-6di-kft-dpm-backup-passive.md,,"YES, read-only: dumpsys device_policy, users/profile metadata, package/manifest and saved log comparison. It cannot reproduce owner-gated callbacks.","A legitimate existing Profile Owner relay and native/backup runtime callback remain unverified.; stop: Stop before provisioning/removing owner, changing admin state, invoking tx100/tx73/tx80/81, or sending raw Binder parcels."
