domain,surface,location,caller_or_scope,gate_or_permission,identity_and_user_scope,sink_or_effect,runtime_evidence,status,next_safe_step,evidence_hash,source_csv,source_sha256
asp-audio,AmazonAudioService::setAudioRoutingMode,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:03cfba-03d0ce,AmazonAudioManager facade,android.permission.MODIFY_AUDIO_ROUTING,no,setAudioRoutingForUid audio routing,No method invocation; static only,STATIC_AUDIO_ONLY,No invocation; signed-build artifacts only,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
asp-audio,AmazonAudioService::setAudioMute/setAudioOutputFormat/setSpeakerMute,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:03d934-03d99a;03dc30 onward,AmazonAudioManager facade,signature/privileged; MODIFY_AUDIO_SETTINGS or INTERACT_ACROSS_USERS_FULL,clear then restore identity,AudioService AudioCapabilities output state; no package/HOME/root sink,No method invocation; static only,STATIC_AUDIO_ONLY_WITH_IDENTITY_CLEAR,Verify balanced identity host-only; no Binder,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
asp-audio,AmazonAudioService::getPackageInFocus,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:03d206-03d22c,AmazonAudioManager facade,android.permission.PACKAGE_USAGE_STATS,no,read-only focus query; no package write,No invocation; static only,READ_ONLY_PACKAGE_OBSERVATION,No action; retain negative sink result,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
asp-audio,AmazonAudioService::onStart,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:03eddc-03edf8,system_server lifecycle,N/A,no,publishBinderService amazonaudioservice,saved service_list; SELinux Enforcing,CONFIRMED_STATIC_PUBLICATION,Host-only service_contexts/te completeness; no device action,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
asp-audio,AmazonActivityManagerService::preWarmApplicationForUser,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:036f4a-037036,AMS BinderService,com.amazon.permission.APP_PREWARM,clear then restore identity,startProcessLocked process-prewarm; no package/HOME/root writer,Existing static only; no transaction,CLOSEST_HIGH_PRIVILEGE_WRITER_REVIEW_ONLY,Host-only caller-contract review only,ecbe62fe8eb8bd575da8b2a73a1551651c,work/luna_worker_asp_permission_sink_closure_20260810.csv,e4212271e783a7ab522d9da922a8013dcaf5dbc0129df79294ad4e51edc17778
ota-canonicalization,J-01,OSUpdateValidator.java:73-78; :42-50," ""UpdateValidator.validateUpdate -> validateOSUpdate"""," ""pending-update hash; RecoverySystemWrapper.verifyPackage; OSUpdatePropertiesValidator.assertUpdatePropertiesValid"""," ""DeviceSoftwareOTA privileged app process; package userId 10023; signature/privileged permissions include com.amazon.dcp.ota.permission.PROCESS_UPDATES and CONTROLLER"""," ""validated-state DB update only; native recovery verifier handoff is subsequent""",NOT_EXECUTED; host-only artifact closure," ""VERIFIER/CERTIFICATE/PRODUCT-PVT STATIC CHAIN CONFIRMED; native verifier implementation outside Java corpus"""," ""Host-only recover platform RecoverySystem/recovery verifier provenance and caller identity; do not execute"""," ""36fca220ec2332bee5e5af3c9c2317056a425b90507951345d5b729c76c6f256; 01e29ec3a2649d85d033ce7ce65034631ebb44ef00633e34a95b0eb063f317f""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,J-02,RecoverySystemWrapper.java:21-23," ""OSUpdateValidator.assertRecoverySystemVerifiesPackage; SideloadVerifier.verifySideloadPackage"""," ""RecoverySystem.verifyPackage(file",null,"null); GeneralSecurityException/IOException reject""",NOT_EXECUTED; host-only artifact closure," ""same privileged OTA Java caller; platform recovery/native identity unresolved in saved Java sources"""," ""platform recovery package signature/certificate verifier; exact native VA not recovered"""," ""CERTIFICATE GATE PRESENT; exact cryptographic implementation and native identity unresolved; no bypass evidence""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,J-03,"SideloadInstaller.java:65-74,87-95"," ""controller/lifecycle caller -> installSideload or verifySideloadIntegrity"""," ""buildSideload isFileReadyToBeUsed; integrity path runs metadata/sanity/package/device-state checks; install branch calls verifySideloadWithoutRecoveryCheck"""," ""DeviceSoftwareOTA internal privileged component; ordinary app/shell caller not established"""," ""UpdateSystemWrapper.install; recovery/native handoff""",NOT_EXECUTED; host-only artifact closure," ""LEGAL PRODUCTION CALLER MODEL CONFIRMED for privileged controller path; no shell/ordinary-app path proven"""," ""Static-only enumerate all callers of SideloadInstaller and their Binder/permission boundary"""," ""98fe15a329e96ec793fc3f50172d945d9d409b734efce084af38bbef49248e4a""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,J-04,SideloadMover.java:31-44," ""SideloadInstaller.installSideload -> maybeMoveSideloadFile"""," ""OTA data-dir support; external-storage-space check; basename-derived destination; FileHelper.moveFile"""," ""privileged OTA app file context; no Java canonicalPath/NOFOLLOW marker in bounded source"""," ""/data OTA staging then UpdateSystem.install""",NOT_EXECUTED; host-only artifact closure," ""STAGING EDGE CONFIRMED; canonicalization/readlink behavior delegated/unresolved; not symlink/traversal finding"""," ""Static-only inspect FileHelper.moveFile and framework/native staging implementation; no traversal test"""," ""59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,J-05,UpdateSystemWrapper.java:33-44," ""SideloadInstaller.installOSUpdate -> UpdateSystemWrapper.install"""," ""external-storage prefix remap; screen-state setting; flags j; Context passed to UpdateSystem.install"""," ""privileged OTA app Context; caller identity at platform UpdateSystem/native boundary unresolved"""," ""UpdateSystem.install(Context",NOT_EXECUTED; host-only artifact closure,path,flags,"emptyMap) -> recovery/native updater handoff""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,N-01,update-binary main 0x400cb0; RegisterInstallFunctions 0x406978; RegisterFunction 0x41d528," ""recovery updater main"""," ""recovery/update-binary execution context; Edify function registry"""," ""native recovery/updater identity; shell/ordinary-app execution path not established"""," ""package_extract_file -> PackageExtractFileFn 0x401fb8-0x402788 -> ota_open 0x426338 -> open/extract/fsync/close""",NOT_EXECUTED; host-only artifact closure," ""PRIVILEGED CAPABILITY CONFIRMED; production caller is signed recovery/update flow only in saved corpus"""," ""Static-only map UpdateSystem/recovery handoff to exact update-binary exec and SELinux domain"""," ""02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,N-02,RegisterBlockImageFunction 0x40d0a8; registrations 0x40d0fc/0x40d144/0x40d190/0x40d1d8/0x40d224; cells 0x5af670-0x5af690," ""main -> RegisterBlockImageFunction -> RegisterFunction"""," ""registered names block_image_verify/update/recover/check_first_block/range_sha1; function pointers resolved"""," ""recovery updater native identity"""," ""block_image_update cell 0x5af678 -> BlockImageUpdateFn 0x40b8b8 -> PerformBlockImageUpdate""",NOT_EXECUTED; host-only artifact closure," ""REGISTRY DATA-FLOW CLOSED; invocation remains script/recovery-gated"""," ""Static-only follow registry lookup from Edify parser to selected handler call and error returns"""," ""a0186bb7d053d23f002dc663b9ee3f312255410b35ed997a74e864fc8f9229a6""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,N-03,PerformBlockImageUpdate 0x408f00-0x40a4xx; WriteToPartition 0x413c40-0x4142f0," ""block_image_update -> BlockImageUpdateFn -> PerformBlockImageUpdate"""," ""block/transfer-list processing; block verification and mismatch/error branches; cache-size check call present"""," ""recovery updater identity; targets fixed by PS7331 updater-script"""," ""WriteToPartition -> ota_open 0x426210; ota_write 0x426d58 -> write 0x4d4a10; named system/vendor and boot-chain targets""",NOT_EXECUTED; host-only artifact closure," ""ACTUAL WRITE GUARD/SINK DIRECT EDGES CONFIRMED; no execution or partition write"""," ""Static-only complete CacheSizeCheck return/error data-flow and target argument provenance"""," ""02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b; 6dec85cee148a60daba1e8c781f30370389c6d95ff787623cb6ac830f058a834""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,N-04,MakeFreeSpaceOnCache 0x417778-0x417fc4; call 0x417bf0 -> __readlink_chk 0x4ce4e8," ""updater cache/free-space helper; caller set not fully recovered"""," ""cache path bookkeeping; stat/opendir/readdir/strncmp/unlink/readlink-family branches"""," ""recovery updater identity unresolved at helper entry; no untrusted caller established"""," ""cache/free-space state; selected graph has no direct edge to PackageExtractFileFn/PerformBlockImageUpdate/WriteToPartition""",NOT_EXECUTED; host-only artifact closure," ""CANONICALIZATION MARKER CONFIRMED; direct canonicalization-to-write edge bounded-negative"," indirect data-flow unresolved"""," ""Static-only enumerate all callers",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,N-05,"updater-script lines 6,10,13,15-24; target.blocklist"," ""signed PS7331 OTA -> recovery update-binary"""," ""OTA certificate/signature gate upstream; fixed Edify operations; no run_program/symlink/dynamic target"""," ""recovery/updater privileged identity; shell/ordinary APK cannot directly select script execution"""," ""system/vendor block_image_update; fixed boot/preloader/lk/tee/spmfw/sspm/cam_vpu partitions; /cache/recovery/last_blocklist""",NOT_EXECUTED; host-only artifact closure," ""FIXED PRODUCTION TARGETS CONFIRMED; package-scoped path scan found no archive symlink/traversal; not a low-privilege route"""," ""Static-only correlate recovery acceptance", script parser,work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
ota-canonicalization,P-01,"device_properties.txt:215,278,306; init paths fireossystemota_fosinit.xml"," ""boot/init/recovery lifecycle"""," ""ro.boot.selinux=enforcing; recovery_id/expect.recovery_id markers; update_verifier_nonencrypted stopped in saved snapshot"""," ""boot/recovery/init domains and verified-boot chain; exact SELinux allow rule for updater not recovered"""," ""policy/identity gate before native updater""",NOT_EXECUTED; host-only artifact closure," ""SELINUX/AVB BOUNDARY MARKERS CONFIRMED; no shell-to-updater transition or AVB bypass established"""," ""Static-only recover exact init/service/domain/AVB verifier provenance"""," ""sha256 not available for individual property snapshot; source evidence retained in device/fireos-config/CONFIG-20260803-02""",work/luna_worker_ota_canonicalization_provenance_20260810.csv,374d5bdb1eb0d3658d9bce25abd48cb75b30795d369f94e8650efde6f962ac18
