id,surface,caller_or_input,gate_or_policy,binder_identity,user_scope_or_target,sink_or_effect,observed_effect,evidence,confidence,missing_edge,next_safe_step
P14-IPC-012,LauncherHijackPreventer / package policy,system-server ActivityStack/PackageManager/PermissionManager callbacks,SELinux amazon_policies:see_home_task or Android-signature visibility gate; shutdown READ_LOGS revoke path,system-server callback identity; no external Binder identity established,tracked package/user pairs; no HOME selector,boolean HOME-task visibility plus READ_LOGS/fdrw bookkeeping,Visibility/permission bookkeeping only; no Fire package-state or preferred-HOME writer,work/luna_worker_phase7e_launcher_watchdog_surface_20260810.md; findings/phase-6am-launcher-hijack-preventer.md,Confirmed,unpreserved native/overlay callback edges and complete callback registration inventory,"Read-only callback registration, SELinux rule, and sink search"
P14-IPC-013,DCPMS child-experience decision,IDeviceChildExperienceModeDecisionManager client not found; DCPMS owner only,manifest GET_DCP decision permission; Stub interface token only,Incoming identity not read/cleared in saved service code,singleUser process-global decision state; no explicit user argument,read-only decision retrieval/callback map,No Settings/PMS/HOME/package mutation sink recovered; caller and grant remain unresolved,work/luna_worker_phase9c_residual_ipc_20260810.csv; work/luna_worker_phase12_existing_evidence_20260810.csv,Unknown,"production client/UID, service-manager lookup/bind evidence, permission grant, and external user mapping",Static manifest/AIDL/client inventory only
P14-IPC-014,Historical accessibility/foreground workaround,Accessibility service test app and ADB monitor; not a durable package writer,Accessibility enablement and bounded foreground dispatch gates,test process/service identity; no formal HOME writer identity,User 0 foreground run; formal HOME remained Fire Launcher,Accessibility/AMS foreground redirect path,Foreground/redirect observation only; T01/T02 did not replace formal HOME and redirect package was absent,work/luna_worker_phase12_existing_evidence_20260810.csv; adb/phase11/PHASE11-ACCESSIBILITY-LIVE-T01/result.json; adb/phase11/PHASE11-ACCESSIBILITY-LIVE-T02/result.json,Confirmed,repeatability/persistence outside bounded runs and exact redirect consumer,Use only existing hashed results; no replay or accessibility mutation
P14-OTA-001,PS7331 updater,recovery/updater context implied,build-date and product abort; Edify execution boundary,recovery/native UID not recovered,fixed named targets only,block_image_update and package_extract_file to system/vendor/boot-chain/cache,static partition and cache write capability only; no execution,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; artifacts/phase6i/phase6i-ota-postinstall-20260804-01/ota-findings.csv,Strong evidence,low-privilege caller and actual execution not proven,hash and reread supplied signed package only
P14-OTA-002,native updater,recovery accepted updater invocation,indirect Edify/function-pointer dispatch; no shell API,privileged recovery identity not recovered,script-fixed paths,open/rename/chown/write and partition writer capability,static capability only; partition_written=false,firmware/extracted/PS7331/META-INF/com/google/android/update-binary; work/luna_worker_phase6sp_ota_native_20260810.md,Strong evidence,dispatch caller; archive argument-to-target provenance; SELinux domain,host-side disassembly/pointer/argument tracing only
P14-OTA-003,Java verifier and handoff,OTA app/controller path shown only as source/decompilation provenance,metadata/build/product/signature/PVT plus RecoverySystem API boundary,caller package/UID and native identity unresolved,staging path then recovery handoff,recovery accepted package/native updater,verification/staging/install flow statically observed; no native execution,findings/phase-6kt-recovery-verifier-provenance.md; work/luna_worker_phase6af_ota_verifier_gap_20260810.md,Unknown,AVB/rollback-index decision; final recovery exec/domain/UID; production caller,static verifier/AVB/init provenance audit; no crafted or downgrade package
P14-OTA-004,AVB rollback and recovery handoff,exact production caller not recovered,signature|privileged controller boundary; native recovery verifier unknown,not established,not established,accepted package and updater exec boundary,not observed at runtime; updater/recovery not executed,work/luna_worker_phase6af_ota_verifier_gap_20260810.md; work/luna_worker_phase12_existing_evidence_20260810.md,Probable,verifier-to-AVB/rollback-to-exec chain and SELinux identity,read existing audit/manifests and source only
P14-OTA-005,cache/path helper,PerformBlockImageUpdate callers at 0x409cb8/0x409ce0,nonzero error branch and indirect helper calls statically identified,recovery updater identity only,cache paths not attacker-controlled in evidence,cache free-space/readlink-family helper,static error/continuation semantics; no traversal or write effect established,artifacts/phase6ne-updater-cache-flow-20260810-03/focus-disassembly.txt; work/luna_worker_phase6af_ota_verifier_gap_20260810.md,Unknown,all callers; input/path provenance; relation to writer,offline CFG/dataflow only; do not test symlink/traversal
P14-OTA-006,post-install inventory,none established,package/member inventory only,not applicable,not applicable,no separate A/B postinstall executable found in bounded set,negative package-scoped finding; native updater and last_blocklist remain,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/result.md; work/luna_worker_ota_postinstall_followup_20260810.md,Probable,outer tar listing did not reach verified EOF; unlisted members remain unknown,complete outer archive listing read-only
P14-OTA-007,BootAfterSystemOTA,system-server lifecycle sender,phase 550 + isUpgrade(); protected RECEIVE_BOOT_AFTER_SYSTEM_OTA action,system-server context-derived numeric user unresolved,PackageHelper.setComponentEnabledSetting(OobeHomeActivity,state=1),static lifecycle writer; no replay and no runtime post-OTA effect,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:96087-96126,Strong evidence,numeric user and natural delivery/persistence not closed,host-only Context/user trace; natural authorized OTA read-only observation only
P14-OTA-008,OOBE setup state,receiver lifecycle chain,receiver/action and upgrade/OOBE gates,receiver context identity,ContentResolver context-derived user; numeric User 0 unknown,Settings.Secure setup/OOBE keys,static settings writer only; HOME consumer not shown,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/OOBEActivationHelper.java; SettingsDBUtils.java; work/luna_worker_phase6aj_user_scope_closure_20260810.md,Strong evidence,numeric user; persistence; downstream HOME resolver consumer,read-only source/dataflow and existing state only
P14-OTA-009,OOBE-to-HOME boundary,no ordinary caller established,protected lifecycle and OOBE gates,receiver/system lifecycle identity,User 0/other user not proven,OobeHomeActivity component state,no proven Fire Launcher HOME replacement,work/luna_worker_ota_postinstall_followup_20260810.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md,Unknown,component state to resolver/HOME effect; exact user scope,trace first consumer statically; do not mutate settings or replay broadcast
P14-OTA-010,otadexopt,on-shell service capture only,done()/precondition gate,shell/service identity,service/user scope not relevant to partition route,OAT/VDEX dexopt state,existing capture reached precondition/error; mutating steps not executed,work/luna_worker_ota_init_privilege_inventory_20260810.md; findings/phase-6af-otadexopt-implementation-closure.md,Strong evidence,mutating command caller and exact persistence; no OTA/partition/HOME join,read existing capture or offline implementation review
P14-OTA-011,HOME/PMS writers,production ordinary caller not closed,permission/owner/profile/system gates vary,system/package-manager or profile identity,explicit user args; KFT child/profile scope; User 0 Fire target not proven,preferred HOME or package/component state writers,existing writers are capability only; no closed User-0 Fire HOME chain,work/luna_worker_phase6sq_home_pms_writer_20260810.md; work/luna_worker_phase12_existing_evidence_20260810.md,Strong evidence,caller identity; target component; user provenance; persistence/effective resolver,host-side production caller and user-argument trace only
P14-OTA-012,init/SELinux/native helper,callback implementation/native exec caller absent,init registration and stock enforcing/verified locked baseline,init/recovery identity not established,not fixed,callback/recovery policy boundary,configuration/policy surface only; no ordinary caller to privileged writer,work/luna_worker_phase6sp_ota_native_20260810.md; work/luna_worker_ota_init_privilege_inventory_20260810.md,Unknown,callback implementation; exact domain/allow tuple; final exec,read-only policy/context provenance audit
P14-OTA-013,prior Phase 5/6/10/12 evidence,phase-specific callers remain bounded or trusted,Phase 5 provenance/config; Phase 6 verifier/native/OOBE; Phase 10/12 caller/HOME reconciliation,phase-report identities only,not a single closed sink,partition/OOBE/HOME sinks as above,no prior result closes low-privilege OTA-to-partition route,findings/phase-5ba-ps7331-upgrade-assessment.md; work/luna_worker_phase6af_ota_verifier_gap_20260810.md; work/luna_worker_phase10c_ota_postinstall_closure_20260810.md; work/luna_worker_phase12_ota_20260810.md,Strong evidence,corpus completeness and all listed caller/SELinux/AVB/user/persistence gaps,do not repeat prohibited runtime tests; reconcile only new host evidence
P14-BS-001,OOBE component-state writer,Amazon OOBE helper/receiver path; external production caller not isolated,OOBE lifecycle and PMS component-state checks; no explicit user argument,System/priv-app context likely; exact UID/domain not closed,implicit current process/user,PackageManager.setComponentEnabledSetting(state 2/1 flags 1),enables/disables an OOBE component; target and user are dynamic,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv:6; artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv:582,Unknown,exact target component; caller UID/domain; user attribution; accepted PMS result,Host-only compare of a new exact-build OOBE source/manifest; no dispatch
P14-BS-002,OOBE settings writer,OOBEActivationHelper and OTA/OOBE lifecycle callers; no ordinary caller proven,framework SettingsProvider permission and OOBE/provisioning predicates,priv-app/system-facing context; exact UID/domain unknown,primarily User 0 in saved OOBE artifact but explicit user propagation unknown,ContentResolver insert/update to Settings.Secure/Global,changes user_setup_complete device_provisioned and isOOBEActive; no package/HOME setter,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv:2-5; decompiled/jadx/ota-PS7331/settings/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:21-74,Unknown,exact provider authorization; explicit user; production entrypoint; persistence timing,Host-only compare of provider/source additions; do not invoke OTA/OOBE actions
P14-BS-003,OOBE exported lifecycle receiver,system-server OTA sender only; ordinary sender not established,RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus protected action and phase-550/PMS-upgrade checks,system_server sender domain; receiver package UID unknown,User 0/setup context inferred only from OOBE flow,receiver reaches OOBE component/settings helpers,OTA-gated OOBE activation and component state changes; not a public HOME setter,artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv:582; work/luna_worker_fosinit_exported_sink_followup_20260810.csv,Unknown,actual sender identity and exact user delivery; no runtime effect,Host-only inspect a newly preserved exact-build manifest/source delta; never send broadcast
P14-BS-004,Amazon private component policy action,internal product-policy action; external caller not proven,matching policy input and trusted internal caller required; downstream PMS checks apply,system_server/privileged domain likely; exact UID unknown,explicit user parameter not visible in bounded callsite,AmazonPackageManager.setComponentEnabledSetting and setApplicationEnabledSetting,can change arbitrary dynamic component/package state supplied by policy input; no Fire literal in bounded method,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:37,Unknown,policy input provenance; action publication/export; target validation; user ID,Host-only trace of action registration and callers in a new exact-build corpus
P14-BS-005,Amazon OOBE registration component writer,Amazon input/keymapping adapter; production trigger not identified,PackageManager component-state checks; no local permission in bounded method,system_server/privileged service context likely; exact UID/domain unknown,implicit current user,PackageManager.setComponentEnabledSetting(com.amazon.tv.oobe/.RegistrationActivity),enables OOBE RegistrationActivity; component state only,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:32,Unknown,trigger/publication; caller identity; explicit user; PMS acceptance,Host-only source/caller join; no action trigger
P14-BS-006,Amazon Gemini mode package writer,mode-switch service handler; production caller not isolated,PackageManager enabled-setting checks; no local gate visible in bounded method,privileged/system service context likely; exact UID/domain unknown,implicit current user,PackageManager.setApplicationEnabledSetting(dynamic package),enables/disables Gemini-selected package; no Fire/HOME literal,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:33,Unknown,dynamic package source; mode-switch caller; explicit user; persistence/result,Host-only inspect exact handler callers and package selector
P14-BS-007,DCPMS exported profile-policy receiver,broadcast producer unknown; receiver exported,component permission blank in inventory; producer/action authorization unknown,package UID/domain not established,active profile/user context; exact user mapping unknown,CDE profile type/active-app-list persistence and DeviceExperienceModeEvaluator.evaluate,changes parental/profile policy state; no PMS/HOME sink found,work/luna_worker_phase6sv_exported_surface_20260810.csv:6,Unknown,producer identity; custom permission/manifest exact protection; persistence file and user mapping,Host-only inspect receiver source and manifest permission resolution; do not send broadcast
P14-BS-008,DCPMS protected user-switch receiver,system protected-broadcast producer only; ordinary sender not established,android.intent.action.USER_SWITCHED protected action,system/AMS broadcast domain; package UID unknown,user-switch target; exact User 0 effect unknown,CDE OS-user/profile-type persistence and child-mode active-app-list clear,policy state follows user switch; no package/HOME sink,work/luna_worker_phase6sv_exported_surface_20260810.csv:7,Unknown,producer and exact persistence consumer; user mapping; merged permission/SELinux,Host-only source/manifest/policy join; no broadcast delivery
P14-BS-009,SettingsProvider exported state writer,external ContentProvider clients; exact client not proven,WRITE_SECURE_SETTINGS for secure/global; WRITE_SETTINGS/app-op for system; cross-user gate,android.uid.system provider; client UID/domain unknown,calling user and requested namespace,SettingsProvider writes settings database,can alter secure/global/system settings including setup/policy keys subject to per-key gates; no direct package/HOME sink,work/luna_worker_phase6wk_broad_surface_20260810.csv:WK-014/WK-015; artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv:256,Unknown,per-key restrictions; provider SELinux; exact caller grant and target key,Host-only compare provider manifest/source and permission holders
P14-BS-010,DPM package suspension/hidden writer,active admin/device-owner/profile-owner caller; ordinary app/shell route not proven,active-admin/owner checks plus PMS permission and protected-package checks; DPM caller UID checked,system_server UID 1000 after internal delegation; admin user scope,admin/profile-owner user and target user argument,IPackageManager.setApplicationHiddenSettingAsUser / setPackagesSuspendedAsUser,can hide or suspend packages for a user; no HOME setter and no proven User-0 ordinary route,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:20-21; work/luna_worker_parent_profile_dpm_sink_closure_20260810.md,Unknown,exact admin identity/grant; target package; accepted result; cross-user provenance,Reuse saved Phase 10/parent-owner evidence; no policy API calls
P14-BS-011,CMDQ/MDP native node,no exact shipped ELF open/ioctl caller,device node mode/init ownership only; merged TE allow unresolved,init records system:system node ownership; caller domain/UID unknown,device-global kernel/display state,CMDQ/MDP ioctl copy/dispatch to register/DMA/display-engine state,can affect display/DMA state; no package/PMS/AMS/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-001,Unknown,final object/module and DTB; merged file_contexts/TE; native caller; input-to-node edge,Host-only join against a newly supplied exact-build object/DT/policy/native inventory
P14-BS-012,ION native node,no exact top-level shipped native opener; libraries alone are not caller proof,node labels and policy allow are incomplete; heap/DT delivery unresolved,system:graphics metadata suggested but domain/UID unknown,device-global DMA/secure/physical memory state,ION ioctl family and MTK custom controls,can affect DMA/secure/physical memory state; no framework package/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-002,Unknown,final heap/object/DT; exact merged node policy; native caller/domain; loader-to-open edge,Host-only join of final object/DT/policy and exact native caller
P14-BS-013,uinput native node,no exact shipped ELF open/write/ioctl caller,conflicting plat/vendor labels and missing allow tuple; init ownership not caller proof,init metadata suggests system:net_bt_admin but actual domain/UID unknown,device-global synthetic input graph,uinput create/destroy/event writes,can create synthetic input devices; no package/PMS/AMS/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-004,Unknown,final ueventd mode/label; merged TE; shipped object; native caller; downstream input consumer,Host-only join of final node policy/object and native caller
P14-BS-014,RPMB native char/service,rpmb_svc init service; exact ELF callsite and API caller not recovered,TEE/authentication plus incomplete node mode/allow tuple,service UID/group metadata includes system/drmrpc; domain and caller unresolved,device-global authenticated persistent storage,unlocked_ioctl RPMB authenticated read/write/counter operations,can alter authenticated persistent storage; no package/PMS/AMS/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-007,Unknown,final node/object registration; service ELF callsite; UID/domain/capability; userspace validation,"Host-only inspect exact service ELF, DT/ueventd, and merged SELinux policy"
P14-LIVE-001,User 0 formal HOME baseline,read-only cmd package resolve-activity,standard HOME resolver; no mutation,command result only; caller not inferred,User 0,com.amazon.firelauncher/.Launcher; priority=50; isDefault=true,resolver and recent START logs select Fire Launcher,adb/phase14/PHASE14-READONLY-SERVICES-20260810-01/home_resolution.stdout.txt; recent_logcat.stdout.txt,Confirmed,none for this observed baseline; this is not a privilege proof,retain as post-analysis guard
P14-LIVE-002,ordinary preferred HOME record,read-only dumpsys package preferred-xml,record contains MAIN + HOME + DEFAULT,not applicable to read-only dump,User 0,com.amazon.firelauncher/.Launcher preferred record,record and resolver agree on Fire Launcher,adb/phase14/PHASE14-READONLY-SERVICES-20260810-01/preferred_xml.stdout.txt,Confirmed,ordinary third-party preferred record was not rewritten in this phase,use prior Phase 3C/3A records; do not repeat matrix
P14-LIVE-003,Amazon private service visibility,read-only service list and dumpsys,service names are listed; shell lookup is denied/not found,shell UID 2000 for read-only command,device service-manager namespace,"amazonactivitymanager, amazonwindowmanager, amazonusermanagerservice, amazonprofileservice not callable by this shell route",each dumpsys attempt returned Can't find service,adb/phase14/PHASE14-READONLY-SERVICES-20260810-01/service_list.stdout.txt; amazon_*_manager.stderr.txt,Confirmed,other authorized callers or exported wrappers remain unproven,host-only Stub/manifest/SELinux join; no guessed transaction
P14-IPC-STATIC-001,AmazonActivityManagerService prewarm authorization candidate,"IAmazonActivityManager.Proxy.preWarmApplicationForUser(String,int,int)",Context.checkCallingPermission(com.amazon.permission.APP_PREWARM) return is not visibly consumed before clearCallingIdentity,static method clears identity before package lookup/startProcessLocked; live call not performed,method accepts target package and profile/user integers; no external input attribution closed,"ApplicationInfo lookup then startProcessLocked(..., ""prewarm"", ...)",static authorization-anomaly candidate only; shell service route denied,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:40453-40535; findings/phase-6k-ipc-anomaly-candidates.md; output/tables/phase6k-ipc-anomaly-candidates.csv,Strong evidence,"exact DEX register semantics, external caller, SELinux service access, input validation, security impact",host-only parent Stub/callee and caller/permission/SELinux join
P14-IPC-STATIC-002,prewarm legitimate caller boundary,Amazon Alexa ExplicitIntentAction.prewarmApplicationProcess,privileged Amazon Alexa package; APP_PREWARM signature|amazon; target endpoint registry filters,privileged Alexa caller in preserved source; no ordinary app caller found,target package plus foreground profile id,prewarm request only; no HOME/package-state writer in saved path,"supports authorized-caller interpretation, not exploitability",artifacts/phase6j/ota-alexa-system-ota-jadx-20260805-01/sources/amazon/speech/sim/router/intentrouter/ExplicitIntentAction.java:268-282; manifest.txt:143-150,Strong evidence,complete universe of callers and runtime Binder/SELinux tuple,static caller inventory only
