domain,surface_or_route,source_or_entry,authority_or_permission,caller_or_scope,sink_or_effect,persistence_or_runtime,status,next_safe_step,source_csv
kernel-driver-surface,mediatek_debugfs_sysfs,"drivers/misc/mediatek/ GPU GED/debugFS, PMIC debugfs, SSPM sysfs, USB-C/mmprofile debugfs; paths and hashes summarized in work/luna_worker_source_scope_driver_audit_20260810.md","Source writers do not establish mounted debugfs, node mode, label, or SELinux domain allow",Existing evidence: GED directory denied; USB-C/mmprofile nodes absent; no debugfs/sysfs write attempted,Hardware/debug/telemetry state sinks; no direct HOME/PMS/ATMS sink,findings/phase-6br-amazon-kernel-user-surfaces.md; findings/phase-6me-driver-control-closure.md,static capability with bounded negative runtime evidence; exploitability not established,Offline map Kconfig/module/init and extracted file contexts/policy,work/luna_worker_kernel_driver_surface_followup2_20260810.csv
kernel-driver-surface,vendor_mediatek_tree,firmware/extracted/PS7331-SOURCE-20250617/platform/vendor/mediatek/; kernel-root vendor/mediatek absent,"No runtime binding, node metadata, or SELinux/caller evidence for arbitrary vendor members",No preserved vendor ioctl/device caller or state-changing effect,Potential hardware/vendor sink only; no framework/HOME sink,findings/phase-6n-kernel-surface-index.md; work/luna_worker_kernel_gpl_driver_surface_followup_20260810.md,unknown; do not infer build inclusion from path presence,Hash/classify only files referenced by Makefiles/Kconfig/manifests,work/luna_worker_kernel_driver_surface_followup2_20260810.csv
kernel-driver-surface,kernel_to_home_negative,Canonical MT8183 kernel C/H source search; existing summary SHA-256 129bd9e929cad163652e6140a0c84248bcf16ef951ad6c2760ec0bf3e2da9669,No kernel source caller can be connected to Android framework permissions or SELinux service path,No ordinary-app-to-driver-to-HOME/PMS/ATMS route demonstrated,No state-changing launcher/framework sink in audited kernel scope,work/luna_worker_kernel_surface_followup_20260810.md; findings/phase-6is-selinux-driver-route-closure.md,closed bounded negative; not a universal claim about absent artifacts,Revisit only if a new exact caller/framework artifact is preserved,work/luna_worker_kernel_driver_surface_followup2_20260810.csv
ipc-ota-oobe-surface,Amazon PM proxy receiver,IAmazonPackageManager tx6 registerProxyReceiver / tx7 deregisterProxyReceiver,Effective external authorization not closed; do not infer missing marker as absent protection,External caller universe not closed; private service shell lookup was denied in saved capture,Proxy receiver/broadcast path; downstream state or package/HOME consumer unresolved,No invocation or mutation; service-manager denial only,unknown bounded static surface,Enumerate all host-side callers and manifest ownership; trace receiver dispatch and first state consumer offline,work/luna_worker_ipc_ota_unclosed_followup_20260810.csv
ipc-ota-oobe-surface,Vending exported receiver,com.google.android.finsky.setup.LauncherConfigurationReceiver; manifest exported entry,Manifest/action boundary recorded; body skipped by JADX so effective gate/data validation unknown,Potential external sender because exported declaration; exact caller not established,May process package/component install configuration; no recovered Fire Launcher/HOME sink,No component invoked; static manifest/source only,unresolved skipped-code boundary,Obtain exact-build smali/disassembly or equivalent decoder and recover body/dataflow; no broadcast or install,work/luna_worker_ipc_ota_unclosed_followup_20260810.csv
ipc-ota-oobe-surface,Vending exported service,com.google.android.finsky.setup.DseService; exported permission-gated service,Permission is recorded from manifest; complete method flow unavailable in skipped/partial recovery,External caller not established; permission-gated manifest entry,Recovered excerpt shows DSE package/install bookkeeping but no launcher setter,No service start or transaction,unknown bounded static surface,Recover skipped body and join manifest permission holder/caller provenance; no service invocation,work/luna_worker_ipc_ota_unclosed_followup_20260810.csv
ipc-ota-oobe-surface,OTA verifier to recovery/native handoff,OSUpdateValidator/SideloadVerifier -> RecoverySystemWrapper.verifyPackage; SideloadInstaller -> UpdateSystemWrapper.install -> UpdateSystem.install,"Controller/signature, OTA verification and recovery acceptance are upstream gates; exact native caller unresolved",DeviceSoftwareOTA privileged/controller and signed OTA/recovery context; no shell or ordinary-app caller established,Privileged UpdateSystem/recovery boundary leading to update-binary extraction/block-image/partition writers,Existing evidence says updater/recovery/partition execution false,unknown capability-to-caller boundary,Offline recover native/recovery caller and indirect call/dataflow only; never execute updater or write partitions,work/luna_worker_ipc_ota_unclosed_followup_20260810.csv
ipc-ota-oobe-surface,Post-OTA OOBE lifecycle,AmazonPackageManagerService.onBootPhase(550) sendBroadcast(BOOT_AFTER_SYSTEM_OTA) -> BootAfterSystemOTAReceiver,Protected action plus phase/isUpgrade sender gate; receiver permission declaration does not authenticate arbitrary sender,SystemServer phase 550 plus PMS.isUpgrade; protected action; receiver requests RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon,OobeHomeActivity enablement and OOBE secure settings writes; OobeHomeActivity is not Fire Launcher,No replay; saved read-only baseline has OobeHomeActivity disabled and Fire Launcher as User-0 HOME comparator,confirmed static sink with unresolved user/timeline; not ordinary caller route,Use only source context/user provenance or natural official OTA followed by read-only package/settings/resolver capture,work/luna_worker_ipc_ota_unclosed_followup_20260810.csv
ipc-ota-oobe-surface,Post-OTA archive completeness,Fire_HD10-7.3.3.1-20250617.tar.bz2 outer archive tail,No permission/caller gate evidence for unlisted tail,No untrusted or shell caller shown; unlisted members cannot be classified,No post-install/recovery/HOME/PMS helper observed in top-level and 18 known nested archives; unlisted tail not excluded,No execution/extraction of unknown tail,unresolved corpus completeness; not a vulnerability claim,Complete host-only EOF listing and hash; do not extract/execute unknown members or craft OTA,work/luna_worker_ipc_ota_unclosed_followup_20260810.csv
launcher-workaround,TRUE_HOME / User 0 Fire resolver baseline,HOME resolver and saved ADB baseline: com.amazon.firelauncher/.Launcher priority 50,ordinary resolver; no mutation,no (Fire remains winner),unchanged; Fire enabled and visible,persistence=normal per-user resolver persistence; rollback=none required; baseline retained,tested-baseline,use only as comparator for future host-side evidence,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,TRUE_HOME / child Tahoe resolver (User 10/11/12 historical variants),6CK/6CC/6CO/6DV: child Tahoe priority 975; owner return Fire priority 50,public user switch plus existing child lifecycle,no,User 0 unchanged; child-scoped Fire/Tahoe state only,persistence=child-user lifecycle persists while profile exists; not User 0; rollback=stop child and return User 0 in saved tests,tested-viable-child-only,host-only reconcile user-ID aliases and readiness gates from saved captures,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,TRUE_HOME / preferred activity and set-home-activity,HOME preference tests and 6CK child boundary,shell package command; protected PMS ranking,no for User 0,preferred record can change without displacing Fire priority 50,persistence=preferred record may persist but loses resolver ranking; rollback=saved tests restored Fire preferred record,tested-disproved,static compare chooseBestActivity ranking and equal-priority branches,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,TRUE_HOME / Settings Default Home UI,Phase 3C Settings matrix and 6FO static/UI boundary,Settings UI plus protected preferred-activity writer,not established,no observed Fire package-state change,persistence=unknown; selection effect not captured on this build; rollback=captured preferred activity only if future test is authorized,tested-static-only,host-only exact-build resource/overlay diff; do not click or dispatch,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,FOREGROUND_REDIRECT / resident Accessibility service,6CX/6CY/6HB: explicit Fire redirect; mixed natural-HOME samples,user consent plus installed APK; Accessibility enablement,no; resolver remains Fire,Fire launch/window event can redirect visible activity; no package mutation,"persistence=service setting persisted in one reboot run but event timing is not HOME persistence; rollback=saved rollback restored Accessibility null/0, Fire foreground, APK absent",tested-temporary,"host-only reconcile timestamps, trigger definitions, and foreground-vs-resolver labels",work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,FOREGROUND_REDIRECT / Microsoft Accessibility negative control,6DE installed Accessibility boundary,user consent plus installed Microsoft service,no,explicit Fire and HOME remained Fire in this service path,persistence=temporary enablement only; rollback=saved rollback result restored settings and foreground,tested-disproved,retain as negative control; no device rerun,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,FOREGROUND_REDIRECT / natural HOME after reboot contradiction,"6CY reboot persistence, clean-reboot-home, pause comparison","user consent, APK, Accessibility service, reboot",no,timing-sensitive foreground only; Fire resolver and package state unchanged,persistence=one saved run showed setting survival; clean sample showed Microsoft 0/3; rollback=existing rollback passed,tested-contradictory,host-only evidence reconciliation; no reboot or Accessibility rerun,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,FOREGROUND_REDIRECT / ADB foreground monitor,6CU/6DI/PROJECT_STATUS: foreground result but formal HOME stays Fire,ADB shell plus monitor APK; no HOME writer,no,can return Microsoft to foreground after Fire resumes,persistence=resident monitor behavior measured across saved cycles; not resolver persistence; rollback=saved runs removed APK/restored Fire,tested-temporary,host-only compare monitor trigger and Accessibility event path,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,FOREGROUND_REDIRECT / manifest Lock Task,6CL foreground retention; 6CM/6CN reboot negatives,installed test APK and task-lock policy,no,keeps target foreground while locked; does not alter Fire package/HOME,persistence=not persistent across reboot; rollback=stop lock task and uninstall test APK in saved tests,tested-temporary,retain reboot boundary; no Lock Task install or replay,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,FOREGROUND_REDIRECT / BOOT_COMPLETED Lock Task receiver,6CN receiver resolver and post-reboot result,"installed APK, receiver permission, boot lifecycle",no,receiver registration did not prove target start or Fire mutation,persistence=not established; target absent after reboot; rollback=saved rollback passed; APK absent,tested-disproved,static receiver/exported/permission review only,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,STATIC_ONLY / SystemUI observation and Smart Genie,systemui-launch-search and phase-1 rendered report,read-only source/artifact review,no,observes Fire foreground; no direct Fire HOME launch sink found,persistence=normal SystemUI lifecycle; rollback=none,tested-static-only,keep observation separate from HOME writer claims,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,STATIC_ONLY / Amazon initiateLauncher helper,6MQ static closure,source/DEX review; private context not available to shell,no,"permission bridge/log/SUCCESS only; no Intent, HOME, preferred, or package sink",persistence=none; rollback=none,tested-disproved,do not replay; host-only sink search if new source version appears,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,STATIC_ONLY / package-state writers and protected Fire state,6MH/6CA/6CE/6EG/6FG package-state boundaries and writer inventory,system UID/private KFT or protected PMS authority,no ordinary shell path,Fire User-0 state remains protected; child writer is scoped to child user,persistence=child policy/state only where already observed; rollback=User 0 baseline rollback passed,tested-risk-bounded,host-only trace writer to first consumer; no component-disable matrix,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,STATIC_ONLY / Amazon prewarm and profile helper,6ER/6PV/6MQ closures,ordinary app start or privileged lifecycle context,no,process/setup effects only; no HOME/preferred/package sink,persistence=process temporary; setup flags can persist until rollback; rollback=saved cleanup/rollback where tested,tested-disproved,retain as non-HOME control; no IPC replay,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,RISK_REJECTED / child KFT transaction and package writer,6AY/6CB/6PV and closure-child-kft records,private Amazon Binder/service; trusted child context,no for User 0,could alter child Fire/Tahoe package state only; User-0 replacement unproven,persistence=child lifecycle persistence only; rollback=requires child stop/delete or state-specific rollback; not authorized,risk-rejected,host-only static trace to consumer; do not invoke tx3 or delete profile,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,RISK_REJECTED / DevicePolicy persistent-preferred path,6DT/6GA/6DP/6ET caller and restriction gates,device/profile owner identity; shell rejected,no,no observed Fire or HOME change; DPM tx100 rejected before downstream PMS,persistence=none in rejected call; rollback=none required in saved caller-gate test,risk-rejected,host-only compare owner-gate source and saved read-only dumps,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,RISK_REJECTED / Settings Reset App Preferences,6DU/6DY GUI reachability and reset result,Settings system UI and protected PMS tx66; aggregate reset has incomplete rollback,no,saved reset removed preferred record but left Fire state unchanged; broad side effects possible,persistence=reset effects persist until individually restored; rollback=partial/manual rollback only; no complete aggregate rollback,risk-rejected,host-only inspect tx66 callers and exact-build UI; do not click/reset,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,RISK_REJECTED / OTA/OOBE/BOOT_AFTER_SYSTEM_OTA,6GU/6MY/6I/6R static and saved OTA boundary evidence,protected broadcast/OTA updater/system lifecycle; reboot,no,OOBE/setup lifecycle flags only; no Fire HOME or preferred writer,persistence=OTA/OOBE state may persist and is hard to restore; rollback=not safely reversible in scope,risk-rejected,"host-only trace user scope and first persistence consumer; no OTA, broadcast, updater, or reboot",work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,GAP / exact-build Settings overlay and resource comparison,Settings path exists but exact-build selection effect is unknown,host-only artifact/source review,no,no runtime effect,persistence=none; rollback=none,gap-minimal-safe,diff saved PS7331 resources/overlays against DefaultHome controller and existing matrix,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,GAP / resolver-vs-foreground evidence normalization,mixed 6CY/6HB samples use different timing and labels,host-only report/hash review,no,no runtime effect,persistence=none; rollback=none,gap-minimal-safe,"align timestamps and define resolver, resumed, and post-event sampling columns from saved files",work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,GAP / child per-user HOME readiness normalization,6CO transient FallbackHome precedes authoritative Tahoe; user IDs differ across historical notes,host-only evidence review,no,no runtime effect,persistence=none; rollback=none,gap-minimal-safe,map User 10/11/12 records and require RUNNING_UNLOCKED before comparing HOME,work/luna_worker_workaround_gap_followup_20260810.csv
launcher-workaround,GAP / OTA and DevicePolicy user-scope sink trace,static OTA/DPM paths are bounded but first persistence consumer is not uniformly tabulated,host-only source/call-graph review,no,no runtime effect,persistence=none; rollback=none,gap-minimal-safe,trace only to first consumer and record authority boundary; no replay,work/luna_worker_workaround_gap_followup_20260810.csv
