"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P19B-05","ota","staging path canonicalization and TOCTOU","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; saved SideloadMover/FileHelper source","privileged Java OTA controller -> SideloadMover -> UpdateSystem.install; ordinary caller unresolved","basename destination; renameTo/copy-delete fallback; no Java canonical/no-follow marker found","not closed in saved corpus","/data/ota_package staging then recovery handoff","not replayed; host-only audit","canonical path/no-follow, directory-fd or same-object revalidation; caller UID/SELinux label handoff","BOUNDED_UNKNOWN; no symlink/traversal/TOCTOU test","Hypothesis","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; work/luna_worker_ota_canonicalization_provenance_20260810.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-06","ota","native canonicalization to write","artifacts/phase6ne-updater-cache-flow-20260810-03/summary.json; artifacts/phase6md-native-updater-path-audit-20260810-02/summary.json","PerformBlockImageUpdate -> CacheSizeCheck/MakeFreeSpaceOnCache; selected native caller only","CacheSizeCheck result branches continuation/error; readlink-family markers present","not closed in saved corpus","cache free-space/path helper precedes block-image capability; selected write edges reach open/write","not replayed; host-only audit","complete readlink result/input provenance, indirect targets, and canonicalization-to-write edge","BOUNDED_UNKNOWN; selected direct edge absent, absence not proven","Hypothesis","artifacts/phase6ne-updater-cache-flow-20260810-03/summary.json; artifacts/phase6mk-updater-dispatch-20260810-04/summary.json","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-07","ota","AVB and rollback authority","firmware/extracted/PS7331; artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json","Java verifier handoff -> platform/native recovery verifier; exact executor absent","metadata/signature/product checks visible; no local vbmeta.img or AVB member","not closed in saved corpus","AVB verification and rollback-index enforcement before partition commit","not replayed; host-only audit","AVB authority, rollback-index storage/compare implementation, slot/boot handoff","BOUNDED_UNKNOWN; no AVB/rollback bypass evidence","Hypothesis","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; work/luna_worker_phase18_ota_postinstall_audit_20260810.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-08","ota","recovery SELinux and UID handoff","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; work/luna_worker_ota_init_privilege_inventory_20260810.md","privileged OTA controller -> UpdateSystem -> recovery/update-binary; shell UID 2000 route not established","baseline enforcing; Java privileged/signature boundary; recovery execution not run","not closed in saved corpus","recovery/updater image-write capability","not replayed; host-only audit","actual UID/domain transition, SELinux allow chain, and recovery caller provenance","BOUNDED_UNKNOWN; low-privilege reachability unproven","Hypothesis","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; findings/phase-6is-selinux-driver-route-closure.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P19B-09","ota","post-install and package-scoped absence","firmware/original/PS7331 ZIP member listing; firmware/extracted/PS7331; artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json","no independent postinstall caller observed; system-server lifecycle is separate trusted sender","27-member package has no payload.bin/A-B postinstall executable; updater writes last_blocklist","not closed in saved corpus","recovery metadata write; no standalone post-install executable sink observed","not replayed; host-only audit","outer source-tar complete EOF/corpus-wide absence and authoritative post-install executor remain unresolved","BOUNDED_NEGATIVE; package-scoped only","Disproved","unzip -Z1 package listing; artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json; work/luna_worker_phase18_ota_postinstall_audit_20260810.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"19C-C01","driver","ION top-level allocator","Phase18 18C-001/002 library closure retained; trona_defconfig CONFIG_ION=y CONFIG_MTK_ION=y","gralloc.mt8183.so has DT_NEEDED/relocations to libion.so/libion_mtk.so and allocator symbols; exact /dev/ion open is inside dependency chain, not independently tied to service execution","/dev/ion saved 0666 system:graphics; ion_device context | vendor_file_contexts /dev/ion -> ion_device; CIL allows exist but are not process invocation","candidate system/hal_graphics_allocator_default; service UID/domain from init/HAL metadata, implementation load unresolved","DMA/buffer/heap state; no PMS/AMS/HOME sink","alloc/sync/import/free/custom through ION libraries","allocator service -> gralloc implementation load; exact runtime process and selected heap/DT edge","UNKNOWN","Hypothesis","work/luna_worker_phase6tn_ion_loader_graph_20260810.{md,csv}; phase9 ELF E01/E02; phase18 18C-001/002","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C02","driver","ION top-level composer","Phase18 18C-001/002 library closure retained; CONFIG_ION=y CONFIG_MTK_ION=y","hwcomposer.mt8183.so has DT_NEEDED/relocations and IONDevice/import/map/share/free references","/dev/ion saved 0666 system:graphics; ion_device context | ion_device policy references present; exact composer allow-to-node tuple not a caller proof","candidate system/hal_graphics_composer_default; service-to-hwcomposer load unresolved","display/MDP/DMA state; no framework/package sink","ION import/map/share/free used by display allocator path","composer service -> hwcomposer implementation load; selected object/DTB; runtime UID/domain and downstream display call","UNKNOWN","Hypothesis","work/luna_worker_phase6tn_ion_loader_graph_20260810.{md,csv}; phase9 ELF E03-E05; phase18 18C-001/002","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C03","driver","CMDQ/MDP native caller","CONFIG_MTK_CMDQ=y and CONFIG_MTK_CMDQ_TAB=y; Image cmdq literals present","No exact shipped ELF containing both /dev/mtk_cmdq opener and CMDQ ioctl relocation/callsite","/dev/mtk_cmdq saved crw-r--r-- system:system; mtk_cmdq_device context | vendor_file_contexts and CIL mtk_cmdq_device references; proc cmdq genfscon exists, exact caller allow unresolved","candidate hal_graphics_composer_default, hal_graphics_allocator_default, mtk_hal_camera, surfaceflinger, mediaserver; UID/domain not proven","display/register/DMA state; no package/HOME sink","CMDQ async exec/wait/alloc/free/readback; MDP async register/DMA","exact native opener+ioctl; selected object/DTB; merged TE tuple; caller input-to-display sink","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-003; work/luna_worker_phase17_driver_policy_20260810.md; work/luna_worker_phase6tn_ion_loader_graph_20260810.md","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C04","driver","M4U proc/DMA caller","CONFIG_MTK_M4U/source retained; active misc /dev/M4U_device branch is #if 0","No shipped ELF with /proc/m4u open/write or M4U ioctl callsite","/proc/m4u source registration mode 0; related init metadata 0440 system:media; M4U_device context only | Exact /proc/m4u genfscon/TE allow is not closed; M4U_device label is not an active misc-node proof","UNKNOWN; system:media is node metadata, not caller identity","IOMMU/DMA/port/power/monitor state; no framework sink","power/MVA/port/monitor/TF controls","compiled object/DTB; proc label+allow; native writer identity and validation-to-operation edge","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-004; work/luna_worker_phase13_driver_join_20260810.csv 13D-003","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C05","driver","uinput/evdev synthetic input caller","trona_defconfig CONFIG_INPUT_EVDEV=y CONFIG_INPUT_UINPUT=y; source uinput/evdev fops present","Native inventory has no exact shipped ELF open/write/UI_DEV_CREATE or uinput ioctl caller","/dev/uinput context candidate uinput_device; init metadata chown system:net_bt_admin; final mode unresolved | plat/vendor label conflict and exact uinput_device allow tuple unresolved","UID/domain UNKNOWN","synthetic input graph; no HOME/PMS/AMS sink","UI_DEV_CREATE/UI_DEV_DESTROY; event write; evdev ioctl","final ueventd mode/label; merged allow; shipped caller and downstream consumer","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-006; work/luna_worker_phase13_driver_join_20260810.csv 13D-004","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C06","driver","AUXADC/gsensor calibration caller","CONFIG_MTK_AUXADC_INTF=y; Image contains AUXADC literals; gsensor compatibles occur in source DTS variants","No exact shipped ELF open/ioctl or proc/sysfs calibration writer","gsensor misc node mode/owner not source-specified; gsensor_device context marker only | Concrete calibration caller allow not found; type presence is not TE permission","UID/domain UNKNOWN","sensor calibration/ADC diagnostic state; no package/HOME sink","GSENSOR calibration ioctls; AUXADC diagnostic/sysfs writes","selected DTB; object delivery; node mode/label; merged allow; native calibration writer","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-007; work/luna_worker_source_scope_driver_audit_20260810.md","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C07","driver","RPMB service-to-char caller","CONFIG_RPMB=y; CONFIG_RPMB_INTF_DEV unset in preserved config evidence","rpmb_svc ELF is present, but no exact open()+unlocked_ioctl callsite or service-to-driver edge recovered","rpmb_svc is shipped init service; /dev/rpmb0,/dev/emmcrpmb0 and block labels recorded, mode/owner incomplete | teei_rpmb_device/rpmb_block_device types exist; exact service-to-node allow/capability tuple unresolved","rpmb_svc group/UID candidates from rc; effective SELinux domain and capability gate UNKNOWN","authenticated persistent storage state; no package/HOME sink","authenticated RPMB read/write/counter via ioctl; direct .read/.write are source-NULL","native callsite; service domain/UID; node mode/allow; authentication/validation and sink provenance","UNKNOWN","Hypothesis","work/luna_worker_phase13_driver_join_20260810.csv 13D-007; work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-008; findings/phase-8-evidence-index.md:747-754","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C08","driver","USB devio/URB caller","trona_defconfig USB/XHCI/MTK USB options enabled; source devio ioctl/URB paths present","No preserved shipped ELF with USBDEVFS ioctl plus usbfs opener/URB submission callsite","usbfs/device node owner/mode not closed for exact client | usb_device policy may exist, but exact usbfs allow tuple and client domain are not joined","UID/domain UNKNOWN","USB peripheral/control-transfer state; no package/HOME sink","USBDEVFS ioctl; URB submit/control transfer","usbfs mode/label; controller object/DTB; exact native caller and policy edge","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-009; work/luna_worker_phase17_driver_policy_20260810.md","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C09","driver","performance/perfmgr writer","perf_ioctl source and performance config retained; no final object/proc instance proof","No exact shipped ELF path-specific open/write/ioctl caller; init rc writes are trigger metadata only","source mode 0664; owner/group/file context for final proc path unresolved | proc /perfmgr genfscon and domain candidates (init/vendor_init/bootanim/cameraserver/mediaserver/surfaceflinger/system_server); exact writer allow not closed","init/vendor domains are candidates; effective UID/domain and trigger sequence UNKNOWN","scheduler/touch-boost/resource state; no package/HOME sink","FPSGO/perf ioctl and proc writes","compiled object/proc instance; exact owner/mode; native writer and trigger-to-write edge","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-005; work/luna_worker_phase13_driver_join_20260810.csv 13D-005","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C10","driver","Amazon diagnostic/test proc","amzn_drv_test Kconfig defaults n and is absent from trona_defconfig; official Image unique amzn_drvs marker count is zero","No production ELF proc writer; connectivitydiag package presence is not native opener evidence","source /proc/amzn_drvs children are not shipped-node metadata | No final file_contexts/genfscon/TE closure for test proc","UID/domain UNKNOWN","conditional engineering/lifecycle state; no confirmed shipped sink","conditional factory-reset/RTC test-index branches","final object/module manifest; proc policy; production caller and input-to-dispatch edge","BOUNDED_NEGATIVE","Disproved","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-010; artifacts/phase6nd-amzn-drv-test-image-marker-20260810-01/phase6nd-image-marker-audit.md; work/luna_worker_source_scope_driver_audit_20260810.md","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"19C-C11","driver","Amazon liquid detection sysfs writer","CONFIG_AMAZON_LD/SWITCH retained in prior source/config evidence; amzn_ld.c sysfs stores present","No shipped native ELF writer for stop_detection/ctrl_mode/threshold/sleep_interval","sysfs attributes source 0664; final sysfs owner/mode/label not captured | sysfs file_contexts/genfscon and domain-specific write allow unresolved","UID/domain UNKNOWN","liquid-detection/USB/thermal behavior; no package/HOME sink","sysfs store operations controlling liquid/USB behavior","selected DTB; built object; sysfs label/TE allow; concrete native writer and sink edge","UNKNOWN","Hypothesis","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-012; work/luna_worker_source_scope_driver_audit_20260810.md; work/ps7331-kasan-tree-20260810/platform/kernel/mediatek/mt8183/4.4/arch/arm64/boot/dts/mediatek/trona_proto.dts:1780-1784","Join selected object/DTB and policy offline; do not open or ioctl a device node"
"P19D-HOME-001","reconciliation","HOME","1-6; 7-18 host closures","historical tests only","adb -s G001LT0511550CFT shell cmd package resolve-activity --brief --user 0 -a android.intent.action.MAIN -c android.intent.category.HOME; adb -s G001LT0511550CFT shell input keyevent 3; adb -s G001LT0511550CFT shell cmd package set-home-activity com.microsoft.launcher/.Launcher","HOME-T01..T24; HOME-PREF-T17; HOME-T18/T19; P2-HOME-001..003; P3A-RESOLVER-01; P3B-RUNTIME-01; P3C-PREFERRED-01; P6-HOME-REGRESSION-01","Fire priority 50 repeatedly wins User-0 HOME; ordinary preferred/set-home did not replace effective HOME; protected package mutation rejected","Historical preferred restore, package/HOME postchecks and reboot guards retained; no replay","Production User-0 Fire restoration writer; reboot-time caller; physical-button equivalence","RECONCILED_NO_REPEAT","Confirmed","findings/phase-1-report.md; findings/phase-2-report.md; findings/phase-3a-report.md; findings/phase-3c-report.md; adb/home-key-tests/; adb/phase6di/","Host-only reparse only; do not replay the historical device mutation"
"P19D-KFT-002","reconciliation","KFT / child profile","6AY-6BK-6CB-6CZ-6DI-6ER-6GR-6DR-6DZ-6KQ-6GA; 7-18 static closures","historical tests only","adb -s G001LT0511550CFT shell am switch-user 10; adb -s G001LT0511550CFT shell cmd package resolve-activity --brief --user 10 -a android.intent.action.MAIN -c android.intent.category.HOME; adb -s G001LT0511550CFT shell am switch-user 0; adb -s G001LT0511550CFT shell am stop-user 10","P6-KFT-CHILD-01; P6-KFT-SERVICE-01; P6-KFT-UI-01","KFT writer is child/profile-scoped; switch-back restores User-0 Fire; shell did not obtain callable KFT handle; tx3 not issued","Switch-back, stop-user and final User-0 guards retained; no user create/delete","Legitimate tx3 caller/provenance; User-0 restoration writer; accepted caller/user gate","RECONCILED_NO_REPEAT","Confirmed","findings/phase-6er-kft-child-switch-attribution.md; adb/phase6bk/; adb/phase6cb/; adb/phase6di/","Host-only reparse only; do not replay the historical device mutation"
"P19D-IPC-003","reconciliation","private IPC","6A-6TM; 7-18 host closures","historical tests only","adb -s G001LT0511550CFT shell service list; adb -s G001LT0511550CFT shell service check amazonusermanagerservice; adb -s G001LT0511550CFT shell service check amazondevicepolicymanager; python3 tools/scripts/audit_phase6mt_amazon_ipc_candidates.py; python3 tools/scripts/audit_phase6av_ipc_method_closure.py","P6-KFT-SERVICE-01; P6-PI-01; P6-TM-A; P6-TM-B; P6-TM-C; P6-UPDATER-01; 6Q/6J/6K/6L/6T/6M/6MN/6MT/6KU/6AV/6NF/6PR/6QE/6QF/6QA/6QB/6PZ/6RS-6SQ","Service visibility did not yield shell-callable handle; no ordinary app/shell to trusted identity to HOME/package/root sink closed","No IPC transaction; read-only AVC/service-list/static manifests retained","Caller universe; holder/grant/client provenance; method-local authorization and accepted identity/user","RECONCILED_NO_REPEAT","Confirmed","findings/phase-6q-evidence-index.md; findings/phase-6av-ipc-method-closure.md; output/tables/phase15-private-service-boundary.csv; work/luna_worker_phase6si_test_catalog_20260810.csv","Host-only reparse only; do not replay the historical device mutation"
"P19D-PREWARM-004","reconciliation","prewarm","6BB-6EM-6EV-6MC-6MT-6NE-6MK-6MM; 15-18","historical tests only","PYTHONDONTWRITEBYTECODE=1 python3 tools/scripts/audit_phase6bb_prewarm_caller_mapping.py; PYTHONDONTWRITEBYTECODE=1 python3 tools/scripts/probe_phase6em_amazon_activity_prewarm_boundary.py","P6-PREWARM-01; P6-UPDATER-01","APP_PREWARM gate and startProcessLocked prewarm chain confirmed; bounded tx1 produced temporary process effect; no HOME/package/root sink","No new mutation; prior bounded run/final state retained; no prewarm Binder transaction","Ordinary-app accepted authorization; complete caller filter; proof no other method reaches HOME/package sink","RECONCILED_NO_REPEAT","Confirmed","findings/phase-6bb-prewarm-caller-closure.md; findings/phase-15-report.md; output/call-graphs/phase15-prewarm-service-boundary.md","Host-only reparse only; do not replay the historical device mutation"
"P19D-DPM-005","reconciliation","DPM / profile","6DI-6DT-6EO-6ET-6EB-6GC-6GK-6EI; 7-18","historical tests only","adb -s G001LT0511550CFT shell dumpsys device_policy; adb -s G001LT0511550CFT shell dumpsys backup; adb -s G001LT0511550CFT shell am get-current-user; adb -s G001LT0511550CFT shell pm list users; python3 tools/scripts/probe_phase6eo_dpm_backup_observation.py","P6-DPM-01; Phase 6DI/6DT/6EO/6ET/6EB/6GC/6GK/6EI","Owner/admin/UID gates; DPM tx100 to PMS tx73 trusted/owner-gated; no active backup restore writer; raw tx100/73/80/81 not sent","Historical profile/user observations have final package/HOME/backup/policy guards; no owner provision/removal","Legitimate Profile Owner relay; native/backup callback; exact caller and user propagation","RECONCILED_NO_REPEAT","Confirmed","findings/phase-6di-kft-dpm-backup-passive.md; adb/phase6dt/; adb/phase6di/","Host-only reparse only; do not replay the historical device mutation"
"P19D-ACCESS-006","reconciliation","Accessibility / redirect","4A-4B; 5; 6CV-6CX-6CY-6DE-6DI-6IQ-6PD; 11","historical tests only","adb -s G001LT0511550CFT shell settings put secure enabled_accessibility_services ...; adb -s G001LT0511550CFT shell settings put secure accessibility_enabled 1; adb -s G001LT0511550CFT shell am start -W -n com.amazon.firelauncher/.Launcher; adb -s G001LT0511550CFT shell dumpsys activity activities; rollback used settings delete secure enabled_accessibility_services and settings put secure accessibility_enabled 0","P4A-MODEL-01; P4B-ACCESS-01; P5-ACCESS-01; P6-ACCESS-REDIRECT-01","Installed Microsoft service bound with empty callback; bounded research service/ADB monitor changed visible foreground only; PendingIntent update rejected INSTALL_FAILED_UPDATE_INCOMPATIBLE","Secure settings, disconnect/reboot, package path and foreground/HOME guards retained","PendingIntent runtime; other GUI/unlock states; formal HOME writer","RECONCILED_NO_REPEAT","Confirmed","findings/phase-6cx-adb-accessibility-foreground-redirect.md; findings/phase-6hb-ms-accessibility-reboot-persistence.md; adb/phase6de/; adb/phase6iq/; adb/phase6pd/","Host-only reparse only; do not replay the historical device mutation"
