id,branch,artifact_or_service,entrypoint_or_symbol,caller_or_trigger,permission_or_gate,binder_identity_or_domain,user_scope,sink_or_effect,observed_runtime,classification,evidence,missing_edge,next_safe_step
P17-IPC-P17-008,Amazon Framework / IPC,AmazonProfileService$BinderService,initiateLauncher(),AmazonProfileManager/framework client; external caller unknown,enforceProfileInteractionPermissions; signature/calling-UID markers,no laundering shown,current profile/user internal; returned user/component unrecovered,internal launcher/profile flow; no preferred/HOME/package/component setter,No invocation; shell lookup denied,Strong evidence,work/luna_worker_phase6su_ipc_residual_20260810.csv:SU-05; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:76246-76256;78949-78966,production caller registration and returned component/user not joined,Host-only trace caller and consumers
P17-IPC-P17-009,Amazon Framework / IPC,AmazonProfileService$BinderService,startProfilePicker(int),AmazonProfileManager/framework client; external caller unknown,method-local permission unresolved; private service and shell denial remain,identity handling not shown to launder into PMS,picker user int reaches startActivityAsUser,profile picker launch; no explicit HOME/preferred/package mutation,No picker start or Binder call,Probable,work/luna_worker_phase6su_ipc_residual_20260810.csv:SU-05; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:77222-77280;80115-80444,permission and picker component/user provenance unresolved,Host-only recover manifest/binding/user flow
P17-IPC-P17-010,Amazon Framework / IPC,InputFilterMonitorInputManagerServiceCallback,"notifyCameraCoverSwitchChanged(Context,boolean)",system_server input-monitor callback,local callback only; no external Binder entry,system_server callback; no clearCallingIdentity,non-user-overload Secure write implies system/default scope,Secure camera_shutter_state write; no HOME/package writer,No input event or callback trigger,Strong evidence,work/luna_worker_phase6wg_ipc_residual_20260810.csv:WG-002; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:27412-27435;28453-28456,"registration, user scope, and SELinux boundary unresolved",Host-only join callback registration and settings helper
P17-DRV-P17-C-001,MTK / Amazon driver surface,cmdq/v3/cmdq_driver.c; mdp/mdp_ioctl_ex.c,/dev/mtk_cmdq; /proc/mtk_cmdq_debug/*; CMDQ ioctl,No exact shipped ELF open+ioctl caller; graphics/media names are not caller proof,"Config and mediatek,gce match are gates only",init.mt8183.rc:302-303 0644 system:system; vendor_file_contexts:326 mtk_cmdq_device; merged TE UNKNOWN,UNKNOWN,Async/readback and MDP display/DMA; no package/HOME sink,No new runtime; no node/ioctl,Hypothesis,phase7c 7C-001; phase8d 8D-001; phase-8-evidence-index.md:126,"Object/module, selected DTB/DTBO, merged ueventd/file_contexts/TE, caller UID/domain",Host-only exact-build manifest/DTB/DTBO/policy join; no node access
P17-DRV-P17-C-002,MTK / Amazon driver surface,ion.c; ion_drv.c,/dev/ion; alloc/map/share/import/sync/custom,libion symbols only; no exact shipped opener/custom caller or UID/domain,Policy/source markers are not caller authorization,Saved metadata 0666 system:graphics ion_device; contexts vendor:198/plat:226; ueventd/TE/DT UNKNOWN,UNKNOWN,ION buffer/DMA/custom physical/secure state; no package sink,Metadata-only; no open/ioctl,Hypothesis,phase7c 7C-003/004; phase8d 8D-002/003; phase-8-evidence-index.md:139,"Heap/object/module, DTB/DTBO, ueventd, merged policy, native client",Host-only module/DTB/policy comparison; no /dev/ion
P17-DRV-P17-C-003,MTK / Amazon driver surface,m4u/2.4/m4u.c; m4u_debug.c,/proc/m4u; M4U power/MVA/port/monitor/TF; /dev/M4U_device branch #if 0,No exact proc opener/ioctl caller/native ELF/UID/domain,Source registration/disabled branch do not prove reachability,init.mt8183.rc:290-296 0440 system:media; vendor_file_contexts:376 M4U_device_device; proc genfscon/TE UNKNOWN,UNKNOWN,DMA/IOMMU/port/power/TF; no package/HOME sink,No new runtime; no proc/device access,Hypothesis,phase7c 7C-002; phase8d 8D-004; phase6qf M4U,"Compiled DTB/DTBO/object, proc label/genfscon/TE, caller",Host-only DTB/module/policy join; no proc access
P17-DRV-P17-C-004,MTK / Amazon driver surface,input/misc/uinput.c; input/evdev.c,/dev/uinput; UI_DEV_CREATE/DESTROY; event write/ioctl,Native inventory has no exact shipped ELF caller; UID/domain UNKNOWN,Kconfig/fops only; no capable proof,init.mt8183.rc:474-475 chown system:net_bt_admin; plat:243 uhid_device vs vendor:248 uinput_device; mode/label/TE UNKNOWN,UNKNOWN,Synthetic input graph/event injection; no package sink,No new runtime; no write/ioctl,Hypothesis,phase6xg 6XG-001/005; phase7c 7C-008; phase8d 8D-005,"Object/module/node, ueventd mode/owner, merged policy, caller and consumer",Host-only image/module/policy inventory; no uinput
P17-DRV-P17-C-005,MTK / Amazon driver surface,auxadc/mtk_auxadc.c,AUXADC cdev/device; AUXADC_register/AUXADC_read_channel; calibration attrs,No exact shipped native open/ioctl/sysfs/proc writer; UID/domain UNKNOWN,Config/platform registration is instance gate only,"Writable source registrations; exact mode/owner, node names, contexts/genfscon/TE UNKNOWN",UNKNOWN,ADC/register calibration/diagnostic state; no package/HOME sink,No new runtime; no calibration/device access,Hypothesis,phase7c 7C-006; phase6me driver-control-markers:99-120; phase-8-evidence-index.md:1917,"Compiled DTB/DTBO/object, node policy/mode, writer UID/domain",Host-only DTB/module/policy manifest review; no sysfs/proc
P17-DRV-P17-C-006,MTK / Amazon driver surface,amazon/amzn_drv_test.c; amazon_logger.c; sign_of_life.c,"/proc/amzn_drvs/{sign_of_life,idme,logger}; conditional diagnostic/test proc",No production ELF proc caller; diagnostic domain is not this driver client,"Negative config is a gate, not complete object proof; dispatcher conditional","No exact init/ueventd, proc contexts/genfscon/TE; diagnostic HAL policy is separate",UNKNOWN,Factory/engineering/lifecycle/IDME/logger diagnostics; no low-privilege/package sink,No runtime; no proc write/trigger,Hypothesis,phase7c 7C-010; phase6uk logger/sign_of_life; phase-6qd-privilege-surface.md:44,"Final object/module, proc/init/policy joins, HAL-to-driver caller UID/domain",Host-only config/module/proc-policy verification; no proc access
P17-OTA-P17-001,OTA / OOBE / recovery,com.amazon.device.software.ota manifest,OtaService / com.amazon.dcp.ota.action.CONTROLLER,external start/bind caller not identified,com.amazon.dcp.ota.permission.CONTROLLER; manifest protectionLevel signature|privileged,UNKNOWN,system singleUser OTA service,OtaService task scheduling and update controller handoff,no service invocation in this phase,Strong evidence,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt:114-121; artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv,Exact accepted caller and post-controller native/recovery handoff,Offline caller inventory and exact-build permission-holder join
P17-OTA-P17-002,OTA / OOBE / recovery,com.amazon.device.software.ota manifest,OTABootReceiver / android.intent.action.BOOT_COMPLETED,system boot completion producer,manifest has no component permission in preserved block; boot action is system lifecycle,UNKNOWN,system singleUser OTA process,queues boot OTA work and immediate check,no broadcast replay or boot trigger,Probable,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt:124-129; artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv,Exact framework delivery and receiver code-to-install caller join,Host-only source/manifest caller mapping
P17-OTA-P17-003,OTA / OOBE / recovery,com.amazon.device.software.ota manifest,OTADeferredOSInstallReceiver / deferred install action,controller or framework producer,com.amazon.dcp.ota.permission.CONTROLLER; exported=true; singleUser,UNKNOWN,system OTA package,dispatches deferred install scheduling,no receiver invocation,Strong evidence,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt:148-155; artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv,Exact controller caller and install-path verification/native handoff,Offline caller and verifier provenance only
P17-OTA-P17-004,OTA / OOBE / recovery,com.amazon.device.software.ota manifest,OTACheckForUpdatesReceiver / check action,OTA controller producer,com.amazon.dcp.ota.permission.CONTROLLER; exported=true,UNKNOWN,system singleUser OTA package,starts check-for-updates path,no receiver invocation,Strong evidence,artifacts/phase6r/ota-ipc-static-audit-20260805-04/ota-receiver-query-matrix.csv; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/011_com.amazon.device.software.ota__0_DeviceSoftwareOTA.xmltree.txt,Exact producer identity and downstream UpdateSystem caller,Offline source caller inventory
P17-OTA-P17-005,OTA / OOBE / recovery,com.amazon.kindle.otter.oobe/.BootAfterSystemOTAReceiver,amazon.intent.action.BOOT_AFTER_SYSTEM_OTA,AmazonPackageManagerService.onBootPhase(550) when PMS.isUpgrade(),sender passes com.amazon.permission.RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver declaration has no android:permission; OOBE-running and retail-demo predicates,UNKNOWN,OOBE package context-derived user; numeric user unresolved,enable OobeHomeActivity and enter incremental OOBE,live User 0 dump shows receiver registered and OobeHomeActivity disabled; no replay,Strong evidence,artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-001..015; artifacts/phase6r/ota-oobe-authorization-20260805-05/oobe-authorization-matrix.csv,Protected-broadcast registration/runtime resolver behavior and numeric delivery user,Offline matching framework-res/protected-broadcast CFG; natural post-OTA observation only
P17-OTA-P17-006,OTA / OOBE / recovery,com.amazon.kindle.otter.oobe OOBEActivationHelper,Settings.Secure/Global writes user_setup_complete=0 and isOOBEActive=1,BootAfterSystemOTAReceiver qualifying branch only,receiver lifecycle guard plus setup completion predicates; no ordinary caller parameter,UNKNOWN,receiver Context user scope; exact numeric user unresolved,SettingsProvider-backed setup state mutation,no settings mutation in this phase,Strong evidence,artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-006..008; work/luna_worker_phase6z_components_20260810.csv:6Z-002,Exact ContentResolver user handoff and runtime write observation,Offline Context/user CFG join; natural event read-only snapshot
P17-OTA-P17-007,OTA / OOBE / recovery,com.android.providers.settings/SettingsProvider,settings authority provider operations,framework/system callers and app content-resolver callers,provider exported=true; sharedUserId android.uid.system; read/write enforcement implementation not fully recovered,UNKNOWN,all users through singleUser system provider,possible persistence sink for OOBE setup keys; no evidence of ordinary write acceptance,no provider call in this phase,Strong evidence,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/016_com.android.providers.settings__0_SettingsProvider.xmltree.txt:1-20; artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-007,Exact SettingsProvider mutation authorization and per-user routing,Offline provider source/permission CFG review
P17-OTA-P17-008,OTA / OOBE / recovery,AmazonPackageManagerService system-server sender,"sendBroadcast(action, receiverPermission)",system_server AmazonPackageManagerService boot phase 550 and PMS.isUpgrade(),com.amazon.permission.RECEIVE_BOOT_AFTER_SYSTEM_OTA supplied as receiverPermission; sender is not an ordinary app or shell,UNKNOWN,system-server lifecycle context; exact user handoff unresolved,post-OTA broadcast dispatch to OOBE and shared Alexa consumers,no broadcast sent or replayed,Strong evidence,artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-011..012; work/luna_worker_phase6z_components_20260810.csv:6Z-001,Exact runtime protected-broadcast classification and caller identity after framework dispatch,Offline disassembly/source join only
P17-OTA-P17-009,OTA / OOBE / recovery,shared BOOT_AFTER_SYSTEM_OTA consumers,Alexa SystemOTAReceiver consumers,system-server post-OTA broadcast with shared action,component-level gates and accepted-caller metadata not evaluated in saved scope,UNKNOWN,Alexa settings packages,disable communications accessibility setting or copy access-control secure settings into local keys,no delivery replay; not in OOBE live dump,Probable,artifacts/phase6r/ota-oobe-authorization-20260805-05/oobe-authorization-matrix.csv; artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv:6U-OOBE-016..017,Exact manifest exportedness/permission and per-consumer user/caller join,Offline manifest/source audit
P17-OTA-P17-010,OTA / OOBE / recovery,PS7331 OTA update-binary and updater-script,block_image_update/package_extract_file/write path,recovery/update-binary execution context after verified/staged OTA,package metadata/device/time gates plus recovery/native verification boundary; no shell/app caller established,UNKNOWN,fixed system/vendor/boot/firmware and cache-recovery targets,partition write capability only; updater_executed=false and partition_written=false,no execution or recovery handoff in this phase,Probable,firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-24; work/luna_worker_phase6sp_ota_native_20260810.md; work/luna_worker_ota_postinstall_followup_20260810.csv:UPD-02,Exact recovery exec caller verifier and SELinux/native handoff,Offline CFG/dataflow and provenance only
P17-RUN-001,Existing runtime boundary,amazonusermanagerservice / AmazonUserManagerService.BinderService,IAmazonUserManager tx3 -> enableKftLauncher(UserInfo),ordinary APK UID 10213; structurally valid UserInfo id=0,PMS setComponentEnabledSetting -> protected/caller gate,"PMS log preserves pid=27832, uid=10213",User 0,attempted Tahoe enable and Fire/Launcher3 disable; rejected before mutation,SecurityException at PMS.setEnabledSetting; result=false; Fire HOME stayed priority 50,Confirmed,adb/phase6fk/PHASE6FK-USER0-TX3-20260807-01/command-output.txt,trusted external Binder caller is not established; no privilege transition,Do not rerun tx3; compare caller references and PMS gate offline
P17-RUN-002,Existing runtime boundary,amazonusermanagerservice / AmazonUserManagerService.BinderService,IAmazonUserManager tx3 -> enableKftLauncher(UserInfo),ordinary APK UID 10212; supplied UserInfo id=10,PMS cross-user enforcement: INTERACT_ACROSS_USERS,PMS log preserves ordinary caller uid=10212,User 10; User 0 foreground,attempted child launcher state change; rejected before mutation,SecurityException: missing INTERACT_ACROSS_USERS; state unchanged,Confirmed,adb/phase6fj/PHASE6FJ-USER10-TX3-20260807-01/command-output.txt,accepted cross-user trusted caller is not established,Do not rerun; retain as user-scope boundary
P17-RUN-003,Existing runtime boundary,ordinary app -> Amazon private service handle,"preWarmApplicationForUser (tx1, prior bounded test)",no-permission APK; Phase 6ER saved observation,service handle was available in that bounded app context; no package/HOME writer observed,no UID change; ordinary app remained ordinary,User 0,temporary process/resource effect only,target process appeared; Fire HOME and package state unchanged; APK removed,Confirmed,adb/phase6er/PHASE6ER-UNTRUSTED-SERVICE-LOOKUP-20260806-134346/result.json,"no path to package state, HOME, UID 0, or persistent privilege",Only passively observe a natural trusted prewarm; do not craft tx1
P17-PM-001,Amazon Framework / identity preservation,AmazonPackageManagerImpl,setApplicationEnabledSetting / setComponentEnabledSetting,Amazon framework facade caller,delegates to standard PackageManager or IPackageManager,no clearCallingIdentity in setter paths; component path calls IPackageManager directly,supplied userId,standard PMS enabled-state setter; not a system-identity relay,Phase6FK ordinary uid reached PMS and was rejected before mutation,Strong evidence,decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log; AmazonPackageManagerImpl codeOff=76230-76274 and 8fe-92e,complete facade instantiator/caller inventory,Host-only callsite/signature-holder join; no private Binder call
P17-PM-002,AOSP-shaped PMS gate,PackageManagerService,replacePreferredActivity; setApplicationEnabledSetting; setComponentEnabledSetting,Binder caller / PackageManagerShellCommand,"SET_PREFERRED_APPLICATIONS, cross-user enforcement, setEnabledSetting protected checks",Binder.getCallingUid used in PMS; shell passes shell package label,requested userId,preferred record or package/component mutation only after PMS checks,preferred record accepted but Fire still won HOME; Fire disable rejected,Confirmed,"decompiled/jadx/ota-PS7331/systemui-nores/sources/com/android/server/pm/PackageManagerService.java:14910-14930,15654-15675",no unprivileged caller bypassing these checks,No duplicate resolver or disable tests; compare branches offline
