surface_family,source_csv,source_sha256,Test/Evidence ID,來源檔案,命令或行為,結果,狀態分類,是否可重做,缺口,信心,row_id,status,scope,registration,caller,gate,sink,production_caller,external_reachability,user_scope,evidence,next_safe_verification,evidence_id,area,source,sha256,path,method,observed,capability_vs_caller,notes,id,surface,classification,evidence_strength,source_refs,summary
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6IQ-K-072-F-118,findings/phase-6iq-adb-foreground-fallback.md; adb/phase6iq/PHASE6IQ-ADB-MONITOR-20260807-05/result.json,ADB monitor 觀察 Fire resumed 後以公開 am start 將 Microsoft 置前景，重複 5/5,Microsoft 可見 foreground；resolver 仍 Fire；monitor 停止、ADB 斷線或下次 HOME 時不保證保留,已完成／temporary workaround,host-only 讀 result/rollback/hash 可重做；不啟動 monitor、不接設備,monitor trigger與正式 HOME sampling 尚未形成跨 run 統一模型,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6CX/6CY/6HB,findings/phase-6cx-adb-accessibility-foreground-redirect.md; findings/phase-6cy-ms-targeted-accessibility-retry.md; findings/phase-6cy-accessibility-reboot-persistence.md; findings/phase-6hb-ms-accessibility-reboot-persistence.md,既有 Accessibility enable/isolation、Fire event redirect、自然 HOME/reboot與 rollback captures,部分 run 顯示 Microsoft foreground/redirect；resolver仍 Fire；service persistence 不等於 HOME persistence；另有自然 HOME 0/3 與 timing-sensitive 正向樣本,已完成 bounded evidence／已排除正式 HOME／未完成矛盾 reconciliation,host-only 對齊 timestamps、trigger、resolver與foreground欄位可重做；不 enable service、不 reboot、不 replay,樣本時間、trigger、sampling定義與 clean-boot差異未完全對齊,中高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6CL,findings/phase-6cl-manifest-locktask-boundary.md; adb/phase6cl/PHASE6CL-MANIFEST-LOCKTASK-20260805-01,manifest lockTaskMode=always；Activity啟動後送 HOME並讀 lock/resumed/focused/resolver,Lock Task 保留第三方 foreground；HOME resolver仍 Fire priority 50；rollback後 Fire恢復,已完成／temporary workaround,host-only 讀 manifest、stdout與rollback 可重做；不要安裝 APK 或啟動 lock task,沒有 User 0 formal HOME writer或persistent resolver變更證據,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,PHASE6CM/6CN,findings/phase-6cm-manifest-locktask-reboot-boundary.md; findings/phase-6cn-boot-completed-locktask-boundary.md; output/tables/phase6cm-manifest-locktask-reboot-boundary.csv,Lock Task reboot 與 BOOT_COMPLETED receiver boundary observation,重啟後 lock state 清除、目標未保持 resumed；resolver ready 後回 Fire priority 50；receiver registration 不等於 HOME writer,已排除 persistence／重複 guard,host-only 讀既有 reboot outputs 可重做；不要 reboot、不 replay receiver,transient FallbackHome 與 boot readiness 仍需避免誤分類,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,P6-DUP-01,work/luna_worker_phase6si_test_catalog_20260810.csv; work/luna_worker_phase6sm_test_catalog_20260810.csv,跨 phase 比對相同 fingerprint、Fire priority、service visibility、user/package guards,多個檔案是同一 build/state 的重複 read-only guard，不是獨立 writer proof,重複／canonicalize,可重做 host-only hash、schema、path existence與 snapshot diff；不需接設備,canonical run 選擇與後續 changed-premise trigger需維護,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TE existing test audit,work/luna_worker_phase6te_test_audit_20260810.csv,9b5b52b676b24f37cf391ee0ba7e4e4c6b4dd729bbf3e1dfa261069e83d8d380,P6-REFUSED-01,findings/phase-6r-evidence-index.md; work/luna_worker_phase6sm_test_catalog_20260810.csv,讀取非執行/拒絕紀錄：private Binder、driver ioctl、OTA/OOBE、root/exploit、child replay,這些不是負向 runtime result；僅表示未授權或安全邊界拒絕執行,拒絕／未執行,可重做 host-only non-execution ledger、hash/schema/path audit；不得執行原路徑,缺口不能以禁止的 runtime action 補齊,高,,,,,,,,,,,,,,,,,,,,,,,,,,,
6TF IPC residual,work/luna_worker_phase6tf_ipc_residual_20260810.csv,6bcc6976c9a39d26c54df49e7978f82ce17c0f7910bd8cad3d8c6516e7372417,,,,,,,,,6TF-01,POSITIVE,Amazon Alta H2 user creation,H2ClientService.onBind() -> IH2ClientService.Stub.addUser,H2ClientService$1.addUser -> AddUserAPICall.run -> HouseholdController.createUser,UserMetadata null/character-set validation at HouseholdController.java:323-329; bind permission holder not recovered,CreateAndroidUserCommand -> UserHelper.createAndroidUser -> AmazonUserManager.createAdultUser/createChildUser; CreateAndroidUserCommand.java:20-37,YES,UNKNOWN,Workflow-supplied user; no formal HOME/package sink,"H2ClientService.java:104-126; AddUserAPICall.java:10-14,29-33; HouseholdController.java:323-373; CreateAndroidUserCommand.java:20-37",Recover exact H2 manifest/service declaration and static IH2ClientService clients; no bind/call/replay,,,,,,,,,,,,,,,
6TF IPC residual,work/luna_worker_phase6tf_ipc_residual_20260810.csv,6bcc6976c9a39d26c54df49e7978f82ce17c0f7910bd8cad3d8c6516e7372417,,,,,,,,,6TF-02,POSITIVE,Amazon Alta H2 user/device removal,H2ClientService.onBind() -> IH2ClientService.Stub.removeUserFromDevice,H2ClientService$1.removeUserFromDevice -> RemoveUserFromDeviceAPICall -> HouseholdController.removeUserFromDevice,Null and User 0 rejection at HouseholdController.java:635-641; protected-ID validation in RemoveAndroidUserCommand; bind gate unresolved,"RemoveAndroidUserCommand -> switchUser(0,true) when active -> AmazonUserManager.removeAmazonUser; AndroidUserHelper.java:148-156",YES,UNKNOWN,Explicit Android user ID; User 0 removal rejected,H2ClientService.java:226-236; HouseholdController.java:635-652; RemoveAndroidUserCommand.java:16-29; AndroidUserHelper.java:148-156,Recover manifest/exported/permission and production clients only; do not invoke or mutate,,,,,,,,,,,,,,,
6TF IPC residual,work/luna_worker_phase6tf_ipc_residual_20260810.csv,6bcc6976c9a39d26c54df49e7978f82ce17c0f7910bd8cad3d8c6516e7372417,,,,,,,,,6TF-03,POSITIVE,Amazon Alta identity/permission-to-Settings relay,Household workflow -> PersistenceController -> ConfigHelper,PersistenceController update/write paths; upstream Binder identity is not read/cleared in this artifact,No method-local Binder gate recovered; SettingsProvider/MultipleProfileHelper authorization unresolved,ConfigHelper -> MultipleProfileHelper.putStringForProfile -> SettingsProvider secure per-profile write; direct Global/Secure writes also present,YES,UNKNOWN,Caller-supplied Android user ID; explicit per-profile integer; reset path includes User 0,"PersistenceController.java:36-43,74-99; ConfigHelper.java:94-124; AndroidUserHelper.java:144-168; ResetDeviceCommand.java:33-37",Join exact SettingsProvider/MultipleProfileHelper implementation and caller provenance host-only; no settings writes,,,,,,,,,,,,,,,
6TF IPC residual,work/luna_worker_phase6tf_ipc_residual_20260810.csv,6bcc6976c9a39d26c54df49e7978f82ce17c0f7910bd8cad3d8c6516e7372417,,,,,,,,,6TF-04,POSITIVE,Amazon user/profile ordering state,HouseholdModel observer -> SortOrderManager.updateAndroidIdsWithNewList,SortOrderManager.update()/setUserList()/resetUserList(); no Binder identity check in internal observer,No Binder gate; internal observer path only,AndroidUserHelper.setSortedAndroidIds/resetSortedAndroidIds -> AmazonUserManager.setUserSortedList; AndroidUserHelper.java:159-176,YES,UNKNOWN,Ordered profile IDs derived from household collection; no HOME preferred/package sink,"SortOrderManager.java:19-24,46-70; HouseholdController.java:673,772-775,810; AndroidUserHelper.java:159-176",Confirm exact H2 manifest and source consumers; do not alter sort order or user state,,,,,,,,,,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-01,OTA provenance,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,member/hash inventory,PS7331 official package identity and hash,package provenance,Existing local artifact only,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-02,OTA format,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/members.json,73647770903168819a92b5861bb57416226abd4bfc29f2d135f76a2f3e5f48d4,firmware/extracted/PS7331/,ZIP member listing,no payload.bin or A/B postinstall in known members,format capability,Known corpus bounded,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-03,Write boundary,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,META-INF/com/google/android/updater-script:1-24,script text audit,system vendor boot-chain and cache blocklist targets,high-privilege writer capability,Not executed,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Strong evidence,,,,,,,,,,,TG-04,Native updater,META-INF/com/google/android/update-binary,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,META-INF/com/google/android/update-binary,static CFG/disassembly,registration extraction open fsync block-image handlers,high-privilege capability,Hash as recorded in prior findings,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-05,Dispatch,artifacts/phase6mk-updater-dispatch-20260810-01/registration-dispatch.csv,443c69127293d18903d469f7a670a4b58b208cdbf6402c240ecaeec6e307ecb,registration-dispatch.csv,callback registry review,24 install callback registrations,capability not shell caller,Registry is not public API,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Unknown,,,,,,,,,,,TG-06,Temp/canonicalization,artifacts/phase6ne-updater-cache-flow-20260810-03/selected-functions.csv,1cb21f3de9403c54e080c27f2d285d8e76a0e3a970063a250cdcc3c222a98b60,selected-functions.csv and direct-call-edges.csv,bounded disassembly edge review,CacheSizeCheck mkdir stat chown and readlink markers; full dataflow incomplete,capability only; caller unknown,No traversal test,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Strong evidence,,,,,,,,,,,TG-07,Verifier provenance,findings/phase-6kt-recovery-verifier-provenance.md,484273958f44898c6b94a208da4e144936df09a191e03efe6316c18d167fe732,Java verifier/staging and UpdateSystem.install,source/decompilation review,metadata hash signature PVT then privileged handoff,privileged caller path but native endpoint incomplete,No sideload/recovery execution,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Strong evidence,,,,,,,,,,,TG-08,Reachability,output/tables/phase6kt-recovery-gates.csv,,phase6kt-recovery-gates.csv,evidence-table review,no shell or ordinary APK updater caller chain,capability separated from reachability,Bounded negative,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-09,otadexopt,output/tables/phase6ae-otadexopt-methods.csv,,phase6ae-otadexopt-methods.csv,VDEX/disassembly plus saved RO capture,shell-visible service; done/progress precondition path,service capability not partition/HOME writer,Mutation reachability remains Unknown,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-10,OOBE caller,artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv,,bootafter-ota-scope.csv,source/dataflow review,system-server boot phase and isUpgrade guarded sender plus OOBE mutations,guarded privileged caller and capability,Not replayed,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Strong evidence,,,,,,,,,,,TG-11,OOBE authorization,artifacts/phase6r/ota-oobe-authorization-20260805-05/oobe-authorization-matrix.csv,,oobe-authorization-matrix.csv,manifest and permission comparison,receiver permission metadata incomplete; action not authentication,authorization capability but ordinary caller unproven,Authorization completeness Unknown,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-12,Non-execution,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/summary.json,,summary.json,saved audit metadata,device_contacted false updater_executed false,procedure boundary,Host-only,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Confirmed,,,,,,,,,,,TG-13,Source provenance,artifacts/phase6c5/gpl-source-scope-20260804-01/scope.csv,,scope.csv plus kernel/source-manifest.json,archive scope and hash manifest,MT8183 kernel present Android init source absent,source capability/provenance,Does not claim full userspace source,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Strong evidence,,,,,,,,,,,TG-14,Kernel debug surface,artifacts/phase6nb-amzn-drv-test-source-closure-20260810-04/phase6nb-amzn-drv-test-source.csv,,phase6nb-amzn-drv-test-source.csv,source grep and config review,proc write callback and owner-write source; shipped node SELinux caller not closed,capability only; caller unknown,No device access; reachability remains Unknown,,,,,,
6TG OTA/source scope,work/luna_worker_phase6tg_ota_scope_20260810.csv,625ba9425df3c7b15efdbb90e297e34f731e6cf9150cf1045d1a2b7310118219,,,,,,,,,,Risk-rejected,,,,,,,,,,,TG-15,Unsafe validation boundary,local audit scope,,symlink malformed OTA recovery flash reboot tests,explicit safety exclusion,no dynamic reachability evidence obtained,risk-rejected,No exploit construction or mutating operation,,,,,,
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-01,/dev/ion core,POSITIVE_LIBRARY_ONLY,Strong static,ion.c lines 1478-1617 1657-1658 1920-1924; kernel.config lines 3532-3534; platform.tar sha256 69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd; phase5bl observations.csv line 6; vendor CIL lines 3066 4170 4325 4417,libion.so path and ION ioctl callsites are established; top-level process UID/domain runtime invocation and downstream privileged effect are not established; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-02,/dev/ion MTK custom,POSITIVE_LIBRARY_ONLY,Strong static,ion_drv.c lines 428-492 703-736; kernel.config lines 3532-3534; platform.tar sha256 69c62d65a387e22b39678df8054e6cae12b4d95b8c5d9bf21ad53811491a7fdd,libion_mtk.so mt_ion_open ion_custom_ioctl and ioctl callsites are established; library to process provenance and runtime invocation remain open; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-03,/dev/mtk_cmdq and MDP async,UNKNOWN_RESIDUAL,Medium static,cmdq_driver.c sha256 b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899 lines 660-743 864-865; mdp_ioctl_ex.c sha256 665aacbd47eb99f3a5e38f0447c75881c04827f24cf60c9baa7606e6dd1d52c1 lines 332-405 602-729; kernel.config lines 1247-1248; phase6rg node metadata; vendor CIL,source reaches async MDP readback and hardware register state but no exact shipped ELF open plus ioctl caller; final TE ueventd and credential join missing; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-04,/proc/m4u,UNKNOWN_RESIDUAL,Medium static,m4u.c sha256 6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6 lines 1577-2043 2268; phase6rg absent /dev/m4u and /dev/M4U_device,source supports DMA IOMMU and port power controls but active proc exposure and production caller are unresolved; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-05,/proc/perfmgr/perf_ioctl,UNKNOWN_RESIDUAL,Medium static,perf_ioctl.c sha256 df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09 lines 69-203 231-232; phase6rg proc metadata; vendor CIL,source supports FPSGO fbc and touch_boost controls but exact shipped ELF proc write ioctl caller and effective authorization are missing; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-06,RPMB service driver,UNKNOWN_RESIDUAL,Medium static,rpmb core.c and rpmb-mtk.c; kernel.config lines 2235-2237; process_list lines 166 294; rpmb_svc.rc; vendor CIL,process and service metadata exist but no exact Android native open ioctl or service to driver callsite; node owner credential and SELinux join missing; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-07,/proc/idme/*,CLOSED_NEGATIVE_FOR_WRITE,Strong static,amzn_idme.c sha256 ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e lines 316-347; kernel.config lines 3583-3584; phase6n proc metadata; IDME init and vendor CIL,source masks write bits and forces owner 0400; read caller and confidentiality policy remain bounded; no launcher package HOME or OTA edge
6TH kernel/native residual,work/luna_worker_phase6th_kernel_residual_20260810.csv,33bd5f872a9a782ae4e897944dabd5ca45409775d5fed0d5e54915c906c1f55b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNR-08,Amazon diagnostics /proc/amzn_drvs/*,CONDITIONAL_NOT_SHIPPED_ESTABLISHED,High source Low-Medium production,amzn_drv_test.c sha256 6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e lines 747-812; trona_defconfig lines 524-530; phase6rg says proc absent,source has lifecycle factory reset and RTC special mode write but CONFIG_AMZN_DRV_TEST is absent and no shipped node or native caller is established; no proven launcher package writer or OTA caller
