phase,row_id,provenance_or_domain,surface_or_subject,source_or_location,user_entry_or_entry,gate_or_access,client_or_caller,sink_or_impact,status,next_safe_host_only_step,source_sha256
6RY,6RY-011,permission/IPC,android.permission.SET_PREFERRED_APPLICATIONS,6RV 013; DefaultHomePreferenceController; 6IZ shell region,PMS preferred-activity Binder API entries,Declaration holder exact in bounded corpus UNKNOWN; Calling UID and userId preserved in bounded slice,DefaultHomePicker and runSetHomeActivity static callers; effective caller UNKNOWN,Per-user preferred resolver XML; no low-priv route proven,STATIC SINK; holder and effective caller UNKNOWN,Map caller gate and target user offline,
6RY,6RY-012,permission/IPC,public/exported metadata,6RV 6RW 001-010; phase6IP tx6 tx7 follow-up,Public components and private Amazon services need exact manifest fosinit mapping,Exact PS7331 component corpus incomplete; Identity user permission UNKNOWN unless source proves it,No production caller proven; generated interfaces and test probes excluded,No new sensitive sink; tx6 tx7 first sinks receiver map PendingIntent,BOUNDED UNKNOWN; absence is not vulnerability evidence,Continue exact-build manifest scan offline; no invocation,
6RZ,1,OEM-MediaTek,CMDQ/MDP,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:739-741,820-824,865,894-898; mdp/mdp_ioctl_ex.c:332-405,602-729","/dev/mtk_cmdq; /proc/mtk_cmdq_debug/{status,record,instructionCount}; device sysfs attrs; cmdq_ioctl/cmdq_ioctl_compat; CMDQ async/wait/readback; mdp_ioctl_async_exec; copy_from_user/copy_to_user",proc 0440; sysfs S_IRUSR|S_IWUSR; char node mode not set in source; final ueventd/file_contexts/TE absent,No in-tree client established; no node opened or ioctl executed,Hardware/display/MDP state; theoretical DMA/register impact; no package sink,source+config confirmed; caller unknown,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899
6RZ,2,OEM-MediaTek,M4U,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270",/proc/m4u; /dev/m4u misc branch is preprocessor-inactive; m4u debugfs; MTK_M4U_ioctl; ALLOC_MVA/DEALLOC_MVA/CONFIG_PORT/POWER/MONITOR/CONFIG_TF; copy_from_user/copy_to_user,proc_create mode 0; debugfs controls mode 0600; active node/domain mapping unresolved,No source client; no runtime operation,DMA/IOMMU/memory-isolation and power state theoretical impact,source-only/access unknown,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6
6RZ,3,OEM-MediaTek,MDP executor,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/mdp/mdp_ioctl_ex.c:332-405,602-729",via /dev/mtk_cmdq; mdp_ioctl_async_exec; CMDQ_MOP_WRITE/WRITE_SEC/READ; user metadata copy,Inherited CMDQ boundary; no local capable() proof; SELinux/client absent,No userspace caller established,Display/register/hardware availability; no framework/package edge,source capability only,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,665aacbd47eb99f3a5e38f0447c75881c04827f24cf60c9baa7606e6dd1d52c1
6RZ,4,OEM-MediaTek,Performance ioctl,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,231-232",/proc/perfmgr/perf_ioctl; device_ioctl; FPSGO commands; read/write/unlocked_ioctl/compat_ioctl,proc mode 0664; no local capable(); owner/group write only at source; SELinux/domain unknown,No client established,Scheduling/performance/resource state; no package/settings sink,writable source surface; reachability unknown,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09
6RZ,5,OEM-MediaTek,Accelerometer factory,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/sensors-1.0/accelerometer/accel_factory.c:35-168,202-227",/dev/gsensor; acc_factory_unlocked_ioctl; GSENSOR_IOCTL_SET_CALI/CLR_CALI/ENABLE_CALI,misc node mode unspecified; no capable() in inspected path; ueventd/SELinux absent,No source client,Calibration/device behavior only,conditional factory surface,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,b00912925e4b053f7d80e25ee01b40a70e2eccd6f6eb3db6ea7d398ff32601c1
6RZ,6,OEM-MediaTek,GED,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c:340-344,411",/proc/ged; ged_read/ged_write; ged_ioctl/ged_ioctl_compat; user copies,"source mode 0644; saved runtime caller is UID 2000 shell, enforcing u:r:shell:s0; no local UID gate",Saved shell query telemetry only; no ordinary-app caller,Read-only telemetry; higher-impact bridge not exercised; no package/HOME edge,confirmed shell telemetry only,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5
6RZ,7,OEM-MediaTek,ION,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c:1502-1658,1906-1956; ion/mtk/ion_drv.c:428-492,703-736","/dev/ion; debugfs ion/{heaps,clients}; ion_ioctl/compat_ion_ioctl; custom_ioctl; alloc/free/map/share/import/sync; debugfs read/write files",saved metadata mode 0666 owner system:graphics label ion_device; extracted policy allow is not runtime proof; debugfs source 0664/0644,bounded 307 APK/JAR scan found no direct client markers; no open/ioctl,Memory/DMA state theoretical impact; no package/settings edge,source+metadata; client/effect unknown,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63
6RZ,8,OEM-MediaTek,RPMB,"platform/kernel/mediatek/mt8183/4.4/drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776",MTK RPMB char device; exact node policy unresolved; rpmb_ioctl; authenticated read/write/key-related user copies; .read/.write NULL,device_create mode/label and TE mapping not in saved PS7331 join; rpmb_svc exists in device properties,No source-to-rpmb_svc client closure; no operation,Persistent authenticated storage; boot/policy state theoretical impact,source-only/service unknown,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5
6RZ,9,OEM-Amazon,Amazon lifecycle,"platform/device/amazon/kernel/driver/amzn_sign_of_life.c:255-265,277-370",/proc/life_cycle_reason; seq read only; exported write_boot_reason/write_shutdown_reason/write_special_mode are kernel APIs,proc mode 0444; no userspace write callback; CONFIG_AMZN_SIGN_OF_LIFE=y,No userspace write client,Kernel-originated boot/shutdown/special reason only; no direct package sink,read-only bounded negative,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419
6RZ,10,OEM-Amazon,Amazon IDME,"platform/device/amazon/kernel/driver/amzn_idme.c:62-71,319-351",/proc/idme/<field>; idme_fops read/seq; no write fop,write bits masked; mac_sec forces 0400 and uid 1000; SELinux read policy not fully joined,No write client; read confidentiality caller unresolved,Product/calibration identity disclosure only,read-only bounded negative,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e
6RZ,11,OEM-Amazon,Amazon logger,platform/device/amazon/kernel/driver/amzn_logger.c:698-738,Amazon logger misc device; node name/policy not preserved; amazon_logger_read; misc_register; no write fop observed,CONFIG_AMZN_METRICS_LOG=y and CONFIG_AMZN_MINERVA_METRICS_LOG=y; final mode/label unknown,No direct client established,Metrics/logging state; no package/settings sink,read-only/source boundary,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd
6RZ,12,OEM-Amazon,Amazon driver test,platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812,"/proc/amzn_drvs/{sign_of_life,idme,logger}; proc_write; decimal test index; shared read/write fops; index 21 factory reset mode, 23 RTC special mode",source requests 0644; no capable(); trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; final object/SELinux unknown,No userspace client; production reachability conditional,Factory-reset/RTC/boot-state impact if built and authorized,high-impact conditional source path,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e
6RZ,13,OEM-Amazon,Amazon liquid detection,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/amazon/amzn_ld.c:638-711,737-786",odm:ld sysfs attrs; module parameters; store_stop_detection/store_ctrl_mode/store_threshold_l/store_threshold_h/store_sleep_interval,source attrs 0664; saved shell audit saw no user attrs and denied module parameters; no write performed,No client; shell path bounded negative,Liquid/thermal/USB behavior; no package/boot writer,bounded negative for saved shell path,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc
6RZ,14,OEM-Amazon,Amazon key combo,"platform/device/amazon/kernel/driver/amzn_keycombo.c:116-158,184-300",DT-configured input combo; no proc/sysfs/ioctl node; input event handler; panic/poweroff/sign-of-life kernel actions,No userspace control node; DT/input policy and event source are kernel-side,No ordinary userspace client,Potential reboot/poweroff on physical/key event; not app privilege surface,kernel event path; source-only,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,09e19712f177e0740a96964f420f74adda3412442b65d6df5cec8187e38e6071
6RZ,15,generic-upstream,evdev,"platform/kernel/mediatek/mt8183/4.4/drivers/input/evdev.c:840-892,1324-1331",/dev/input/event* (generic); evdev_read/evdev_write; evdev_ioctl/compat; input event user copies,CONFIG_INPUT_EVDEV=y; node labels/modes not in PS7331 join; generic upstream,No preserved ordinary-app client or state effect,Input injection/device state theoretical; no package/HOME edge,generic source-only,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28
6RZ,16,generic-upstream,USB devio,"platform/kernel/mediatek/mt8183/4.4/drivers/usb/core/devio.c:976-1112,1628-1650,2396-2398",USB device nodes (generic); usbdev_ioctl/compat; control/bulk/URB user copies,USB config selected; node/SELinux/client mapping absent,No preserved client or runtime USB ioctl,USB/device state theoretical; no package/settings/boot edge,generic source-only,Complete exact shipped ueventd/file_contexts/TE/client mapping offline; do not open the node.,655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768
6SA,6SA-001,official_outer_archive,Fire_HD10-7.3.3.1-20250617.tar.bz2,firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2,SHA256=02ffafddb97999ebcc4419dda28cab9ea6ddacf7123b1301a073a3809c762aea; size=2563328975,Preserved source artifact only,No caller field in source ledger; preserve UNKNOWN,Outer member enumeration did not reach verified EOF; do not infer completeness,CONFIRMED_OFFICIAL,Offline enumerate to verified EOF,
6SA,6SA-002,official_signed_ota,update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,SHA256=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; 27 ZIP members,Official signed OTA verification boundary; no install,No caller field in source ledger; preserve UNKNOWN,ZIP scope is bounded independently of outer archive,CONFIRMED_OFFICIAL,Re-hash if a new exact package is supplied,
6SA,6SA-003,ota_metadata,META-INF/com/android/metadata and ota.prop,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/android-metadata.txt; ota.prop,pre-device=trona; post-build=Amazon/trona/trona:9/PS7331.4463N/0031575863040; incremental=0031575863172; OTA type BLOCK,Metadata gate is input to updater policy,No caller field in source ledger; preserve UNKNOWN,Metadata copy hashes retained in source artifact manifest,CONFIRMED_STATIC,Host-only metadata re-audit,
6SA,6SA-004,ota_script,META-INF/com/google/android/updater-script,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; SHA256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,Uses block_image_update and fixed extraction/write operations at script lines 6-24,Recovery/updater execution identity; fixed named targets,No caller field in source ledger; preserve UNKNOWN,No execution or malformed-input test,CONFIRMED_STATIC,Offline script/member cross-check,
6SA,6SA-005,updater_binary,META-INF/com/google/android/update-binary,firmware/extracted/PS7331/META-INF/com/google/android/update-binary; SHA256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,Registers install and block-image functions; 24 handler registrations,Recovery/updater privilege boundary; indirect dispatch remains,No caller field in source ledger; preserve UNKNOWN,Static disassembly is not runtime proof,CONFIRMED_STATIC,Expand offline indirect CFG,
6SA,6SA-006,extraction_sink,PackageExtractFileFn 0x401fb8-0x402788,Phase 6MD/6QC native audit,ota_open -> ExtractToMemory/ExtractEntryToFile -> fs operations,Recovery/updater identity; package contents pass through OTA parser,No caller field in source ledger; preserve UNKNOWN,No crafted package or execution,CONFIRMED_STATIC,Offline call/dataflow review,
6SA,6SA-007,partition_write_sink,PerformBlockImageUpdate / WriteToPartition 0x413c40-0x4142f0,Phase 6MD/6QC native audit,block update -> ota_open/ota_write -> open/write; target list fixed by script,Highest-privilege recovery capability; not shell reachability,No caller field in source ledger; preserve UNKNOWN,No partition write or replay,CONFIRMED_STATIC,Offline sink-to-input dataflow only,
6SA,6SA-008,partition_target_blocklist,target.blocklist,artifacts/phase5/ps7331-ota-metadata-inspection-20260804-01/target.blocklist.json; SHA256=f0a3f810d0dab5486a59cc22b9fc9390e9668760ab5a2b1229580a27fb05d83c,13 fixed bootdevice targets recorded,Recovery policy/package boundary,No caller field in source ledger; preserve UNKNOWN,Copy is local extraction of official member,CONFIRMED_STATIC,Re-hash exact member,
6SA,6SA-009,staging,SideloadMover and FileHelper,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,Basename destination; rename then copy fallback; destination open/truncate and cleanup delete,Privileged OTA controller path; verification precedes handoff,No caller field in source ledger; preserve UNKNOWN,No canonical/NOFOLLOW marker in Java source is static sensitivity only,CONFIRMED_STATIC,Offline helper/source review,
6SA,6SA-010,verification,SideloadVerifier / SideloadMetadataChecker,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,"Metadata, RecoverySystem verification path, build/signature/product/PVT/device-state checks",Privileged/controller policy gate; native verifier not in saved Java,No caller field in source ledger; preserve UNKNOWN,No verifier execution,CONFIRMED_STATIC,Recover exact platform verifier source offline,
6SA,6SA-011,install_handoff,UpdateSystemWrapper -> UpdateSystem.install,artifacts/phase6y/ota-staging-audit-20260805-01/ota-staging-evidence.csv,Path remap and OTA screen-state write precede install call,Privileged system-update framework boundary; no ordinary caller edge,No caller field in source ledger; preserve UNKNOWN,No invocation or state mutation,CONFIRMED_STATIC,Offline caller/identity closure,
6SA,6SA-012,native_path_sensitivity,MakeFreeSpaceOnCache readlink-family call 0x417bf0,artifacts/phase6mm-updater-blockimage-20260810-01 and phase6ne summary,readlink/readlinkat/symlink_realpath markers; no selected direct edge to write sink,Native updater privilege; caller/return dataflow incomplete,No caller field in source ledger; preserve UNKNOWN,Symlink/traversal/temp-path is not tested and not a finding,CONFIRMED_STATIC,Expand all callers and return branches offline,
6SA,6SA-013,bootafter_sender,SystemServer onBootPhase(550) -> PMS.isUpgrade() -> protected broadcast,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log; phase6 bootafter ledger,BOOT_AFTER_SYSTEM_OTA sent only from guarded upgrade lifecycle with receiver permission,system_server lifecycle and protected-broadcast gate; sender identity not ordinary app,No caller field in source ledger; preserve UNKNOWN,No broadcast replay or runtime delivery capture,CONFIRMED_STATIC,Natural authorized OTA read-only observation only,
6SA,6SA-014,oobe_sink,BootAfterSystemOTAReceiver,artifacts/phase6j/.../BootAfterSystemOTAReceiver.java; phase6my/6ni ledgers,Enables OobeHomeActivity and writes OOBE setup state,OOBE receiver/system context; exact numeric user unresolved,No caller field in source ledger; preserve UNKNOWN,No manual enablement or settings mutation,CONFIRMED_STATIC,Read-only post-OTA component/settings capture,
6SA,6SA-015,home_sink_review,OOBE/BootAfterSystemOTA chain,phase6my and phase6ni artifacts,No bounded Fire Launcher preferred-HOME writer found in reviewed chain,Does not negate unreviewed callers or runtime resolver state,No caller field in source ledger; preserve UNKNOWN,No claim of launcher takeover,BOUNDED_NEGATIVE,Offline widen bounded source review,
6SA,6SA-016,prior_audit_artifacts,phase6MD/6MK/6MM/6NE/6MY/6NI/6Y reports,artifacts/ and work/ paths,Supporting analyses and normalized ledgers only; not official package members,None; local evidence is provenance-tracked separately,No caller field in source ledger; preserve UNKNOWN,Do not conflate hashes with package authenticity,LOCAL_RESEARCH_ONLY,Preserve local files unchanged,
6SA,6SA-017,corpus_closure,all unresolved outer/native/OOBE gaps,this report and CSV,Offline archive EOF; native indirect/canonicalization dataflow; natural-OTA read-only observation only,No new authority required for offline work; runtime requires naturally occurring authorized event,No caller field in source ledger; preserve UNKNOWN,No exploit payload or test procedure,SAFE_NEXT_STEP,Perform only host-only offline closure,
