phase,row_id,domain,control_flow,caller_gate_identity_user,sink_or_effect,evidence,evidence_sha256,status_or_classification,disposition,next_safe_host_only_step,risk_rejected_path
6RV,6RV-011,android.permission.MANAGE_USERS,AmazonUserManagerImpl child/profile lifecycle -> AmazonUserManagerService; DPM/admin callers separately gated,AmazonUserManager KFT path clears identity before package writes; tx3 local authorization incomplete; supplied UserInfo.id; intended child/profile scope,Fire/Tahoe/Launcher3 component state for child; not a normal User-0 HOME setter,artifacts/phase6mc-permission-holder-audit-20260810-05/summary.json; output/tables/phase6mc-amazon-caller-provenance.csv,,OBSERVED HOLDERS + STATIC-ONLY CALLER,static child caller confirmed; ordinary caller not proven,Exact holder/caller or consumer provenance; preserve UNKNOWN.,"No private Binder, mutation, device-node, OTA, Root, or reboot."
6RV,6RV-012,android.permission.WRITE_SECURE_SETTINGS,ContentProvider insert/update/delete caller; production caller inventory UNKNOWN,bounded SettingsProvider writes retain Binder identity; no clearCallingIdentity shown; resolved calling/owning user; cross-user delegated to ActivityManager,SettingsRegistry SettingsState and XML; no HOME/PMS package sink,"work/luna_worker_phase6rs_settings_pm_closure_20260810.csv:SRS-01,SRS-02; artifacts/phase6mc-permission-holder-audit-20260810-05/summary.json",,OBSERVED HOLDERS + UNKNOWN CALLER,static writer confirmed; arbitrary caller not proven,Exact holder/caller or consumer provenance; preserve UNKNOWN.,"No private Binder, mutation, device-node, OTA, Root, or reboot."
6RV,6RV-013,android.permission.SET_PREFERRED_APPLICATIONS,Settings DefaultHomePicker and shell runSetHomeActivity are static callers; effective caller-specific route/runtime result separate,replacePreferredActivity uses calling UID; no clearCallingIdentity in bounded slice; explicit userId; HOME candidate validated for selected user,per-user preferred resolver/XML; resolver ranking may still select Fire,"decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java:13120-13143,13817-13838; work/luna_worker_phase6rs_settings_pm_closure_20260810.csv:SRS-04",,STATIC_ONLY + UNKNOWN HOLDER,static caller/sink; runtime effective HOME not inferred,Exact holder/caller or consumer provenance; preserve UNKNOWN.,"No private Binder, mutation, device-node, OTA, Root, or reboot."
6RV,6RV-014,android.permission.INSTALL_PACKAGES|android.permission.DELETE_PACKAGES,"package installer, vending, OTA/OOBE and policy callers in separate inventories; no ADD_RM bridge found",caller-specific PMS gates/identity handling; not unified; explicit user or lifecycle user scope,install/delete package state; no AmazonApplicationFlags-to-HOME edge,artifacts/phase6mc-permission-holder-audit-20260810-05/summary.json; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv; work/luna_worker_phase6rs_settings_pm_closure_20260810.csv:SRS-09,,OBSERVED HOLDERS + STATIC-ONLY CALLER,static writer families only; exact production caller varies/UNKNOWN,Exact holder/caller or consumer provenance; preserve UNKNOWN.,"No private Binder, mutation, device-node, OTA, Root, or reboot."
6RV,6RV-015,amazon.permission.ADD_RM_PKG_METADATA,No exact production caller -> permission holder -> Binder mutator -> HOME/package-state writer chain found,No identity-clearing bridge from mutators to PMS shown; AmazonApplicationFlags explicit user preserved; downstream user join UNKNOWN,first proven sink is AmazonApplicationFlags XML; HOME/preferred/component/package-state sink NOT_FOUND,work/luna_worker_phase6mu_application_flags_trace_20260810.md; work/luna_worker_phase6ms_inventory_20260810.md; work/luna_worker_phase6rs_settings_pm_closure_20260810.csv:SRS-09,,UNKNOWN / NEGATIVE BOUNDED CLOSURE,not established as a low-privilege route,Exact holder/caller or consumer provenance; preserve UNKNOWN.,"No private Binder, mutation, device-node, OTA, Root, or reboot."
6RW,6RW-001,SystemUI resource,SystemUIApplication reads array then constructs services,SystemUI system context; listed classes; system scope,Amazon SystemUI service lifecycle only,decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:3-37,c59d8f5e41cdab1b1c040835ba4580f4c549de7e66375a6b73bd06363b8a6e7e,confirmed,No HOME/package writer,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-002,SystemUI per-user resource,Per-user loader reads array then empty list then no branch,SystemUI per-user loader; empty exact array; no user sink,No per-user service/component sink,decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:344-349,c59d8f5e41cdab1b1c040835ba4580f4c549de7e66375a6b73bd06363b8a6e7e,confirmed,No Fire/HOME edge,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-003,HOME callback,resolveIntent dispatch then AppCompat PM resolve then ResolveInfo,system_server callback dispatcher; PM resolver; in-process user,PM-produced ResolveInfo,decompiled/baksmali/vdexExtractor/services/disassembly.log:796418-796497; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:41093-41147,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,high-confidence,No Fire component construction,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-004,HOME callback,resolveIntent dispatch then Eve null/base then PM resolver,system_server callback; null result falls through; in-process user,Standard PM resolver,decompiled/baksmali/vdexExtractor/services/disassembly.log:796418-796497; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:41093-41147,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,Falls through; not writer,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-005,LauncherHijackPreventer,Activity/stack callback then uid/pid then SELinux or signature gate,Callback context; caller-derived package; in-process user,canSeeHomeTask boolean or permission result,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:136857-137040; artifacts/amazon-services/launcherhijackpreventer_fosinit.xml:9-16,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,Visibility gate only,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-006,AMS activity/profile callback,Resume/start callback then policy/observer then notification or picker,AMS in-process callback; ComponentName and user lifecycle,Activity/profile event or conditional picker start,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:180180-180210; artifacts/amazon-services/amazonactivitymanager_fosinit.xml:12-22,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,No PMS HOME/package writer,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-007,Profile metadata,Package lifecycle then readMetaDataFromAppInfo then map persistence,System package lifecycle; target checks; user scope incomplete,Launch metadata map persistence,findings/phase-6er-amazon-profile-metadata-tx41-boundary.md:39-58;112-146,,confirmed,Consumer/authenticity closure pending,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-008,OOBE component writer,Protected BOOT_AFTER_SYSTEM_OTA then receiver gates then PackageManager,Protected receiver context; OOBE and retail gates; lifecycle user,OobeHomeActivity enabled,BootAfterSystemOTAReceiver.java:27-61; PackageHelper.java:11-22,900f2dd69d349b3b4718b7f988b7d5bd153af2e2cb3c1586600e5b048e760ad8; c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,confirmed,No replay; not Fire HOME,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-009,OOBE settings writer,Protected OTA/OOBE branch then ContentResolver settings write,Receiver context; inherited user unresolved,user_setup_complete=0 and isOOBEActive=1,OOBEActivationHelper.java:53-56; SettingsDBUtils.java:51-64,6ebcb7eef7a03459a76b9c21cd59b61a30947f2b00a5624a4646825b8e3223d2; 6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,confirmed,No HOME sink; user propagation pending,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-010,Settings HOME resource/controller,Build controller then reads bool/key then reports PM default,Settings context; PM wrapper; user from Settings,Controller availability/report only,decompiled/jadx/ota-PS7331/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java; decompiled/jadx/ota-PS7331/settings/resources/res/values/bools.xml,39f282503e5c27322ac1e000c1edafa9a514ba036757ac45e40a619f030749c4; e17d1f54abc2bf55d8a50c75821f96f9a4122d03e014de8c15f054e0d9a758db,confirmed,Dashboard XML omits HOME row,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-011,Settings HOME writer,DefaultHomePicker.setDefaultKey then replacePreferredActivity then implicit HOME,Internal Settings fragment; PMS permission and cross-user gates; explicit user,Stored preferred HOME and HOME start,decompiled/jadx/ota-PS7331/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePicker.java; decompiled/jadx/ota-PS7331/settings/resources/res/xml/default_home_settings.xml,56e7319492ee910d53c89f1d9c09eb18bdc7cc304106c403ee2e1049ebe2b9a7; 5f6d08422cdebbce4567ee58e1c671a840d0edd19176932c4a9687bb6cfa94e7,confirmed,Static route only; do not invoke,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-012,PMS preferred persistence,Setter then PreferredIntentResolver and Settings then per-user XML,System server and PMS; internal gates; explicit user,preferred-activities and persistent-preferred-activities XML,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/Settings.java:read/write; decompiled/baksmali/vdexExtractor/services/disassembly.log:515118-515124;518609-518664,738a3f8d07cb4de3a09badfe447f602e4e14a2e223af83f7abfa42d2c4b14e28; 373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,confirmed,Stored state not overlay/provider key,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-013,PMS resolver,resolveIntentInternal then chooseBestActivity then priority comparison,System server and PMS; candidate validation; explicit user,Fire HOME candidate priority 50 wins over third-party priority 0,decompiled/baksmali/vdexExtractor/services/disassembly.log:951258-951309; decompiled/jadx/ota-PS7331/firelauncher/resources/AndroidManifest.xml,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53; 4a7fbfd42cbce6f37a90147751afe7adb18d99de43efe10e0938f48694b1936f,confirmed,Explains preferred divergence,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-014,Package/component writer,KFT child lifecycle then UserInfo.id then enabled-state setters,AmazonUserManagerService; child/profile user; internal service identity,State of Tahoe/Fire/Launcher3 components,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54310-54324,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,confirmed,Child-scoped; not broad User-0 route,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-015,Amazon PM metadata/flags,Private tx1/2/4/5 then permission then AmazonApplicationFlags,Caller permission holder and production caller unknown; explicit user arg,Amazon flags/metadata sink,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:402917-403398;95866-96037,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,pending,No private transaction,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-016,Deny-list resource,Raw resource then package-management policy consumer,Amazon policy resource; package policy scope,package_manager_deny_list behavior,output/tables/phase6ap-denylist-resource.csv; artifacts/phase6ap/denylist-resource-closure-20260805-01,,excluded,Not SystemUI/HOME/settings writer,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-017,Image overlays,Overlay trees then overlay manager resource selection,Saved runtime inventory; overlays disabled; system/vendor image scope,Cutout and dark-theme only,findings/phase-6je-native-overlay-provenance-closure.md:65-76;233-240; adb/phase3c/PHASE3C-BASELINE-20260803-02/overlay/list.stdout.txt,c28af7d0130e3ff02806dcb953a6299955d44c1887d42f22f26d43f96296ae1d,high-confidence,No enabled HOME/framework-res/SystemUI overlay,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-018,Native/overlay closure,PS7331 native and overlay scan then provenance join then no relevant edge,System/vendor exact image set; no HOME input or state writer,No native HOME/package/resource writer,output/tables/phase6je-native-overlay.csv; findings/phase-6je-native-overlay-provenance-closure.md:65-75,,high-confidence,Negative within enumerated set,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-019,WMS generic callbacks,Window callback then permission/type checks then flags/visibility/trace/PIP,System server callback context; window package/type gates,Window flags/visibility/trace/PIP only,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:196540-196700;203322-203390,,excluded,Not package/component/HOME writer,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RW,6RW-020,Corpus completeness,Fosinit loader then 123 registrations then callback dispatch,Loader/class set incomplete; user/caller scope unresolved,Unknown unreviewed callback edge,artifacts/phase6jd-fosinit-20260808-01; decompiled/baksmali/vdexExtractor/services/disassembly.log:222435-222489,eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286,pending,Host-only recover/diff if artifacts appear,Recover missing exact-build/native caller scope only.,"No Binder, broadcast, settings/package/overlay mutation, OTA, Root, or reboot."
6RX,RX-01,OOBE/BOOT_AFTER_SYSTEM_OTA,BootAfterSystemOTAReceiver -> PackageHelper -> OOBEActivationHelper; protected broadcast in android.amazon.perm; AMS isProtectedBroadcast gate; phase6gu/phase6my,ordinary app or shell,enable OobeHomeActivity and secure setup-state writes,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-02,OOBE user scope,receiver Context and provider calls have context-bound user but selected sender has no explicit user argument; phase6mo/phase6my,ordinary app or shell,OOBE component/settings sink for User 0,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-03,package enable/disable,PackageManagerShellCommand -> PMS setEnabledSetting; protected-package rejection is established; phase6mh plus phase6fg/phase6eu,shell UID 2000,Fire or arbitrary package/component enabled state,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-04,Amazon package flags/metadata,IAmazonPackageManager mutators require amazon.permission.ADD_RM_PKG_METADATA; production caller/holder universe incomplete; phase6mt/phase6mu/phase6mx,ordinary app or shell,Amazon package metadata/flags,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-05,child/profile lifecycle,AmazonUserManagerService.enableKftLauncherComponent(UserInfo) writes supplied UserInfo.id; child provisioning/system loop evidence; phase6mh/phase6mn,ordinary app or shell,per-user Fire/Tahoe/Launcher3 component state,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-06,profile picker,AmazonProfileService helper has explicit profile-picker launch sink; source/caller graph and authorization incomplete; phase6mq,ordinary app or shell,startProfilePicker/profile UI,phase6rx ledger; AmazonProfileService helper has explicit profile-picker launch sink; source/caller graph and authorization incomplete; phase6mq,, not HOME selector, not HOME selector,Complete host-only caller graph and permission check; classify UI effect separately from package/HOME sinks,No private Binder transaction or profile-picker invocation
6RX,RX-07,settings/DPM,DPM/profile and Settings paths have owner/permission gates; OOBE writes setup state only; phase6mn/phase6qf/phase6du/phase6ef,ordinary app or shell,secure settings or policy-backed package state,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-08,Vending/package writers,seven Vending writers are internal policy/verifier/install helpers with derived/internal inputs; no Fire/HOME literal; PMS gate applies; phase6mb,ordinary app or shell,package/component enabled state,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-09,native overlay/system-server,Native/system-server and Amazon native selection found no launcher/HOME/state-setter edge; overlays disabled; phase6je,ordinary app or shell,HOME/package state through native overlay,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-10,input,IAmazonInputManager inject/injectSequence carry Binder PID/UID to native sinks; permission/native enforcement and caller universe incomplete; no HOME resolver/component writer in reviewed block; phase6mr,ordinary app or shell,input injection or key/callback sink,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-11,OTA controller/update,OTA Java verifier and native updater reach extraction/block-image/partition write; no ordinary caller chain; phase6p/phase6md/phase6qf,reduced-privilege caller,verified OTA install/update dispatch,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-12,native drivers/procfs,live metadata and SELinux evidence do not close caller-to-sensitive-sink path; phase6qf/phase6mv,ordinary app or shell,driver ioctl/native control sink,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
6RX,RX-13,Amazon activity/prewarm,APP_PREWARM check then clearCallingIdentity and startProcessLocked; only Alexa caller preserved; phase6qc/phase6qf,ordinary app or shell,process start/prewarm via identity-clearing service,RAW_CSV_FORMAT_WARNING: unquoted comma; consult the preserved Markdown ledger,,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,UNKNOWN_DUE_TO_UNQUOTED_RAW_CSV,Use the preserved Markdown ledger; do not infer shifted CSV fields.,Preserved raw ledger; no device operation was performed.
