family,id_or_route,status,real_home_or_sink,observed_result_or_effect,evidence,evidence_type,next_safe_step
existing-evidence-audit,6V-OOBE-002 current setup-state observation,unknown,Prevents overclaiming an OOBE-triggered HOME transition from current settings alone.,Saved read-only values are user_setup_complete=1 and isOOBEActive=1; these do not prove BootAfterSystemOTAReceiver ran on this boot.,findings/phase-6v-evidence-index.md:17-19; findings/phase-6v-pms-control-surface-review.md:105-114,existing-evidence-audit,Retain as baseline only; no manual broadcast or settings mutation.
existing-evidence-audit,6V-PMS-006 installer attribution callback,closed,Permission/provenance surface is distinct; do not treat it as a launcher or package-state bypass.,"Feature/shell/trusted-installer conditions can change installer attribution, but the reviewed path is separate from HOME resolver and protected-package bypass.","findings/phase-6v-evidence-index.md:14-15; findings/phase-6v-pms-control-surface-review.md:95-101,136-140",existing-evidence-audit,Host-only compare PackageInstaller caller conditions; no install or attribution mutation.
ipc-boundary-audit,IPC-BF-01,closed,IPackageManager.getApplicationInfo -> ActivityManagerService.startProcessLocked; process/resource effect only; no HOME/PMS state writer,uid_scope=ordinary UID 10198; supplied user was User 0; caller_gate=Binder interface/service lookup was reachable in saved run; identity is cleared around PM/process path,Phase6PV IPC-01; findings/phase-6er-amazon-prewarm-confused-deputy.md; decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log:3642543-3642622,host-static-plus-existing-runtime,Host-only re-check of caller/result handling if a new decompiler slice is added; no invocation
ipc-boundary-audit,IPC-BF-02,closed,AmazonUserManagerHelper.putIntForUser writes setup-complete settings for supplied user; no package/HOME setter,uid_scope=ordinary UIDs 10223/10227; caller-supplied UserInfo IDs 0 and 10; caller_gate=Binder interface token plus service handle; clearCallingIdentity surrounds settings writes,Phase6PV IPC-02/03; findings/phase-6gv-amazon-user-manager-tx4-settings-deputy.md; findings/phase-6gi-amazon-user-manager-tx4-user10-deputy.md; fosservices/disassembly.log:54524-54566,host-static-plus-existing-runtime,Host-only inspect inherited helper authorization and user-scope call graph; no Binder call
ipc-boundary-audit,IPC-BF-03,closed,setComponentEnabledSetting for Tahoe and setApplicationEnabledSetting for Fire Launcher/Launcher3; child/profile package state only; no setHome/preferred writer,"uid_scope=trusted child/profile lifecycle; UserInfo.id supplied, not fixed User 0; caller_gate=Known static caller is createChildUser; ordinary reachability was separately observed, but saved User 10/User 0 attempts hit PMS gates","Phase6PV IPC-04; findings/phase-6fi-fk-amazon-user-manager-tx-boundary.md; findings/phase-6pr-kft-tx3-authorization-closure.md; fosservices/disassembly.log:54297-54325; boot-fosframework/disassembly.log:369180-369217,370637-370750",host-static-plus-existing-runtime,Host-only recover missing superclass/interface authorization and caller references; do not dispatch the interface
ipc-boundary-audit,IPC-BF-04,closed,"Amazon flags/metadata file persistence and recency consumer; no setHomeActivity, preferred, setApplicationEnabledSetting, or setComponentEnabledSetting downstream edge",uid_scope=explicit user argument in mutators; caller identity remains bounded; caller_gate=Permission gate precedes local flags/metadata helpers; no caller-controlled HOME edge found,"work/luna_worker_phase6ms_inventory_20260810.md:31; work/luna_worker_phase6_private_client_universe_20260810.md:81,109-110; fosservices/disassembly.log:95866-96037",host-static-plus-existing-runtime,Host-only extend consumer search if new extracted classes appear
ipc-boundary-audit,IPC-BF-05,closed,createAdultUser/createChildUser profile lifecycle; downstream KFT is child-scoped and not a User-0 HOME selector,uid_scope=trusted account/workflow-created adult or child profile; caller_gate=No ordinary caller chain or shell route in saved corpus; no method-local identity relay established,Phase6PV IPC-05; output/tables/phase6mn-ipc-user-scope-20260810-01.csv:2-3; artifacts/phase6mc-alta-static-20260810-01-manifest.txt:144-154; H2ClientService.java:105-107; AndroidUserHelper.java:78-81,host-static-plus-existing-runtime,Host-only manifest/source caller inventory if additional H2 artifacts are preserved
ipc-boundary-audit,IPC-BF-06,closed,PackageHelper.setComponentEnabledSetting enables OOBE component; no Fire HOME/preferred writer in bounded chain,uid_scope=system lifecycle context; exact receiver user mapping unresolved; caller_gate=Trusted boot phase and isUpgrade branch; receiver manifest permission claim not established in reviewed slice,Phase6PV IPC-06; findings/phase-6my-ota-receiver-package-helper-closure.md; output/tables/phase6mo-oobe-context-user-scope-20260810-01.csv:2-6; fosservices/disassembly.log:96107-96126,host-static-plus-existing-runtime,Host-only Context/user propagation trace; no broadcast injection or component mutation
ipc-boundary-audit,IPC-BF-07,closed,user restrictions and trusted persistent-preferred/package policy; no ordinary caller result and no arbitrary Fire HOME relay,uid_scope=device-owner/profile-owner or policy-admin scope; User 0 owner UID 10058 in saved evidence; caller_gate=clearCallingIdentity appears only after admin checks around policy writes,Phase6PV IPC-08; output/tables/phase6pr-privilege-route-matrix.csv:5; output/tables/phase6cq-dpm-persistent-preferred-boundary.csv; findings/phase-6hw-parental-owner-home-boundary.md,host-static-plus-existing-runtime,Host-only owner/admin and caller-identity data-flow review; no policy write
ipc-boundary-audit,IPC-BF-08,closed,Generic setApplicationEnabledSetting/setComponentEnabledSetting candidates; protected-package rejection remains saved; no HOME evidence,uid_scope=UID/caller/input unresolved; data-app provenance only; caller_gate=No ordinary caller-to-Fire identity relay demonstrated,Phase6PV IPC-07; findings/phase-6mb-vending-permission-and-state-writer-audit.md; output/tables/phase6ps-privilege-route-closure.csv:2-3; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv,host-static-plus-existing-runtime,Host-only recover skipped caller/data-flow bodies; no writer invocation
ipc-boundary-audit,IPC-BF-09,closed,Bounded negative for Amazon private HOME/preferred writer; separate WEB_SEARCH preferred writer does not select Fire HOME,uid_scope=system/admin gate for HOME; vending helper target is WEB_SEARCH/DEFAULT only; caller_gate=No ordinary Amazon-private relay to HOME found; helper's limited preferred writer is not HOME,output/tables/phase6kv-pms-home-callers.csv; findings/phase-6ep-amazon-writer-reachability.md; work/luna_worker_vending_unclosed_surface_20260810.md:27-56; output/tables/phase6cq-dpm-persistent-preferred-boundary.csv,host-static-plus-existing-runtime,Host-only rescan of newly added decompiled classes; no preferred setter
home-workaround-audit,standard HOME resolver,disproved,real_home=yes (Fire only); persistence=normal system persistence,none,output/rendered/phase-1-report.phase2-final4.md; adb/launcher-tests; resolver consistently com.amazon.firelauncher/.Launcher priority 50,existing-runtime-and-host-audit,keep as baseline comparator
home-workaround-audit,preferred activity / set-home-activity,disproved,real_home=no for User 0; child candidate remains Tahoe; persistence=preferred record is persistent until changed but not winner,low reversible state change; keyguard can confound snapshots,preferred record exists or command reports Success but unlocked User 0 HOME still resolves Fire priority 50; output/rendered/phase-1-report.phase2-final4.md; output/tables/phase6ck-child-third-party-home-boundary.csv,existing-runtime-and-host-audit,host-only compare chooseBestActivity ranking and equal-priority branch
home-workaround-audit,Settings default-home UI,unknown,real_home=unknown; UI path exists but manual selection effect not established on this build; persistence=unknown until UI selection is made,medium; GUI and overlay/build variance,DefaultHomePreferenceController/DefaultHomePicker and replacePreferredActivity exist; phase-3c-settings-matrix.csv; output/rendered/phase-1-report.phase2-final4.md,existing-runtime-and-host-audit,static diff of exact-build resources and existing saved UI artifacts only
home-workaround-audit,SystemUI direct Fire launch,disproved,real_home=no; persistence=normal SystemUI lifecycle persistence,low; copied framework classes create bounded-negative limitation,SGObserver references Fire only to inspect foreground before Smart Genie popup; focused search found no direct Fire Home launch; findings/systemui-launch-search.md; output/rendered/phase-1-report.phase2-final4.md,existing-runtime-and-host-audit,keep SystemUI observation separate from HOME resolver path
home-workaround-audit,foreground redirect via resident Accessibility,temporary,real_home=not by resolver; visible foreground only; persistence=service setting survived reboot in 6CY-R but mechanism is delayed/event-driven,requires Accessibility enablement and installed APK; not executed in this audit,explicit Fire start redirected to Microsoft and one run recorded HOME-key Microsoft 3/3; resolver remained Fire priority 50; findings/phase-6cx-adb-accessibility-foreground-redirect.md; findings/phase-6cy-ms-targeted-accessibility-retry.md,existing-runtime-and-host-audit,only host-audit existing evidence; do not describe as HOME replacement
home-workaround-audit,Accessibility natural HOME contradiction,temporary,real_home=no; Fire remains resolver and result is timing-sensitive; persistence=setting persisted across reboot in tested run,"medium/high; depends on timing, host ADB/service lifecycle and user consent",postboot HOME Microsoft 0/3 with Settings snapshots; clean reboot table says 3/3 foreground but delayed retry and resolver Fire; output/tables/phase6cy-clean-reboot-home.csv; output/tables/phase6cy-accessibility-adb-pause.csv; findings/phase-6cy-accessibility-reboot-persistence.md,existing-runtime-and-host-audit,host-only reconcile timestamps and foreground sampling definitions; no device rerun
home-workaround-audit,installed Microsoft Accessibility service,disproved,real_home=no; persistence=temporary enablement only,low/medium; empty onAccessibilityEvent path,service bound but explicit Fire and KEYCODE_HOME stayed Fire; resolver Fire priority 50; findings/phase-6de-microsoft-installed-accessibility-boundary.md,existing-runtime-and-host-audit,retain as negative control for Accessibility route
home-workaround-audit,manifest Lock Task foreground retention,temporary,real_home=no; foreground kiosk only; persistence=not persistent across reboot,medium; app install and lock state are mutating and require consent,manifest lockTaskMode=always auto-entered LOCKED; HOME left target resumed/focused while resolver still Fire; findings/phase-6cl-manifest-locktask-boundary.md; output/tables/phase6cl-manifest-locktask-boundary.csv,existing-runtime-and-host-audit,host-only preserve result; do not count as real HOME
home-workaround-audit,Lock Task reboot,disproved,real_home=no; persistence=disproven persistence across reboot,medium; transient boot FallbackHome must not be mistaken for persistence,after reboot lock state 0 and target not resumed; resolver returned Fire priority 50; output/tables/phase6cm-manifest-locktask-reboot-boundary.csv,existing-runtime-and-host-audit,no repeat; retain as reboot boundary
home-workaround-audit,BOOT_COMPLETED Lock Task receiver,disproved,real_home=no; persistence=not persistent/insufficient trigger,medium; receiver registration is not proof of broadcast delivery or HOME writer,receiver resolver entry and permission present but target did not start after reboot; Fire resolver priority 50; output/tables/phase6cn-boot-completed-locktask-boundary.csv,existing-runtime-and-host-audit,static receiver/exported/permission review only
home-workaround-audit,child profile Tahoe HOME,viable,real_home=yes for child User 12 only; no for User 0; persistence=per-user lifecycle persists while child profile exists; not User 0 persistence,medium; GUI-created child/profile lifecycle and asynchronous FallbackHome transitional state,after RUNNING_UNLOCKED User 12 resolves Tahoe priority 975 and resumes Tahoe; owner return resolves Fire priority 50; findings/phase-6co-child-switch-timing-policy-boundary.md; output/tables/phase6ck-child-third-party-home-boundary.csv,existing-runtime-and-host-audit,if goal is child-profile HOME only; no inference of User-0 replacement
home-workaround-audit,child-profile package writer / KFT,rejected,real_home=no for User 0; child-scoped capability only; persistence=child state is lifecycle/policy persistent until stopped/removed,medium/high; private Binder replay or child deletion is out of scope,static KFT writer enables Tahoe and changes Fire/Launcher3 state for child scope; runtime User 0 stayed Fire and private tx3 unreachable; output/tables/phase6cb-gui-child-profile-kft-lifecycle.csv; findings/phase-6ay-kft-child-user-experiment.md; output/tables/phase6pv-broad-route-closure.csv,existing-runtime-and-host-audit,host-only trace static writer to first consumer; no tx3 invocation
home-workaround-audit,child set-home activity,disproved,real_home=yes child HOME remains Tahoe; no User 0; persistence=preferred record may persist but loses ranking,low/medium; priority ranking and protected KFT state,User 12 set-home command returned Success but Tahoe priority 975 remained effective and Microsoft priority 0; output/tables/phase6ck-child-third-party-home-boundary.csv,existing-runtime-and-host-audit,retain as child resolver ranking control
home-workaround-audit,child switch timing / FallbackHome,unknown,real_home=transient only; final child HOME is Tahoe; persistence=normal lifecycle across boot/unlock,medium; transitional foreground/resolver snapshots can be misclassified,first switch briefly resolved FallbackHome before RUNNING_UNLOCKED; authoritative ready run resolved Tahoe 975; output/tables/phase6co-child-switch-timing-policy-boundary.csv,existing-runtime-and-host-audit,require readiness gating in any future approved observation
home-workaround-audit,Amazon initiateLauncher helper,disproved,real_home=no; persistence=no state effect,low,initiateLauncher only permission bridge/log/SUCCESS; no Intent/startActivityAsUser/HOME/preferred/package mutation; findings/phase-6mq-profile-launcher-helper-closure.md,existing-runtime-and-host-audit,do not treat name as launcher control
home-workaround-audit,Amazon activity prewarm,disproved,real_home=no; persistence=process effect temporary,medium; ordinary-app deputy must not be conflated with HOME,ordinary APK prewarm starts process but saved result has no package/HOME/preferred sink; findings/phase-6er-amazon-prewarm-confused-deputy.md; output/tables/phase6pv-broad-route-closure.csv,existing-runtime-and-host-audit,retain as non-HOME control
home-workaround-audit,Amazon UserManager tx4 setup flags,rejected,real_home=no; persistence=settings state persisted until rollback but no HOME effect,medium; cross-user settings deputy is bounded and mutating,ordinary app could write setup flags for User 0/User 10 with exact rollback; HOME/package unchanged; output/tables/phase6pv-broad-route-closure.csv,existing-runtime-and-host-audit,do not replay; host-only consumer search if needed
home-workaround-audit,OOBE / BOOT_AFTER_SYSTEM_OTA,rejected,real_home=no; persistence=privileged lifecycle state only,high; OTA/OOBE mutation risk,boot phase 550 plus isUpgrade enables OobeHome and writes setup/OOBE flags; no Fire Launcher or preferred-HOME writer; replay rejected; findings/phase-6pv-broad-route-followup.md; output/tables/phase6pv-broad-route-closure.csv,existing-runtime-and-host-audit,static context/user-scope trace only
live-readonly,PV-LIVE-RO-01,confirmed,com.amazon.firelauncher/.Launcher; priority=50,"User 0 resolver remains Fire; capture reports no mutation, Binder transaction, or reboot",adb/phase6pw/PHASE6PW-READONLY-20260810-01,runtime-read-only,Use as current comparator; do not repeat mutation without a changed hypothesis
