id,surface_or_service,entrypoint,publication,permission_or_gate,caller_or_client,binder_identity_or_domain,user_scope,sink_or_effect,observed_effect,evidence,confidence,missing_edge,next_safe_step,source_kind
P15-002,amazonwindowmanager,AmazonWindowManagerService / IAmazonWindowManager,exact fosinit service and saved runtime name,shell find denied; CONTROL_PIP_WINDOW enforced,system-server and vendor manager clients,system_server; shell UID 2000 denied,window/display scope,PIP overscan lock and window controls,no HOME or package sink,windowmanager fosinit; phase6aq service-context matrix; phase6l contract inventory,Strong evidence,all method gates and caller provenance,host-only VDEX review,luna_worker_service_boundary
P15-003,amazonpackagemanager,AmazonPackageManagerService / IAmazonPackageManager,exact fosinit service and saved runtime name,ADD_RM_PKG_METADATA signature|amazon; system PendingIntent creator gate,system-server and trusted Amazon framework clients,system_server; shell UID 2000 denied,per-user metadata arguments,metadata flags persistence and proxy forwarding,no private HOME setter; facade can reach PMS state setters,packagemanager fosinit; phase6aq service-context matrix; phase6l contract inventory; phase12 package join,Strong evidence,caller and cross-user validation,host-only manifest permission callsite join,luna_worker_service_boundary
P15-004,amazonusermanagerservice,AmazonUserManagerService.BinderService / IAmazonUserManager,saved runtime publication; fosinit declaration not recovered,getCallingUid checkComponentPermission signature markers; exact gate unresolved,KFT child lifecycle and system-server caller,system_server; shell UID 2000 denied,supplied UserInfo.id; child only,enableKftLauncherComponent delegates to AmazonPackageManager,Tahoe enabled; Fire Launcher and Launcher3 disabled for child,phase6aq matrix; phase6l contract inventory; phase6mh writer calls,Confirmed,external caller authorization and UserInfo validation,host-only Stub caller policy join,luna_worker_service_boundary
P15-005,amazonprofileservice,AmazonProfileService Binder contract,saved runtime publication; fosinit declaration not recovered,PROFILE_INTERACTION; calling UID signature and identity markers,profile UI or provider client; production caller unresolved,system_server; shell UID 2000 denied,current-user or picker argument; cross-user gate,startActivityAsUser profile launch,no PMS or HOME effect observed,phase6aq matrix; phase6er profile boundary; saved service list,Strong evidence,publication source and production caller,host-only source manifest join,luna_worker_service_boundary
P15-006,migrationservice,MigrationService / IMigrationManager,saved runtime publication; context source unresolved,MOUNT_UNMOUNT_FILESYSTEMS for migration methods; shared-storage query lacks local check,system-server migration caller,system_server; shell UID 2000 denied,shared storage and running-user notification,appsAvailable notifies com.amazon.firelauncher,refresh notification only; no package or HOME write,phase6cd migration boundary; SERVICE_MAP; saved service list,Strong evidence,service_contexts entry and caller identity,host-only source context recovery,luna_worker_service_boundary
P15-007,amazon_input,AmazonInputManagerService input Binder service,publishBinderService amazon_input; saved runtime name,permission UID and signature markers; shell find denied,authorized system or Amazon input clients,system_server or Amazon domain; shell UID 2000 denied,input event and display policy; current-user handling,input callbacks and filter; no HOME selector,listed but shell cannot obtain handle; no package or HOME mutation,input-home-boundary CSV; phase6aq matrix; VDEX lines 21872-22644,Confirmed,client grants and cross-user rules,host-only permission manifest join,luna_worker_service_boundary
P15-008,amazon_keyevent,AmazonInputManagerService key-event Binder service,publishBinderService amazon_keyevent; saved runtime name,SET_PARTNER_APP_INFO; INPUT_LOCKING; GET_KEYEVENTS; shell find denied,authorized partner or system clients,system_server or Amazon domain; shell UID 2000 denied,current-user key policy and partner scope,input-locking and key-event state; local HOME-key implicit intent,no shell handle; no explicit launcher or preferred HOME write,input-home-boundary CSV; phase6aq matrix; phase6aq closure,Confirmed,exact callers and input consumers,host-only manifest source join,luna_worker_service_boundary
P15-009,amazonactivitymanager,preWarmApplicationForUser,IAmazonActivityManager Stub Proxy mapping under fosinit,APP_PREWARM check before clearCallingIdentity; denial branch unresolved,privileged Alexa saved scope; ordinary shell blocked,system_server or Alexa domain; shell UID 2000 denied,explicit target userId,prewarm process and package path,static check plus identity clear; no shell or HOME effect,phase6ax activity inventory; phase6aq closure,Probable,full control flow and caller set,host-only disassembly recovery,luna_worker_service_boundary
P15-010,amazonpackagemanager,setAmazonFlagsForUser and setAmazonMetadataForUser,IAmazonPackageManager Stub Proxy under fosinit,ADD_RM_PKG_METADATA signature|amazon; shell find denied,Amazon framework or system-server caller unresolved,system_server or Amazon domain; shell UID 2000 denied,caller-supplied per-user argument,AmazonApplicationFlags persistence,flags and metadata persistence; no HOME consumer,phase10a package closure; phase6l contract inventory,Confirmed,requester UID and cross-user validation,host-only caller consumer join,luna_worker_service_boundary
P15-011,amazonusermanagerservice,enableKftLauncherComponent UserInfo,service method mapped to runtime service and AmazonPackageManager facade,service find denied; external gate unresolved; lifecycle gate present,KFT child provisioning; system-server facade,system_server; shell UID 2000 denied,UserInfo.id child scope,component and application enabled-state calls,exact child path changes Tahoe Fire Launcher and Launcher3,phase6mh writer calls; phase12 package join,Confirmed,caller authorization and no User 0 input,host-only topology join,luna_worker_service_boundary
P15-012,amazon_keyevent,KeyPolicyManagerCommon.launchHomeFromHotKey,local callback not Binder publication,no separate private caller gate in local path; upstream key policy,system-server local policy; not shell Binder route,system_server; not shell Binder route,UserHandle.CURRENT,implicit MAIN HOME startActivityAsUser; resolver chooses per-user candidate,no explicit Fire component or preferred activity write,phase6aq closure; input-home-boundary CSV,Strong evidence,upstream dispatch and resolver ranking,host-only callback resolver join,luna_worker_service_boundary
