domain,row_id,subject,method_or_route,registration_or_api,caller_or_permission,gate_or_policy,identity_or_formal_home,user_scope_or_persistence,sink_or_result,reachability_or_mutation,classification,evidence,source_or_hash,next_safe_step,notes
systemui-callback,6RT-001,SystemUI resource arrays,arrays.xml:3-37; amz_config_systemUIServiceComponents,arrays.xml:3-37; amz_config_systemUIServiceComponents,SystemUIApplication service bootstrap,resource lookup; SystemUI system context,listed Amazon SystemUI service class strings,resource array entries,resource array entries,service construction/lifecycle only; no Fire/HOME writer,static confirmed; no low-privilege edge,decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:3-37,,Compare exact-build overlays only,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-002,SystemUI per-user resource array,arrays.xml:344-349; config_systemUIServiceComponentsPerUser,arrays.xml:344-349; config_systemUIServiceComponentsPerUser,SystemUI per-user service loader,preserved array is empty,no per-user input,no registration,no per-user Fire/Home component sink,static confirmed within resource,NEGATIVE: NO FIRE COMPONENT,decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:344-349,,Host-only overlay diff,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-003,SystemUI profile/user callback,AmazonDependency -> AmazonUserSwitcherController,AmazonDependency -> AmazonUserSwitcherController,SystemUI profile picker,AMS switchUser permission/cross-user gate,selected UserInfo/userId,profile UI selection,ActivityManager user lifecycle switch; no Fire component/package writer,registration and saved lifecycle path confirmed,EVENT/LIFECYCLE NOTIFICATION,SERVICE_MAP.md:1892-1900; findings/phase-6gr-gui-systemui-profile-switch-boundary.md,,Retain read-only snapshots; do not switch users,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-004,PhoneWindowManager callback,amazonwindowmanager_fosinit.xml:12-15 -> AmazonWindowManagerPwmCallback,amazonwindowmanager_fosinit.xml:12-15 -> AmazonWindowManagerPwmCallback,PhoneWindowManager callback dispatch,window type/package permission checks,WindowManager.LayoutParams type/flags/packageName,window params,"flag adjustment, permission result, PIP_STATE_CHANGE event; no HOME/package writer",in-process system_server callback,WINDOW POLICY / EVENT NOTIFICATION,artifacts/amazon-services/amazonwindowmanager_fosinit.xml:12-15; fosservices/disassembly.log:196540-196700,,Static method diff only,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-005,WindowManager service callback,amazonwindowmanager_fosinit.xml:16-17 -> AmazonVendorWindowManagerServiceCallback,amazonwindowmanager_fosinit.xml:16-17 -> AmazonVendorWindowManagerServiceCallback,WindowManagerService relayout,normal WMS relayout/policy checks,two WindowManager.LayoutParams,extraSystemUiVisibility bits,window visibility mutation only; no component/package/HOME writer,in-process callback; no ordinary caller edge,WINDOW VISIBILITY MUTATION ONLY,artifacts/amazon-services/amazonwindowmanager_fosinit.xml:16-17; fosservices/disassembly.log:203374-203390,,Inspect complete offline class slice only,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-006,App transition callback,amazonwindowmanager_fosinit.xml:19-20 -> AmazonVendorAppTransitionCallback,amazonwindowmanager_fosinit.xml:19-20 -> AmazonVendorAppTransitionCallback,WindowManager starting-window lifecycle,system_server transition/render-thread state,AppWindowToken and render-thread TID,starting-window transition,async trace and thread priority; no activity/package writer,in-process lifecycle callback,TRACE/RESOURCE SCHEDULING NOTIFICATION,artifacts/amazon-services/amazonwindowmanager_fosinit.xml:19-20; fosservices/disassembly.log:203322-203373,,No trace injection; static compare only,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-007,ViewRoot callback,amazonwindowmanager_fosinit.xml:22-23 -> AmazonVendorViewRootImplCallback,amazonwindowmanager_fosinit.xml:22-23 -> AmazonVendorViewRootImplCallback,ViewRootImpl lifecycle,framework callback dispatch,view/window lifecycle args,view/window callback state,no Fire literal or package/HOME sink in saved slice,registration confirmed; concrete sink incomplete,CALLBACK REGISTRATION; SINK NOT FOUND,artifacts/amazon-services/amazonwindowmanager_fosinit.xml:22-23; boot-fosframework/disassembly.log:16832,,Obtain complete offline class slice,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-008,HOME pre-resolution callback,appcompatsupport_fosinit.xml:12-20 -> AppCompat callbacks,appcompatsupport_fosinit.xml:12-20 -> AppCompat callbacks,ActivityStackSupervisor.resolveIntent -> callback dispatcher,first non-null callback; AppCompat PM resolver; uninstalled filter,HOME Intent/resolution inputs,HOME Intent/resolution inputs,PM-produced ResolveInfo,can preempt fallback only with PM result; no Fire literal/component construction,static confirmed; no direct Fire selector,findings/phase-6al-home-resolve-callbacks.md; findings/phase-6nh-home-callback-completeness.md; artifacts/phase6kw-vendor-home-callbacks/vendor-home-callbacks.csv,,Host-only registration compare,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-009,HOME pre-resolution callback,eve_launch_time_fosinit.xml:13-20 -> EveActivityStackSupervisorCallback,eve_launch_time_fosinit.xml:13-20 -> EveActivityStackSupervisorCallback,ActivityStackSupervisor callback dispatcher,base null when no resolveIntent override,HOME Intent/resolution input,null ResolveInfo then PM fallback,standard PackageManagerInternal resolver remains sink,static confirmed; falls through,EVENT/LIFECYCLE + NULL RESOLVER CALLBACK,findings/phase-6al-home-resolve-callbacks.md; artifacts/phase6kw-vendor-home-callbacks/vendor-home-callbacks.csv,,Retain AOSP resolver comparator,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-010,Launcher hijack ActivityStack callback,launcherhijackpreventer_fosinit.xml:10-15,launcherhijackpreventer_fosinit.xml:10-15,ActivityTask/ActivityStack visibility callback,Leanback feature; SELinux see_home_task; Android signature fallback,caller uid/pid-derived package ApplicationInfo/seInfo,visibility/permission query,canSeeHomeTask boolean and permission name; no HOME/package writer,in-process callback; no Binder relay,HOME VISIBILITY GATE / NOT WRITER,artifacts/amazon-services/launcherhijackpreventer_fosinit.xml:9-16; fosservices/disassembly.log:136857-137040,,Static SELinux/manifest comparison only,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-011,Amazon Activity callback,amazonactivitymanager_fosinit.xml:12-22 -> AmazonActivityManagerAMSCallback,amazonactivitymanager_fosinit.xml:12-22 -> AmazonActivityManagerAMSCallback,AMS updateUsageStatsOnResume(ComponentName),in-process AMS callback; private service handle,resumed ComponentName/user lifecycle,onActivityResume(ComponentName),ActivitySwitchHandler/observer notification; no PMS/HOME writer in callback body,registration and local callback confirmed,ACTIVITY EVENT NOTIFICATION,artifacts/amazon-services/amazonactivitymanager_fosinit.xml:12-22; fosservices/disassembly.log:180180-180210; SERVICE_MAP.md:1513-1522,,Trace offline observer consumers only,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-012,Amazon ProfileService AMS callback,LocalServices -> AmazonProfileServiceActivityManagerCallback,LocalServices -> AmazonProfileServiceActivityManagerCallback,AMS activity-start decision and ActivitySwitchObserver,profile-picker state/metadata; remote tx41 downstream INTERACT_ACROSS_USERS,Intent/userId or resumed ComponentName; configured picker target,shouldAbortActivityStart and conditional startActivityAsUser,profile/activity notification or picker Activity; no preferred/package writer,static plus saved lifecycle observation,PROFILE/ACTIVITY EVENT + CONDITIONAL ACTIVITY START,findings/phase-6er-ams-home-callback-boundary.md; findings/phase-6er-amazon-profile-metadata-tx41-boundary.md,,Trace consumers; no tx41/activity replay,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-013,Amazon OOBE callback/receiver,onBootPhase(550) -> protected BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver,onBootPhase(550) -> protected BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver,system_server OTA lifecycle sender,PMS.isUpgrade + signature|amazon protected broadcast,trusted receiver Context/OOBE state,OOBE lifecycle event,enable OOBE component and setup settings; no Fire Launcher HOME writer,trusted lifecycle route; ordinary relay not established,OOBE COMPONENT/SETUP WRITER; NO FIRE HOME EDGE,findings/phase-6ff-oobe-backup-lifecycle-boundary.md; artifacts/phase6mg-oobe-helper-scope-20260810-01/helper-scope.csv,,Observe only natural official OTA,No explicit Fire selector is inferred from registration alone
systemui-callback,6RT-014,Amazon Profile metadata callback,PACKAGE_ADDED/REPLACED/CHANGED -> readMetaDataFromAppInfo -> service $13,PACKAGE_ADDED/REPLACED/CHANGED -> readMetaDataFromAppInfo -> service $13,package lifecycle event -> service Handler,target checked as system app; metadata provider authenticity incomplete; tx41 current-user gate,ordinary app metadata package/activity pair,mLaunchDataInfoMap and launch_info_map_key persistence,"profile metadata persistence; later explicit picker Activity, not PMS/HOME writer",metadata write confirmed; ordinary tx41 stopped before startActivityAsUser,PERSISTENT PROFILE METADATA / PARTIAL INTEGRITY ISSUE,"findings/phase-6er-amazon-profile-metadata-tx41-boundary.md:39-58,112-146; SERVICE_MAP.md:1356-1365",,Trace map consumers/source authentication only,No explicit Fire selector is inferred from registration alone
rootless-fallback,RU-001,Accessibility direct-start observer,AccessibilityService.onKeyEvent + startActivity,AccessibilityService.onKeyEvent + startActivity,User enables Accessibility; BIND_ACCESSIBILITY_SERVICE; no root,User enables Accessibility; BIND_ACCESSIBILITY_SERVICE; no root,No; Fire priority 50 remains,Only user-enabled service state; not HOME preference,Legacy direct-start measured 0/30; Fire remained resumed,No package/HOME write,Excluded as reliable fallback on this build,findings/phase-4b-existing-workaround-analysis.md; adb/phase4/PHASE4-ACCESSIBILITY-T03/; https://developer.android.com/reference/android/accessibilityservice/AccessibilityService.html,,No rerun; historical boundary only,rollback=Disable service; restore captured secure values; remove known self-built APK
rootless-fallback,RU-002,Accessibility resident retry,AccessibilityService window/key observation + Handler retries,AccessibilityService window/key observation + Handler retries,Explicit user consent; BIND_ACCESSIBILITY_SERVICE; normal app UID,Explicit user consent; BIND_ACCESSIBILITY_SERVICE; normal app UID,No; formal HOME remains Fire priority 50,Service rebound after reboot in saved run; not persistent HOME,350/1000/1800 ms retries; delayed handoff can show Fire first,No PMS/package mutation; enabled service is a secure-setting mutation only when authorized,Confirmed practical foreground fallback; not formal HOME,findings/phase-6hb-ms-accessibility-reboot-persistence.md; findings/phase-6cy-ms-targeted-accessibility-retry.md; tools/phase4-accessibility/src/org/fireosresearch/phase4/redirect/LauncherRedirectService.java,,Do not enable or device-test in Phase 6RU,rollback=Disable service; restore secure values; remove same known APK; resume Fire
rootless-fallback,RU-003,UsageStats observer,UsageStatsManager / UsageEvents polling then explicit launcher start,UsageStatsManager / UsageEvents polling then explicit launcher start,Usage Access via Settings; PACKAGE_USAGE_STATS/AppOps; background-start rules,Usage Access via Settings; PACKAGE_USAGE_STATS/AppOps; background-start rules,No; observation has no HOME sink,Access grant may persist; no HOME persistence,Unmeasured; polling and background-start limits imply delay or missed redirect,No if read-only; explicit launch only changes foreground,Unmeasured/deprioritized candidate,findings/phase-4b-existing-workaround-analysis.md; findings/phase-4b-final-workaround-verdict.md; findings/phase-6ax-activity-manager-home-surface.md,,Host-only source review; no new measurement,rollback=Revoke Usage Access; stop observer; remove only known self-built app
rootless-fallback,RU-004,Explicit PendingIntent foreground dispatch,PendingIntent.getActivity(...).send() to explicit launcher,PendingIntent.getActivity(...).send() to explicit launcher,Normal activity-start rules; self-created PendingIntent has no HOME writer authority,Normal activity-start rules; self-created PendingIntent has no HOME writer authority,No; starts selected Activity only,PendingIntent lifetime is not HOME persistence,Delayed handoff; target appears only after resolver selected Fire,No HOME/package write,Confirmed foreground redirect primitive; not HOME resolver,findings/phase-5ab-evidence-index.md; findings/phase-6cy-ms-targeted-accessibility-retry.md; https://developer.android.com/reference/android/app/PendingIntent.html,,Source-only; no Accessibility enablement or device test,rollback=Stop sender; return HOME; remove own APK only if installed
rootless-fallback,RU-005,ADB-connected foreground monitor,Host polls dumpsys activity then runs am start -n,Host polls dumpsys activity then runs am start -n,Live authorized ADB shell UID 2000 and host process; no root/private Binder,Live authorized ADB shell UID 2000 and host process; no root/private Binder,No; resolver remains Fire priority 50,Only while ADB and monitor run; lost on stop/disconnect/reboot,5/5 saved result; Settings -> Fire -> Microsoft; bounded wait and possible flicker,No settings/package/HOME mutation,Confirmed temporary host-only fallback; user-closed operational route,findings/phase-6iq-adb-foreground-fallback.md; findings/phase-6bw-adb-foreground-monitor-closure.md; tools/scripts/run_adb_home_monitor.py,,Do not rerun per Phase 6IQ closure,rollback=Stop monitor; press HOME for stock Fire; no package rollback
rootless-fallback,RU-006,Settings/Home picker,android.settings.HOME_SETTINGS and Fire Default apps UI,android.settings.HOME_SETTINGS and Fire Default apps UI,Ordinary Settings access; no special writer exposed,Ordinary Settings access; no special writer exposed,No; no Home selector and Fire remains resolver,None,No redirect latency; no selection occurred,No state mutation in read-only inspection,Excluded; unavailable GUI control surface,findings/phase-6fo-gui-default-apps-home-boundary.md; adb/phase6fo/PHASE6FO-GUI-DEFAULT-APPS-RO-20260807-01/,,No tapping disable/select,rollback=Return HOME; remove temporary UI dump only
rootless-fallback,RU-007,Ordinary preferred HOME,set-home-activity / preferred activity record,set-home-activity / preferred activity record,Shell can write record under tested conditions; no privileged priority,Shell can write record under tested conditions; no privileged priority,No effective replacement; Fire priority 50 wins,Record may survive reboot while ineffective,No redirect credited; Home key remains Fire,Preferred record write is state mutation but ineffective,Excluded; record did not change effective resolver,findings/phase-6k-launcher-fallback-assessment.md; findings/phase-6di-framework-reopen.md; findings/phase-3c-report.md,,No new write or persistence test,"rollback=If future authorized test writes it, restore Fire record and verify resolver"
rootless-fallback,RU-008,Fire Launcher package/component mutation,pm disable-user or disable Fire component,pm disable-user or disable Fire component,Protected-package gate rejects ordinary shell/app caller,Protected-package gate rejects ordinary shell/app caller,Not a clean replacement; request rejected,Not applicable; protected operation rejected,No redirect measured,No mutation observed; Fire stays enabled/default,Excluded safety boundary,README.md:179; findings/phase-6k-launcher-fallback-assessment.md; findings/phase-6eu-settings-fire-disable-gate.md,,Do not retry protected mutation,rollback=Verify unchanged package state; no mutation rollback needed
rootless-fallback,RU-009,LauncherHijack public historical method,Accessibility/event observer -> explicit Activity -> PendingIntent,Accessibility/event observer -> explicit Activity -> PendingIntent,User-enabled Accessibility; broader legacy manifest capabilities; no formal HOME permission,User-enabled Accessibility; broader legacy manifest capabilities; no formal HOME permission,No; source does not call HOME resolver or preferred writer,Not persistent HOME; corrupt-default option is state-affecting,Debounce/retry implementation-dependent; exact Fire latency unknown,No formal HOME write,Source-confirmed redirect prior art; formal HOME excluded,findings/phase-5ab-evidence-index.md; findings/phase-5ag-launcherhijack-and-mtk-bulletin-followup.md; https://github.com/BaronKiko/LauncherHijack/tree/f79aee3ddd10c053d6d7c55d6f2fc29436001537,,No APK download/install; source review only,rollback=Disable service and restore user/package state; corrupt-default route unsafe
rootless-fallback,RU-010,Fire Toolbox-era launcher workaround,Historical package-state/default-launcher procedures,Historical package-state/default-launcher procedures,Often ADB plus consent; variants may disable/corrupt default launcher,Often ADB plus consent; variants may disable/corrupt default launcher,No safe formal HOME conclusion on current build,Version-dependent; may require new user/recovery,Version-dependent; possible unusable launcher,Historically often mutates package/default state; not performed,Excluded for unsafe mutation and build mismatch,findings/phase-4b-existing-workaround-analysis.md; findings/phase-5ag-launcherhijack-and-mtk-bulletin-followup.md; https://github.com/BaronKiko/LauncherHijack/blob/f79aee3ddd10c053d6d7c55d6f2fc29436001537/HELP.md,,"Do not download, execute, or reproduce historical binaries",rollback=Rollback not reliably reversible for corrupt-default procedures
rootless-fallback,RU-011,Legacy tb_custom_launcher setting,Settings.Secure tb_custom_launcher read-only observation,Settings.Secure tb_custom_launcher read-only observation,None for read; write would require provider authority and confirmed consumer,None for read; write would require provider authority and confirmed consumer,No consumer found; Fire remains resolver,Original value preserved as evidence,No redirect measured,No write performed,Excluded orphan/unsupported control point,findings/phase-6gb-tb-custom-launcher-boundary.md; artifacts/phase6az/public-summary-20260805-02/settings-key-presence.txt,,Only repeat read-only consumer search if new trusted source appears,rollback=No rollback needed because read-only
