phase,record_id,surface,source_path,source_sha256,entry_or_node,caller_or_identity,gate_or_policy,sink_or_effect,low_privilege_reachability,classification,confidence,unknowns,safety_disposition
6SL,6SL-003,/proc/perfmgr/perf_ioctl,source+proc creation present,NOT_RECORDED_IN_CSV,/proc/perfmgr/perf_ioctl,no exact shipped native open+ioctl caller,SELinux policy present,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,native caller join missing; shipped_node=proc label metadata present,HOST_ONLY; no node open/ioctl/proc write/adb
6SL,6SL-004,/proc/m4u,source+config branch present,NOT_RECORDED_IN_CSV,/proc/m4u,no exact shipped native proc caller,complete file-context+caller join not established,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,node and caller joins missing; shipped_node=proc/node not established,HOST_ONLY; no node open/ioctl/proc write/adb
6SL,6SL-005,RPMB,source+config present,NOT_RECORDED_IN_CSV,RPMB,rpmb_svc operation not identified,init+SELinux policy present,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,exact open/ioctl caller missing; shipped_node=rpmb thread/service observed,HOST_ONLY; no node open/ioctl/proc write/adb
6SL,6SL-006,IDME,source+config present,NOT_RECORDED_IN_CSV,IDME,no exact shipped native proc caller,init+SELinux policy present,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,exact caller operation missing; shipped_node=proc/idme nodes observed,HOST_ONLY; no node open/ioctl/proc write/adb
6SL,6SL-007,Amazon diagnostics,source present but drv-test not enabled,NOT_RECORDED_IN_CSV,Amazon diagnostics,no exact shipped native driver caller,diagnostic HAL policy/init present,UNKNOWN,exact native caller not closed,UNKNOWN,UNKNOWN,shipped node and caller joins missing; shipped_node=proc/amzn_drvs absent; package present,HOST_ONLY; no node open/ioctl/proc write/adb
6SM,P5-BASELINE,Phase 5 low-level baseline,findings/phase-5-evidence-index.md,74417961d2352883022fd69306b131dfd374e650bfc14f5238055cbf817128b9,ADB read-only baseline,evidence sufficient,none,Exact device/build/security baseline preserved; no mutation in this baseline,catalog boundary; no new reachability claim,evidence sufficient,CATALOG_ONLY,A later build or security-state change would require a new baseline,HOST_ONLY catalog; no new device action
6SM,P5-PACKAGE-GATES,Phase 5 launcher/package state,findings/phase-5-evidence-index.md,74417961d2352883022fd69306b131dfd374e650bfc14f5238055cbf817128b9,ADB mutation with rollback,evidence sufficient for tested gates,rejected before Fire mutation,suspend/hide/uninstall and protected-package gates rejected; Fire HOME remained selected,catalog boundary; no new reachability claim,evidence sufficient for tested gates,CATALOG_ONLY,Exact package policy/image marker and user scope are required for any changed-premise review,HOST_ONLY catalog; no new device action
6SM,P5-ROOT-APK,Phase 5 root/loader boundary,findings/phase-5-evidence-index.md,74417961d2352883022fd69306b131dfd374e650bfc14f5238055cbf817128b9,ADB APK staging and rollback,evidence sufficient for non-root boundary,temporary ordinary-app install/uninstall; root step stopped,"APK install/launch/uninstall was rolled back; no root, exploit, bootloader write, or HOME replacement evidence",catalog boundary; no new reachability claim,evidence sufficient for non-root boundary,CATALOG_ONLY,New exact-build compatibility evidence would be needed; current patch/security state is a changed premise,HOST_ONLY catalog; no new device action
6SM,P5-KERNEL-CVE,Phase 5 futex/CMDQ/MTK CVE,findings/phase-5cq-evidence-index.md,e5205f7b419eb6fccefdfeb72dc3d6e0d9dfecadeaa7524a0c847e651d90f2de,static plus saved read-only runtime,evidence bounded; route unproven,none in safe catalog pass,source/config/layout and userspace surface were reviewed; no runtime trigger or exact exploit route established,catalog boundary; no new reachability claim,evidence bounded; route unproven,CATALOG_ONLY,Exact compiled PS7330 kernel/source and runtime caller provenance remain incomplete,HOST_ONLY catalog; no new device action
6SM,P5-OTA-BOOT,Phase 5 OTA/boot/recovery,findings/phase-5-evidence-index.md,74417961d2352883022fd69306b131dfd374e650bfc14f5238055cbf817128b9,artifact and read-only fastboot evidence,evidence sufficient for safety boundary,approved reboot/query only,adjacent PS7331 OTA contains critical partition writes; device remained locked/green; no write or recovery route proved,catalog boundary; no new reachability claim,evidence sufficient for safety boundary,CATALOG_ONLY,Exact PS7330 signed package and natural lifecycle post-state are absent,HOST_ONLY catalog; no new device action
6SM,P6-PI,Phase 6A untrusted PendingIntent,findings/phase-6a-untrusted-app-pi-smoke-evidence-index.md,4c3f35d7147e3785e82621c86fbd39463d7a39140704cfc9cad80cd2c8d471e2,ADB bounded app smoke plus observation,negative but scope-limited,no durable mutation shown,untrusted PendingIntent smoke did not establish protected cross-user/lock or launcher-state route,catalog boundary; no new reachability claim,negative but scope-limited,CATALOG_ONLY,Caller/permission mapping is incomplete outside tested smoke corpus,HOST_ONLY catalog; no new device action
6SM,P6-KFT-CHILD,Phase 6AY/6BK child KFT lifecycle,findings/phase-6ay-kft-child-user-evidence-index.md,fb98b6a05b2966258454aa3ea58aaadefb9c4f04e14ecbf0592e61858611a2ad,GUI/ADB lifecycle with rollback,confirmed child-scoped; broad HOME claim disproved,historical child/profile lifecycle mutation; rolled back,"Tahoe child HOME and Fire restoration on User 0 are preserved; KFT writer is UserInfo.id-scoped, not a User-0 writer",catalog boundary; no new reachability claim,confirmed child-scoped; broad HOME claim disproved,CATALOG_ONLY,Production caller/holder provenance for tx3 and a User-0 restoration writer are missing,HOST_ONLY catalog; no new device action
6SM,P6-KFT-SERVICE,Phase 6AY KFT service reachability,findings/phase-6ay-kft-device-verification-evidence-index.md,8b1431255dfeec7a3ef61c211dc56bf5bf9914539febadc176219762e58cd4cb,service-manager read-only check,rejected/negative boundary,none,shell/private service lookup was not callable; no private Binder transaction was issued,catalog boundary; no new reachability claim,rejected/negative boundary,CATALOG_ONLY,Method-level handle/transaction behavior remains unknown,HOST_ONLY catalog; no new device action
6SM,P6-PREWARM,Phase 6BB prewarm,findings/phase-6bb-evidence-index.md,42c59265cdd0daa4275a030d8adf1c221ddc111320f72abb7611b7ba67e29bd0,static caller/permission/data-flow,strong static evidence; route unproven,none,APP_PREWARM gate and privileged caller are present; ordinary-app route is not closed,catalog boundary; no new reachability claim,strong static evidence; route unproven,CATALOG_ONLY,Complete caller universe and sink/user propagation are missing,HOST_ONLY catalog; no new device action
6SM,P6-PMS-HOME,Phase 6K/6KV/6MW PMS/HOME sinks,findings/phase-6kv-evidence-index.md,0feb756d0b18480ecc49d84dbc38f9c4446baeb4aed36f1acef3401fdc886bf4,static call graph plus runtime observation,strong evidence; broad claim disproved,prior bounded transitions only,KFT is the only closed launcher-specific Amazon writer found and is child-scoped; no low-privilege User-0 Fire HOME writer,catalog boundary; no new reachability claim,strong evidence; broad claim disproved,CATALOG_ONLY,Complete Amazon caller/holder/user mapping and Fire restoration writer provenance are missing,HOST_ONLY catalog; no new device action
6SM,P6-HOME-REGRESSION,Phase 6AL/AJ/AZ and HOME-T01..T24,findings/phase-6mw-evidence-index.md,d4f2874dade7941b92481099e43725a6fed696c15ae5bb11bde3e2731fde4a2e,runtime resolver/foreground observations,duplicate; sufficient for current snapshot,limited foreground/settings changes with rollback,Fire repeatedly resolves at priority 50; preferred Microsoft record did not produce effective HOME replacement,catalog boundary; no new reachability claim,duplicate; sufficient for current snapshot,CATALOG_ONLY,Persistence across an unobserved changed image/candidate set is not established,HOST_ONLY catalog; no new device action
6SM,P6-ACCESS-REDIRECT,Phase 6CV/CX/CY/IQ accessibility and monitor,findings/phase-6cy-accessibility-reboot-persistence.md,feb45ed9d68314ad938b2a9f32a241fb3d79b6a26ab334ab92c4db8dcdea62e4,runtime redirect with rollback,duplicate; bounded evidence,temporary accessibility/foreground state changes rolled back,bounded redirect/monitor behavior exists; no durable unrestricted redirect and no formal HOME replacement,catalog boundary; no new reachability claim,duplicate; bounded evidence,CATALOG_ONLY,Exact-build GUI/lock state could alter fallback behavior; no formal HOME writer evidence,HOST_ONLY catalog; no new device action
6SM,P6-UI-CHILD,Phase 6BG child-profile UI,findings/phase-6bg-child-profile-ui-evidence-index.md,106bf8a3d859434240b9533abd2646b3068a0e6b16508bae9a6932ecb4154fd2,UI/foreground probes with rollback,rejected/negative; duplicate,temporary UI/lock/PIN state changes reverted,H2/settings gate rejected; no launcher selection; final user/HOME/lock guards clean,catalog boundary; no new reachability claim,rejected/negative; duplicate,CATALOG_ONLY,Natural profile lifecycle evidence is not equivalent to an ordinary User-0 route,HOST_ONLY catalog; no new device action
6SM,P6-DRIVER,Phase 6QE/6RY/6RZ driver policy/source,findings/phase-6qe-evidence-index.md,9d7422fc5299f5b73eb25fee43f3e95cddd7869b25f270181ccf06f144ad0ed5,static source-policy-image join,evidence insufficient; conditional,none,"ioctl/source/factory-node/policy capability is documented; retail client, node access, active branch, and sensitive effect are not joined",catalog boundary; no new reachability claim,evidence insufficient; conditional,CATALOG_ONLY,"Retail image marker, native client provenance, and end-to-end sink effect are missing",HOST_ONLY catalog; no new device action
6SM,P6-OTA-OOBE,Phase 6R/6N/6U OTA/OOBE,findings/phase-6r-evidence-index.md,fc51d7b8fe40f7c5eb8f89f40ef0bfe187f02b64637fdcc07168f7443e295b6c,static authorization plus saved read-only capture,strong sink evidence; reachability unknown,none; delivery explicitly not performed,"receivers/settings/updater sinks exist, but protected/signature/CONTROLLER gates and exact caller/user reachability prevent ordinary-route closure",catalog boundary; no new reachability claim,strong sink evidence; reachability unknown,CATALOG_ONLY,"Exact numeric post-OTA user, natural lifecycle result, and ordinary sender acceptance are missing",HOST_ONLY catalog; no new device action
6SM,P6-OOBE-USER,Phase 6MN/6MO OOBE user scope,findings/phase-6mn-evidence-index.md,8942a6517043b3b9180b6ceecc394c26b1684130ce6b940219fee23b6667b9ee,static context/user analysis,evidence insufficient,none,OOBE context-derived user sinks identified; exact numeric user and ordinary caller acceptance are not closed,catalog boundary; no new reachability claim,evidence insufficient,CATALOG_ONLY,Context-to-final PackageManager/ContentResolver user handle is not directly observed,HOST_ONLY catalog; no new device action
6SM,P6-UPDATER,Phase 6AE/AF/MD/MK/NE updater,findings/phase-6ne-evidence-index.md,67797e0eab6bb5d3fcf3dd991318a62f76c2ae5a4dd807bed38c89405c73e293,static artifact/source audit,evidence sufficient for static boundary; route unproven,none,updater contracts/cache/dispatch/block-image paths are documented; no ordinary caller or authorization bypass established,catalog boundary; no new reachability claim,evidence sufficient for static boundary; route unproven,CATALOG_ONLY,Outer archive EOF/completeness and native caller/return closure remain incomplete,HOST_ONLY catalog; no new device action
6SM,P6-RUNTIME-BASELINE,Phase 6MV current runtime,findings/phase-6mv-runtime-readonly-report.md,3ea8ff33c75fde654a3208a4c20015a44efe73309720759d259b52b0021eafc8,ADB read-only baseline,canonical current snapshot,none,current saved state is User 0 with Fire HOME priority 50 and protected service/package boundaries,catalog boundary; no new reachability claim,canonical current snapshot,CATALOG_ONLY,No evidence of a User-0 third-party HOME writer or private-service handle,HOST_ONLY catalog; no new device action
6SM,P6-REFUSED,All Phase 5/6 unsafe routes,findings/phase-6r-evidence-index.md,fc51d7b8fe40f7c5eb8f89f40ef0bfe187f02b64637fdcc07168f7443e295b6c,safety/non-execution ledger,rejected by safety boundary,not performed,"private Binder, driver ioctl/node write, OTA/recovery/updater payload, child creation/switch/unlock, root/exploit, and Fire state changes outside bounded historical tests remain prohibited",catalog boundary; no new reachability claim,rejected by safety boundary,CATALOG_ONLY,No missing evidence may be filled by executing a prohibited route,HOST_ONLY catalog; no new device action
