id,surface,entrypoint_or_source,caller_or_input,gate_or_policy,binder_identity,user_scope_or_target,sink_or_effect,evidence,confidence,missing_edge
P13-KFT-011,KFT/IAmazonUserManager,service-manager SELinux find,shell UID 2000 saved route,enforcing SELinux denied find for amazonusermanagerservice,shell UID 2000; no Binder transaction sent,no user scope established,none,findings/phase-6t-ipc-live-evidence-index.md; findings/phase-6av-ipc-method-closure.md,Unknown,candidate package/domain allow tuple; ordinary-app reachability
P13-KFT-012,KFT/IAmazonUserManager,external package candidate,com.amazon.frameworksettings,manifest/privapp grants MANAGE_USERS and INTERACT_ACROSS_USERS; exact tx3 callsite absent,UID 10112; privileged /system/priv-app; saved signature digest e627f73a,would supply UserInfo.id if unobserved callsite existed,same tx3 writer only if callsite is found,work/luna_worker_phase9b_kft_client_identity_20260810.md; cited manifest/package artifacts,Unknown,exact createChildUser/tx3 callsite; service-manager SELinux tuple; exact build signature join
P13-KFT-013,KFT/IAmazonUserManager,external package candidate,com.amazon.h2settingsfortablet,manifest/privapp grants MANAGE_USERS and INTERACT_ACROSS_USERS; exact tx3 callsite absent,UID 10130; privileged /system/priv-app; exact signature-to-tx3 join UNKNOWN,would supply UserInfo.id if unobserved callsite existed,same tx3 writer only if callsite is found,work/luna_worker_phase9b_kft_client_identity_20260810.md; cited manifest/privapp artifacts,Unknown,exact createChildUser/tx3 callsite; service-manager SELinux tuple; exact signature join
P13-KFT-014,KFT/IAmazonUserManager,UserInfo.id to User 0,any caller supplying UserInfo.id=0,no static id!=0 gate in writer; actual caller authorization and downstream PMS acceptance unresolved,identity substitution not proven; pre-setter clear absent,static data-flow permits 0; genuine child lifecycle is child-scoped,three package/component setters accept userId argument,fosservices/disassembly.log:54297-54325; work/luna_worker_phase9b_kft_client_identity_20260810.md,Unknown,caller supplying id 0; PMS cross-user/admin/protected-component result; User-0 attribution
P13-EXP-001,exported component inventory,com.amazon.firelauncher/com.amazon.firelauncher.Launcher (activity),onCreate/intent MAIN+VIEW,Caller UNKNOWN; manifest exported=True; permission UNKNOWN,UNKNOWN,current launcher user UNKNOWN,HOME/launcher activity,manifest-components.csv:3; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/Launcher.java,Probable,caller identity and runtime HOME/default-role gate
P13-EXP-002,exported component inventory,com.amazon.firelauncher/com.amazon.firelauncher.LauncherUserSettings (activity),onCreate/PrefsFragment,Caller UNKNOWN; manifest exported=True; permission UNKNOWN,UNKNOWN,current launcher user UNKNOWN,launcher settings/preferences,manifest-components.csv:4; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/LauncherUserSettings.java:30-86,Probable,write callbacks and caller identity
P13-EXP-003,exported component inventory,com.amazon.firelauncher/com.amazon.firelauncher.appsgrid.StartEditModeReceiver (receiver),onReceive,Caller requires START_EDIT_MODE_EXTERNAL; identity UNKNOWN,UNKNOWN,current launcher user UNKNOWN,HOME/edit-mode state,manifest-components.csv:31; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/appsgrid/StartEditModeReceiver.java:10-19,Strong evidence,permission protection/signature level and caller UID
P13-EXP-004,exported component inventory,com.amazon.firelauncher/com.amazon.fireappscardproducer.service.CardActionService.RemoveFromHomeReceiver (receiver),onReceive -> CardActionService,Caller requires CARD_PRODUCER; identity UNKNOWN,UNKNOWN,current launcher user UNKNOWN,HOME app/card state,manifest-components.csv:69; decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/service/CardActionService.java:48-72;95-108,Strong evidence,permission definition and validation of item/app identifiers
P13-EXP-005,exported component inventory,com.amazon.firelauncher/com.amazon.fireappscardproducer.service.LauncherNotificationProducerService.PackageChangeReceiver (receiver),onReceive -> enqueueWork,Caller UNKNOWN; exported=False; permission present,UNKNOWN,current launcher user UNKNOWN,package/app-grid state,manifest-components.csv:61; decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/service/LauncherNotificationProducerService.java:45-84;149-175,Strong evidence,non-exported delivery path and upstream broadcaster
P13-EXP-006,exported component inventory,com.amazon.firelauncher/com.amazon.firecard.deviceagent.provider.CardProvider (provider),query/insert/update/delete/bulkInsert,Caller requires read/write provider permission; identity UNKNOWN,UNKNOWN,provider's current user UNKNOWN,card database/remote-config state,manifest-components.csv:75; decompiled/jadx/firelauncher/sources/com/amazon/firecard/deviceagent/provider/CardProvider.java:254-372,Strong evidence,URI/path grants and per-method authorization
P13-EXP-007,exported component inventory,com.amazon.firelauncher/com.amazon.firecard.deviceagent.CardDeviceAgent (service),onBind ACTION_CONSUMER_BIND,Caller requires CARD_CONSUMER; identity UNKNOWN,UNKNOWN,current user UNKNOWN,card/device-agent IPC,manifest-components.csv:76; decompiled/jadx/firelauncher/sources/com/amazon/firecard/deviceagent/CardDeviceAgent.java:11-38,Probable,binder transaction methods and caller UID checks
P13-EXP-008,exported component inventory,com.amazon.parentalcontrols/com.amazon.parentalcontrols.receivers.ParentalAdminReceiver (receiver),DeviceAdminReceiver callbacks; silentlyActivateAdmin,Caller is DeviceAdmin framework path UNKNOWN; gate BIND_DEVICE_ADMIN; identity UNKNOWN,UNKNOWN,profile returned by MultipleProfileHelper.myProfileId(),DPM/device-admin state,manifest-components.csv:511; decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/receivers/ParentalAdminReceiver.java:12-29,Strong evidence,manifest exported default and callback names/runtime authorization
P13-EXP-009,exported component inventory,com.amazon.parentalcontrols/com.amazon.parentalcontrols.receivers.ParentalControlsRestrictionProvider (receiver),onRequestPermission,Caller/packageName supplied by restrictions framework; permission gate; identity UNKNOWN,UNKNOWN,package/user scope supplied in request UNKNOWN,restriction/policy state,manifest-components.csv:523; decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/receivers/ParentalControlsRestrictionProvider.java:13-27,Strong evidence,framework caller validation and service-side policy decision
P13-EXP-010,exported component inventory,com.amazon.parentalcontrols/com.amazon.parentalcontrols.map.ParentalControlsMapProvider (provider),ContentProvider methods UNKNOWN,Caller requires CAN_CALL_MAP_INFORMATION_PROVIDER; identity UNKNOWN,UNKNOWN,user/profile scope UNKNOWN,map information provider,manifest-components.csv:527,Hypothesis,provider method implementation and URI permissions
P13-EXP-011,exported component inventory,com.amazon.parentalcontrols/com.amazon.parentalcontrols.receivers.PackageChangesReceiver (receiver),onReceive,Caller UNKNOWN; permission UNKNOWN,UNKNOWN,current user/profile UNKNOWN,package/component state,manifest-components.csv:513,Hypothesis,action list and receiver implementation not observed
P13-EXP-012,exported component inventory,com.android.settings/com.android.settings.applications.InstalledAppDetailsTop (activity),getIntent -> AppInfoDashboardFragment,Caller UNKNOWN; manifest exported=True; permission UNKNOWN,UNKNOWN,target user/package from intent UNKNOWN,package/component state,manifest-components.csv:275; decompiled/jadx/settings/sources/com/android/settings/applications/InstalledAppDetailsTop.java:8-18,Probable,intent validation and fragment action gates
P13-EXP-013,exported component inventory,com.android.settings/com.android.settings.applications.InstalledAppOpenByDefaultPage (activity),activity entrypoint,Caller requires OPEN_APPLICATION_DETAILS_OPEN_BY_DEFAULT_PAGE; identity UNKNOWN,UNKNOWN,target package/user from intent UNKNOWN,package default-handler/component state,manifest-components.csv:277,Probable,activity implementation and caller identity
P13-EXP-014,exported component inventory,com.android.settings/SetProfileOwner (activity-alias),android.app.action.SET_PROFILE_OWNER,Caller UNKNOWN; manifest permission UNKNOWN,UNKNOWN,profile owner target UNKNOWN,DPM/profile-owner state,manifest-components.csv:293,Hypothesis,alias target and runtime DPM authorization
P13-EXP-015,exported component inventory,com.android.settings/Settings$ManagedProfileSettingsActivity (activity),activity entrypoint,Caller requires MANAGE_USERS; identity UNKNOWN,UNKNOWN,managed profile/user scope UNKNOWN,user/profile settings,manifest-components.csv:373,Probable,exported default and fragment/runtime checks
P13-EXP-016,exported component inventory,com.android.settings/com.android.settings.password.ConfirmDeviceCredentialActivity (activity),credential-confirmation activity,Caller UNKNOWN; manifest exported=True; permission UNKNOWN,UNKNOWN,user selected by credential intent UNKNOWN,user credential/profile state,manifest-components.csv:298; decompiled/jadx/settings/sources/com/android/settings/password/ConfirmDeviceCredentialActivity.java,Probable,intent/user validation and auth result handling
P13-EXP-017,exported component inventory,com.android.settings/com.android.settings.password.ConfirmDeviceCredentialActivity.InternalActivity (activity),internal credential activity,Caller requires MANAGE_USERS; exported=False; identity UNKNOWN,UNKNOWN,explicit user from intent UNKNOWN,user credential state,manifest-components.csv:300,Probable,implementation details and caller identity
P13-EXP-018,exported component inventory,com.android.settings/com.android.settings.deviceinfo.StorageWizardInit (activity),storage wizard entrypoint,Caller requires MOUNT_UNMOUNT_FILESYSTEMS; identity UNKNOWN,UNKNOWN,storage volume/user scope UNKNOWN,filesystem/volume state,manifest-components.csv:332,Probable,activity validation and exact mount operation
P13-EXP-019,exported component inventory,com.android.settings/com.android.settings.deviceinfo.StorageUnmountReceiver (receiver),onReceive,Caller requires MOUNT_UNMOUNT_FILESYSTEMS; identity UNKNOWN,UNKNOWN,volume ID from intent; user scope UNKNOWN,filesystem/volume state,manifest-components.csv:340; decompiled/jadx/settings/sources/com/android/settings/deviceinfo/StorageUnmountReceiver.java:11-21,Strong evidence,exported default and volume/caller validation
P13-EXP-020,exported component inventory,com.android.settings/com.android.settings.users.ProfileUpdateReceiver (receiver),onReceive -> copyProfileName,Caller UNKNOWN; permission UNKNOWN,UNKNOWN,current user via UserHandle.myUserId(),user/profile state,manifest-components.csv:407; decompiled/jadx/settings/sources/com/android/settings/users/ProfileUpdateReceiver.java:12-35,Strong evidence,manifest exported default and broadcast action
P13-EXP-021,exported component inventory,com.android.systemui/SystemUISecondaryUserService (service),onCreate/startSecondaryUserServicesIfNeeded,Caller/service manager gate UNKNOWN; permission SELF; identity UNKNOWN,UNKNOWN,secondary-user scope,secondary-user SystemUI service state,manifest-components.csv:151; decompiled/jadx/systemui/sources/com/android/systemui/SystemUISecondaryUserService.java:10-43,Strong evidence,bind behavior and caller gate
P13-EXP-022,exported component inventory,com.android.systemui/com.amazon.systemui.keyguard.AmazonKeyguardService (service),onBind -> IAmazonKeyguardServiceSystemUI.Stub,Caller requires AMAZON_CONTROL_KEYGUARD; identity UNKNOWN,UNKNOWN,explicit userId in binder methods,keyguard/foreground/accessibility state,manifest-components.csv:189; decompiled/jadx/systemui/sources/com/amazon/systemui/keyguard/AmazonKeyguardService.java:20-86;110,Strong evidence,actual Stub onTransact caller enforcement not observed
P13-EXP-023,exported component inventory,com.android.systemui/android.support.v4.content.FileProvider (provider),ContentProvider methods UNKNOWN,Caller UNKNOWN; exported=False,UNKNOWN,provider URI/user scope UNKNOWN,filesystem/content URI sharing,manifest-components.csv:186,Probable,path strategy and URI grant evidence missing
P13-PC-001,policy/card data-flow,com.amazon.parentalcontrols/ParentalControlsRestrictionProvider.onRequestPermission,Restrictions framework caller; UID/identity not recovered,com.amazon.permission.ParentalControl; raw protectionLevel=0x80000002 (base signature bit; OEM/high-bit meaning unresolved),Restrictions framework caller; UID/identity not recovered,packageName supplied by framework; target user not carried in provider code,parental-control restriction/auth workflow,decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/receivers/ParentalControlsRestrictionProvider.java:13-24; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/001_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt:453-455,Probable,framework caller validation; actual permission protection semantics; user routing; service-side policy decision
P13-PC-002,policy/card data-flow,com.amazon.parentalcontrols/ParentalControlRestrictionsService.onHandleWork,same app service context after enqueue,in-process JobIntentService dispatch; component manifest permission/caller gate not proven,same app service context after enqueue,current app/user context; no explicit userId in recovered code,UI/auth dialog sink,decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/services/ParentalControlRestrictionsService.java:19-49; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/001_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt:469-471,Strong evidence,enqueue caller identity propagation; explicit target-user validation; downstream authentication result callback
P13-PC-003,policy/card data-flow,com.amazon.parentalcontrols/PolicyAppHidden.enforcePolicy,ParentalAdminReceiver admin identity; active-owner/runtime gate not proven here,not an exported provider/service entry; DPM API authorization applies,ParentalAdminReceiver admin identity; active-owner/runtime gate not proven here,MultipleProfileHelper user scope not present in PolicyAppHidden; DPM resolves admin/user,DPM application-hidden state,decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/constant/PolicyPrefMap.java:55-61; decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/policy/policyImpl/PolicyAppHidden.java:15-33,Strong evidence,policy invocation caller; active profile-owner gate; exact DPM user; complete provider-to-policy call graph
P13-PC-004,policy/card data-flow,com.amazon.parentalcontrols/PolicyAppRestriction.enforcePolicy,ParentalAdminReceiver admin identity; active-owner/runtime gate not proven here,not an exported provider/service entry; DPM API authorization applies,ParentalAdminReceiver admin identity; active-owner/runtime gate not proven here,DPM admin/user scope; no explicit userId in PolicyAppRestriction,DPM application-restrictions state for fixed package names,decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/constant/PolicyPrefMap.java:23-61; decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/policy/policyImpl/PolicyAppRestriction.java:18-48,Strong evidence,active-owner proof; userId propagation; whether any caller can select policy map/package
P13-PC-005,policy/card data-flow,com.amazon.firelauncher/CardProvider.query/insert/update/delete/bulkInsert,ContentProvider framework caller; getCallingPackage/nameForUid used for attribution; no method-local UID allowlist recovered,read=com.amazon.firecard.permission.CARD_CONSUMER; write=com.amazon.firecard.permission.CARD_PRODUCER; both raw protectionLevel=0x2 (signature),ContentProvider framework caller; getCallingPackage/nameForUid used for attribution; no method-local UID allowlist recovered,provider current user; cross-user/URI grant behavior UNKNOWN,card database plus remote blacklist/override state,"decompiled/jadx/firelauncher/sources/com/amazon/firecard/deviceagent/provider/CardProvider.java:253-272,367-451,468-552,727-733,678-689; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/034_com.amazon.firelauncher.xmltree.txt:261-265,839-842",Strong evidence,URI grants/path-specific authorization; exact caller-to-permission grant; cross-user routing; content-values validation
P13-PC-006,policy/card data-flow,com.amazon.firelauncher/CardDeviceAgent.onBind -> CardDeviceAgentBinder.getCards,Service framework bind gate; Binder caller UID check not present in recovered Stub,com.amazon.firecard.permission.CARD_CONSUMER; raw protectionLevel=0x2 (signature),Service framework bind gate; Binder caller UID check not present in recovered Stub,"current service user; targetId is caller argument, user scope UNKNOWN",card query/read content,decompiled/jadx/firelauncher/sources/com/amazon/firecard/deviceagent/CardDeviceAgent.java:11-40; decompiled/jadx/firelauncher/sources/com/amazon/firecard/deviceagent/CardDeviceAgentBinder.java:22-50; decompiled/jadx/firelauncher/sources/com/amazon/firecard/consumer/contract/CardAgentService.java:15-49; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/034_com.amazon.firelauncher.xmltree.txt:846-848,Strong evidence,actual bind caller identity and grant; transaction caller UID enforcement; targetId validation beyond non-empty
P13-PC-007,policy/card data-flow,com.amazon.firelauncher/CardActionService.RemoveFromHomeReceiver.onReceive,broadcast receiver permission gate; no method-local caller identity check recovered,com.amazon.firecard.permission.CARD_PRODUCER; raw protectionLevel=0x2 (signature),broadcast receiver permission gate; no method-local caller identity check recovered,launcher/card producer current user; explicit cross-user behavior UNKNOWN,launcher recency/card content state,"decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/service/CardActionService.java:38-79,101-145; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/034_com.amazon.firelauncher.xmltree.txt:806-813",Strong evidence,item/app identifier validation; receiver caller UID; URI grants not applicable; exact launcher persistence effect
P13-PC-008,policy/card data-flow,com.amazon.firelauncher/LauncherUserSettings.onCreate/PrefsFragment; StartEditModeReceiver.onReceive,receiver caller must hold signature permission; activity caller/identity UNKNOWN,START_EDIT_MODE_EXTERNAL raw protectionLevel=0x2 (signature) for receiver; LauncherUserSettings permission UNKNOWN,receiver caller must hold signature permission; activity caller/identity UNKNOWN,current launcher user; no explicit userId in recovered code,launcher UI/edit-mode and launcher preference state,"decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/appsgrid/StartEditModeReceiver.java:10-20; decompiled/jadx/firelauncher/sources/com/amazon/firelauncher/LauncherUserSettings.java:14-38,63-88; artifacts/phase6bk/protected-broadcast-expanded-20260810-01/manifests/034_com.amazon.firelauncher.xmltree.txt:92-96,713-720",Strong evidence,LauncherUserSettings preference write callbacks; activity caller gate; whether edit-mode controller persists HOME layout elsewhere
P13-DRV-001,CMDQ/MDP,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:660-743;848-865;894-898; drivers/misc/mediatek/mdp/mdp_ioctl_ex.c:332-405;602-729,No exact shipped ELF open()+CMDQ ioctl callsite; graphics/media/surfaceflinger/mediaserver names are policy candidates only,source OF/platform match and config are capability gates only; compiled object/DT registration missing,"UNKNOWN; init node owner is system:system, but caller domain/UID is not established",/dev/mtk_cmdq; /proc/mtk_cmdq_debug/*,MDP/register/DMA/display-engine state; no package/PMS/AMS/HOME sink,phase12d 12D-001; phase6g cmdq-static; phase6me driver-control-markers; init.mt8183.rc; vendor_file_contexts; vendor_sepolicy.cil,Unknown,exact built object/module and DT/DTB delivery; merged file_contexts+TE allow; native ELF caller and UID/domain; caller input-to-node edge
P13-DRV-002,ION generic/custom,drivers/staging/android/ion/ion.c:1478-1617;1906-1924; drivers/staging/android/ion/mtk/ion_drv.c:319-435,libion.so/libion_mtk.so symbols/strings identify library capability only; no exact top-level shipped opener/callsite,"config/source heap registration only; final object, heap enablement and DT instance unknown",UNKNOWN; saved metadata suggests system:graphics ownership but exact process/domain is unresolved,/dev/ion; ION alloc/free/map/share/import/sync/custom,DMA buffer/heap/secure/physical-address state; no package/PMS/AMS/HOME sink,phase12d 12D-002; phase6tn ion loader graph; phase8d 8D-002/003; native-inventory.csv; plat/vendor file_contexts and CIL,Unknown,exact shipped heap/object and DT/init registration; merged node policy+allow; top-level native caller UID/domain; Binder/loader-to-open edge
P13-DRV-003,M4U,drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809;2220-2270; m4u_debug.c debugfs registrations,No exact shipped native proc opener or M4U ioctl caller,source proc registration mode 0 and disabled misc branch; config does not prove delivered instance,"UNKNOWN; init gives system:media node metadata only, not actual caller domain/UID",/proc/m4u; source controls for power/MVA/port/monitor/TF; /dev/M4U_device branch disabled,"DMA/IOMMU mapping, port configuration, power/monitor/TF state; no framework sink",phase12d 12D-003; phase8d 8D-004; phase6sg/6wi joins; init.mt8183.rc; vendor_file_contexts; vendor_sepolicy.cil,Unknown,compiled object/DTB delivery; exact /proc/m4u genfscon+TE allow; native caller UID/domain; input-to-operation edge
P13-DRV-004,uinput,drivers/input/misc/uinput.c:909-933; evdev.c:840-892,Native inventory found no exact shipped ELF open/write/ioctl caller,source fops/config only; no delivered object or ueventd proof,UNKNOWN; init.mt8183.rc:474-475 sets chown system:net_bt_admin but caller identity/domain is not established,/dev/uinput; UI_DEV_CREATE/UI_DEV_DESTROY; event write; ioctl/compat_ioctl,Synthetic input device and kernel input graph; no package/PMS/AMS/HOME sink,phase12d 12D-004; phase6xg 6XG-001/005; phase8d 8D-005; init.mt8183.rc; plat/vendor file_contexts,Unknown,final ueventd/node mode and merged label; TE allow; shipped object; native caller UID/domain; downstream input consumer
P13-DRV-005,performance/perfmgr,drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,"init.mt8183.rc writes boot/restore perf paths at lines 20,112-116,887-892; other native caller not identified",config/source proc registration plus init writes; no proof all handler instances are shipped,"UNKNOWN; init writer context is shown, but UID/domain and trigger sequencing are not closed","/proc/perfmgr/{legacy,eas,smart,boost,boost_ctrl,fbc} and perf ioctl/proc handlers",scheduler/governor/touch-boost/resource state; no package/PMS/AMS/HOME sink,phase12d 12D-006; phase6sg perfmgr row; init.mt8183.rc; vendor.mediatek.hardware.power@2.0-init.rc; vendor_sepolicy.cil,Unknown,compiled object/DT/proc instance; exact init trigger/domain; complete merged proc policy; native callers and effect provenance
P13-DRV-006,Amazon driver-test,device/amazon/kernel/driver/amzn_drv_test.c:747-812; Kconfig source,No production caller; diagnostic domain name is not a proc opener,"negative config is a build gate, not proof of runtime absence without final object/module manifest",UNKNOWN,"/proc/amzn_drvs/{sign_of_life,idme,logger} only if test driver is built",Conditional factory/engineering state; no low-privilege or package/HOME sink proven,phase12d 12D-008; phase6wi WI-05; source amzn_drv_test.c; trona_defconfig; kernel.config; vendor_sepolicy.cil,Unknown,final product object/module manifest; proc node policy; production caller UID/domain; input-to-dispatch and sink edge
P13-DRV-007,RPMB char/service,drivers/char/rpmb/rpmb-mtk.c:2377-2401;2560-2582;2736-2776,rpmb_svc is an init service but no exact ELF open()+ioctl callsite or API caller was recovered,RPMB registration and TEE/authentication are source/config gates; service mediation and final node delivery unknown,"UNKNOWN; rpmb_svc group system drmrpc from rpmb_svc.rc, but service domain/UID and node access are unresolved",/dev/rpmb0; /dev/emmcrpmb0; /dev/block/mmcblk[0-1]rpmb; unlocked_ioctl; direct .read/.write are NULL,authenticated persistent storage read/write/counter state; no package/PMS/AMS/HOME sink,phase12d 12D-011; phase6xg 6XG-003; phase6sg/6wi RPMB rows; rpmb_svc.rc; vendor_file_contexts; vendor_sepolicy.cil,Unknown,final object/node ownership and DT/ueventd delivery; service ELF callsite; UID/domain and capability gate; API validation and sink provenance
P13-ID-001,AmazonPackageManager identity handoff,"AmazonPackageManagerImpl.<init>(PackageManager, Context)",AmazonUserManagerService obtains Context.getPackageManager() and casts to AmazonPackageManager,constructor obtains amazonpackagemanager then standard package Binder,system_server process for the KFT service implementation; runtime transaction not traced,not selected by this constructor,mPM is an IPackageManager proxy to the standard package service,boot-fosframework/disassembly.log:366047-366081; fosservices/disassembly.log:55072-55076,Strong evidence,runtime attribution and exact process/SELinux domain capture
P13-ID-002,AmazonPackageManager identity handoff,"AmazonPackageManagerImpl.setApplicationEnabledSetting(String, int, int, int)",KFT BinderService.enableKftLauncher(UserInfo),"delegates to IPackageManager.setApplicationEnabledSetting(..., opPackageName)",outgoing Binder caller is the process executing the facade; no clearCallingIdentity before this call,UserInfo.id supplied by KFT method,standard PMS application enabled-state setter; Fire Launcher target is passed by caller,boot-fosframework/disassembly.log:368214-368229; fosservices/disassembly.log:54310-54324,Strong evidence,"PMS runtime trace, inherited tx3 authorization and actual User-0 invocation"
P13-ID-003,AmazonPackageManager identity handoff,"AmazonPackageManagerImpl.setComponentEnabledSetting(ComponentName, int, int, int)",KFT BinderService.enableKftLauncher(UserInfo),delegates to IPackageManager.setComponentEnabledSetting(...),outgoing Binder caller is the process executing the facade; no clearCallingIdentity before this call,UserInfo.id supplied by KFT method,standard PMS component enabled-state setter for Tahoe FreeTimeLauncherActivity,boot-fosframework/disassembly.log:368254-368263; fosservices/disassembly.log:54300-54309,Strong evidence,"PMS runtime trace, inherited tx3 authorization and actual User-0 invocation"
P13-ID-004,KFT writer scope,AmazonUserManagerService.BinderService.enableKftLauncher(UserInfo),tx3 dispatch or local child-user lifecycle,method-local slice has no visible UID/permission/cross-user check before tryEnableKftLauncherComponent; helper applicability unresolved,"incoming identity is preserved until later DPM clearCallingIdentity, which is after package writers",all three package/component writes receive UserInfo.id; child lifecycle is the only closed semantic caller,"enables Tahoe launcher, disables Fire Launcher and Launcher3 for supplied user; no formal HOME setter","fosservices/disassembly.log:54297-54325,54415-54478,54847-54875",Strong evidence,"superclass/inherited authorization, service declaration permission, SELinux client allow and PMS downstream gate"
