route_id,surface,caller_or_entry,registration_or_interface,permission_or_gate,identity_handling,sink,user_scope,home_or_package_relevance,service_manager_or_runtime_boundary,low_privilege_caller_found,dynamic_test_allowed,classification,confidence,evidence
PMS-004,PMS/HOME caller inventory,AmazonUserManagerService.BinderService.enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setApplicationEnabledSetting,Supplied UserInfo.id; child lifecycle scope,Fire/Launcher3/Tahoe state writer; not a formal User-0 HOME selector,AmazonUserManagerService internal/system-server path,false,false,CHILD_SCOPED_PACKAGE_STATE_NO_USER0_HOME,Strong evidence,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54318 (offset 0x043228)
PMS-005,PMS/HOME caller inventory,AmazonUserManagerService.BinderService.enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setApplicationEnabledSetting,Supplied UserInfo.id; child lifecycle scope,Fire/Launcher3/Tahoe state writer; not a formal User-0 HOME selector,AmazonUserManagerService internal/system-server path,false,false,CHILD_SCOPED_PACKAGE_STATE_NO_USER0_HOME,Strong evidence,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54324 (offset 0x043242)
PMS-006,PMS/HOME caller inventory,EspressoShotCallback.disableBootCompleteReceivers (Landroid/content/pm/PackageManager;Landroid/content/ComponentName;)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,BOOT receiver lifecycle path,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:191881 (offset 0x0cf22a)
PMS-007,PMS/HOME caller inventory,EspressoShotCallback.reEnableBootCompleteReceivers (Landroid/content/pm/PackageManager;Landroid/content/ComponentName;)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,BOOT receiver lifecycle path,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:192065 (offset 0x0cf314)
PMS-008,PMS/HOME caller inventory,EnableDisableComponentAction.enableDisableComponent (Ljava/lang/String;IZ)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setComponentEnabledSetting,in-process ProductPolicy action; supplied fixed policy component/package,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:293712 (offset 0x052688)
PMS-009,PMS/HOME caller inventory,EnableDisableComponentAction.enableDisableComponent (Ljava/lang/String;IZ)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setApplicationEnabledSetting,in-process ProductPolicy action; supplied fixed policy component/package,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:293717 (offset 0x052698)
PMS-010,PMS/HOME caller inventory,EnableDisableComponentAction.enableDisableComponent (Ljava/lang/String;IZ)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setComponentEnabledSetting,in-process ProductPolicy action; supplied fixed policy component/package,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:293735 (offset 0x0526e8)
PMS-011,PMS/HOME caller inventory,EnableDisableComponentAction.enableDisableComponent (Ljava/lang/String;IZ)V,fosservices,Not established at this static invoke site,Not established at this static invoke site,AmazonPackageManager.setApplicationEnabledSetting,in-process ProductPolicy action; supplied fixed policy component/package,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:293738 (offset 0x0526f4)
PMS-012,PMS/HOME caller inventory,BluetoothManagerService.updateOppLauncherComponentState (IZ)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,BluetoothManagerService#updateOppLauncherComponentState,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/services/disassembly.log:56994 (offset 0x05da2c)
PMS-013,PMS/HOME caller inventory,InputMethodManagerService.updateInputMethodsFromSettingsLocked (Z)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setApplicationEnabledSetting,InputMethodManagerService#updateInputMethodsFromSettingsLocked,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/services/disassembly.log:85596 (offset 0x07cc08)
PMS-014,PMS/HOME caller inventory,ActivityManagerService.DevelopmentSettingsObserver.onChange ()V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,ActivityManagerService.DevelopmentSettingsObserver#onChange,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/services/disassembly.log:158798 (offset 0x0d7ba8)
PMS-015,PMS/HOME caller inventory,PackageManagerShellCommand.runSetEnabledSetting (I)I,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setApplicationEnabledSetting,Requested package/component and user; framework gate applies,Formal package-state API; protected-package checks remain in framework,PackageManagerShellCommand → IPackageManager → PackageManagerService,false,false,FORMAL_PACKAGE_STATE_FRONTEND_GATED,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:500744 (offset 0x2dbb62)
PMS-016,PMS/HOME caller inventory,PackageManagerShellCommand.runSetEnabledSetting (I)I,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,Requested package/component and user; framework gate applies,Formal package-state API; protected-package checks remain in framework,PackageManagerShellCommand → IPackageManager → PackageManagerService,false,false,FORMAL_PACKAGE_STATE_FRONTEND_GATED,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:500765 (offset 0x2dbbc2)
PMS-017,PMS/HOME caller inventory,ActivityManagerService.systemReady (Ljava/lang/Runnable;Landroid/util/TimingsTraceLog;)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setComponentEnabledSetting,ActivityManagerService#systemReady,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/services/disassembly.log:785598 (offset 0x108d22)
PMS-018,PMS/HOME caller inventory,DevicePolicyManagerService.enableIfNecessary (Ljava/lang/String;I)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setApplicationEnabledSetting,Device/profile-owner controlled user,Device/profile-owner package state; no ordinary shell path,DevicePolicyManagerService internal path,false,false,DEVICE_POLICY_TRUSTED_WRITER,Strong evidence,decompiled/baksmali/vdexExtractor/services/disassembly.log:832035 (offset 0x1de190)
PMS-019,PMS/HOME caller inventory,DevicePolicyManagerService.enableSystemApp (Landroid/content/ComponentName;Ljava/lang/String;Ljava/lang/String;)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setApplicationEnabledSetting,Device/profile-owner controlled user,Device/profile-owner package state; no ordinary shell path,DevicePolicyManagerService internal path,false,false,DEVICE_POLICY_TRUSTED_WRITER,Strong evidence,decompiled/baksmali/vdexExtractor/services/disassembly.log:840319 (offset 0x1de234)
PMS-020,PMS/HOME caller inventory,PackageManagerService.clearPackageStateForUserLIF (Lcom/android/server/pm/PackageSetting;ILcom/android/server/pm/PackageManagerService$PackageRemovedInfo;)Z,services,Not established at this static invoke site,Not established at this static invoke site,PackageManagerService.clearPackagePreferredActivities,Framework-selected user; internal caller context,Internal preferred/HOME writer; no low-privilege caller established,PackageManagerService internal helper,false,false,FORMAL_HOME_INTERNAL_WRITER,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:934926 (offset 0x2b7e8a)
PMS-021,PMS/HOME caller inventory,PackageManagerService.removePackageDataLIF (Lcom/android/server/pm/PackageSetting;[ILcom/android/server/pm/PackageManagerService$PackageRemovedInfo;IZ)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManagerService.clearPackagePreferredActivities,Framework-selected user; internal caller context,Internal preferred/HOME writer; no low-privilege caller established,PackageManagerService internal helper,false,false,FORMAL_HOME_INTERNAL_WRITER,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:949444 (offset 0x2d1072)
PMS-022,PMS/HOME caller inventory,PackageManagerService.clearPackagePreferredActivities (Ljava/lang/String;)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManagerService.clearPackagePreferredActivities,Framework-selected user; internal caller context,Internal preferred/HOME writer; no low-privilege caller established,PackageManagerService internal helper,false,false,FORMAL_HOME_INTERNAL_WRITER,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:957018 (offset 0x2c73ec)
PMS-023,PMS/HOME caller inventory,PackageManagerService.resetApplicationPreferences (I)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManagerService.clearPackagePreferredActivities,Framework-selected user; internal caller context,Internal preferred/HOME writer; no low-privilege caller established,PackageManagerService internal helper,false,false,FORMAL_HOME_INTERNAL_WRITER,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:966005 (offset 0x2d2a58)
PMS-024,PMS/HOME caller inventory,PackageManagerService.setHomeActivity (Landroid/content/ComponentName;I)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManagerService.replacePreferredActivity,Framework-selected user; internal caller context,Internal preferred/HOME writer; no low-privilege caller established,PackageManagerService internal helper,false,false,FORMAL_HOME_INTERNAL_WRITER,Confirmed,decompiled/baksmali/vdexExtractor/services/disassembly.log:966955 (offset 0x2d540c)
PMS-025,PMS/HOME caller inventory,SystemImpl.enablePackageForUser (Ljava/lang/String;ZI)V,services,Not established at this static invoke site,Not established at this static invoke site,PackageManager.setApplicationEnabledSetting,SystemImpl#enablePackageForUser,Package/component or preferred-state related system writer,System-server or privileged component; caller provenance bounded,false,false,OTHER_SYSTEM_STATE_WRITER,Probable,decompiled/baksmali/vdexExtractor/services/disassembly.log:1021399 (offset 0x388692)
CALLBACK-01,Vendor HOME callback inventory,com.amazon.android.server.am.AppCompatActivityStackSupervisorCallback,base=com.android.server.am.VendorActivityStackSupervisorCallback; registered=yes,Vendor callback registration; caller permission not shown in selected artifact,No identity rewrite shown in selected callback evidence,IPackageManager.resolveIntent → ResolveInfo filter,Framework resolver user; no separate Amazon user writer shown,HOME resolution delegates to IPackageManager then applies an uninstalled-app filter,fosinit callback registration,unknown,false,STANDARD_RESOLVER_DELEGATION_NO_FIRE_OVERRIDE,Confirmed,artifacts/amazon-services/appcompatsupport_fosinit.xml; resolve_line=41123
CALLBACK-02,Vendor HOME callback inventory,com.fireos.eve.EveActivityStackSupervisorCallback,base=com.android.server.am.VendorActivityStackSupervisorCallback; registered=yes,Vendor callback registration; caller permission not shown in selected artifact,No identity rewrite shown in selected callback evidence,Inherited callback/base behavior,Framework resolver user; no separate Amazon user writer shown,No concrete resolveIntent override; no Fire Launcher selection evidence,fosinit callback registration,unknown,false,NO_CONCRETE_HOME_CALLBACK_OVERRIDE,Confirmed,artifacts/amazon-services/eve_launch_time_fosinit.xml; resolve_line=n/a
OOBE-01,OOBE helper scope inventory,SettingsDBUtils.java:run,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,"Settings.Secure.putString(contentResolver, str, str2);",no explicit user argument visible,Writes setup-state secure setting; no package/resolver sink,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_SECURE_SETUP_STATE_WRITER_CONTEXT_BOUND,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:25
OOBE-02,OOBE helper scope inventory,SettingsDBUtils.java:run,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,"Settings.Global.putInt(contentResolver, str, i);",no explicit user argument visible,Writes OOBE/provisioning state; global namespace is not a HOME selection record,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_GLOBAL_SETUP_STATE_WRITER_CONTEXT_BOUND,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:45
OOBE-03,OOBE helper scope inventory,SettingsDBUtils.java:setSettingSecurePutStringFG,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,"public static void setSettingSecurePutStringFG(ContentResolver contentResolver, String str, String str2) {",method name says FG; underlying API still requires context scope,Writes setup-state secure setting; no package/resolver sink,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_SECURE_SETUP_STATE_WRITER_CONTEXT_BOUND,Probable,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:51
OOBE-04,OOBE helper scope inventory,PackageHelper.java:disableComponent,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,"context.getPackageManager().setComponentEnabledSetting(new ComponentName(context, cls), 2, 1);",no explicit user argument visible,Enables/disables OOBE receiver/component; not Fire Launcher selector,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_COMPONENT_STATE_WRITER_CONTEXT_BOUND,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/PackageHelper.java:12
OOBE-05,OOBE helper scope inventory,OOBEActivationHelper.java:deactivateOOBE,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,public static void deactivateOOBE(Context context) {,delegated to helper; user scope not explicit at call site,OOBE helper call; context/user mapping not explicit,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_HELPER_DELEGATED_SCOPE_UNKNOWN,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/commons/OOBEActivationHelper.java:36
OOBE-06,OOBE helper scope inventory,OOBEActivationHelper.java:deactivateOOBEFG,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,"SettingsDBUtils.setSettingGlobalPutIntFG(context.getContentResolver(), ""device_provisioned"", 1);",method name says FG; underlying API still requires context scope,Writes setup-state secure setting; no package/resolver sink,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_SECURE_SETUP_STATE_WRITER_CONTEXT_BOUND,Probable,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/commons/OOBEActivationHelper.java:47
OOBE-07,OOBE helper scope inventory,BootAfterSystemOTAReceiver.java:onReceive,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,"context.getPackageManager().setComponentEnabledSetting(new ComponentName(context, (Class<?>) BootAfterSystemOTAReceiver.class), 2, 1);",no explicit user argument visible,Enables/disables OOBE receiver/component; not Fire Launcher selector,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_COMPONENT_STATE_WRITER_CONTEXT_BOUND,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java:45
OOBE-08,OOBE helper scope inventory,BootAfterSystemOTAReceiver.java:enableIncrementalFlow,JADX helper call site,OOBE lifecycle/receiver permission established outside helper,No Binder identity operation at helper call site,OOBEActivationHelper.activateOOBEIF(context);,delegated to helper; user scope not explicit at call site,OOBE helper call; context/user mapping not explicit,BootAfterSystemOTAReceiver / OOBE helper; no shell trigger permitted,false,false,OOBE_HELPER_DELEGATED_SCOPE_UNKNOWN,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java:60
